dataset,group,instance,algorithm,generation,time,pareto_size,makespan_min,carbon_min,norm_makespan_min,norm_makespan_max,norm_carbon_min,norm_carbon_max,HV
data100,C,h100c106,NSGA_II,0,0.1058657169342041,3,224.52,4299.41,164.14,509.26,756.44,5715.46,0.35031509951470724
data100,C,h100c106,NSGA_II,1,8.837711572647095,8,222.64,1548.21,164.14,509.26,756.44,5715.46,0.8571322456541205
data100,C,h100c106,NSGA_II,2,13.969804048538208,11,222.64,1525.13,164.14,509.26,756.44,5715.46,0.8595737242323042
data100,C,h100c106,NSGA_II,3,19.004312992095947,14,222.64,1460.01,164.14,509.26,756.44,5715.46,0.8658606736857164
data100,C,h100c106,NSGA_II,4,24.53744626045227,17,220.05,1460.01,164.14,509.26,756.44,5715.46,0.8739147351793511
data100,C,h100c106,NSGA_II,5,31.080180644989014,16,220.05,1346.47,164.14,509.26,756.44,5715.46,0.8901252367375813
data100,C,h100c106,NSGA_II,6,36.00364923477173,14,210.93,1346.47,164.14,509.26,756.44,5715.46,0.9123556649231258
data100,C,h100c106,NSGA_II,7,40.986732006073,15,210.93,1346.47,164.14,509.26,756.44,5715.46,0.9124869831521614
data100,C,h100c106,NSGA_II,8,46.703163385391235,14,210.93,1346.47,164.14,509.26,756.44,5715.46,0.913334011979005
data100,C,h100c106,NSGA_II,9,55.22207188606262,15,210.93,1346.47,164.14,509.26,756.44,5715.46,0.9133379326150882
data100,C,h100c106,NSGA_II,10,63.1852810382843,15,210.93,1346.47,164.14,509.26,756.44,5715.46,0.9139796433979421
data100,C,h100c106,NSGA_II,11,69.23502397537231,16,210.93,1346.47,164.14,509.26,756.44,5715.46,0.9140516425198989
data100,C,h100c106,NSGA_II,12,79.21365118026733,18,206.0,1346.47,164.14,509.26,756.44,5715.46,0.925949207208547
data100,C,h100c106,NSGA_II,13,87.99117851257324,20,206.0,1346.47,164.14,509.26,756.44,5715.46,0.9261492544802691
data100,C,h100c106,NSGA_II,14,93.20052766799927,21,206.0,1346.47,164.14,509.26,756.44,5715.46,0.9262647932300202
data100,C,h100c106,NSGA_II,15,97.88263201713562,21,206.0,1346.47,164.14,509.26,756.44,5715.46,0.9264828144854979
data100,C,h100c106,NSGA_II,16,103.46715068817139,22,206.0,1342.43,164.14,509.26,756.44,5715.46,0.9267040251170806
data100,C,h100c106,NSGA_II,17,108.55034279823303,23,206.0,1342.43,164.14,509.26,756.44,5715.46,0.926704255388717
data100,C,h100c106,NSGA_II,18,114.08333587646484,22,200.07,1342.43,164.14,509.26,756.44,5715.46,0.9415234159172872
data100,C,h100c106,NSGA_II,19,119.10442876815796,22,200.07,1342.43,164.14,509.26,756.44,5715.46,0.9415234159172872
data100,C,h100c106,NSGA_II,20,124.00721669197083,25,200.07,1342.43,164.14,509.26,756.44,5715.46,0.9416009563996739
data100,C,h100c106,NSGA_II,21,130.19993996620178,27,200.07,1342.43,164.14,509.26,756.44,5715.46,0.9416777300500494
data100,C,h100c106,NSGA_II,22,136.08228707313538,29,200.07,1342.43,164.14,509.26,756.44,5715.46,0.941782701896755
