dataset,group,instance,algorithm,generation,time,pareto_size,makespan_min,carbon_min,norm_makespan_min,norm_makespan_max,norm_carbon_min,norm_carbon_max,HV
data100,RC,h100rc103,NSGA_II,0,0.24614572525024414,6,174.37,5046.73,105.4,491.47,1092.49,6013.73,0.26367293320634844
data100,RC,h100rc103,NSGA_II,1,14.080657243728638,9,151.91,1861.3,105.4,491.47,1092.49,6013.73,0.9061437764815498
data100,RC,h100rc103,NSGA_II,2,25.01165747642517,9,151.91,1833.78,105.4,491.47,1092.49,6013.73,0.912181010953572
data100,RC,h100rc103,NSGA_II,3,39.56074666976929,8,151.91,1779.32,105.4,491.47,1092.49,6013.73,0.9229886663672301
data100,RC,h100rc103,NSGA_II,4,48.64947152137756,10,151.91,1779.32,105.4,491.47,1092.49,6013.73,0.923400333952941
data100,RC,h100rc103,NSGA_II,5,59.49361538887024,9,151.91,1779.32,105.4,491.47,1092.49,6013.73,0.9238544304928993
data100,RC,h100rc103,NSGA_II,6,69.96567344665527,11,151.91,1716.11,105.4,491.47,1092.49,6013.73,0.926430856334814
data100,RC,h100rc103,NSGA_II,7,79.67605471611023,14,151.91,1716.11,105.4,491.47,1092.49,6013.73,0.9267722326059505
data100,RC,h100rc103,NSGA_II,8,94.39839243888855,15,151.91,1716.11,105.4,491.47,1092.49,6013.73,0.9270438331568931
data100,RC,h100rc103,NSGA_II,9,101.57129454612732,18,150.29,1716.11,105.4,491.47,1092.49,6013.73,0.9314588997247574
data100,RC,h100rc103,NSGA_II,10,109.02454090118408,21,150.29,1716.11,105.4,491.47,1092.49,6013.73,0.931810936420258
data100,RC,h100rc103,NSGA_II,11,114.95760226249695,22,150.29,1716.11,105.4,491.47,1092.49,6013.73,0.9318135064971889
data100,RC,h100rc103,NSGA_II,12,122.7912950515747,22,150.29,1716.11,105.4,491.47,1092.49,6013.73,0.9335430682159789
data100,RC,h100rc103,NSGA_II,13,129.04117465019226,22,150.29,1716.11,105.4,491.47,1092.49,6013.73,0.9335430682159789
data100,RC,h100rc103,NSGA_II,14,136.6747817993164,20,150.29,1638.67,105.4,491.47,1092.49,6013.73,0.9467056704156223
data100,RC,h100rc103,NSGA_II,15,143.10599660873413,20,150.29,1611.26,105.4,491.47,1092.49,6013.73,0.949623690693078
data100,RC,h100rc103,NSGA_II,16,150.47389388084412,19,150.29,1611.26,105.4,491.47,1092.49,6013.73,0.9502047465070256
data100,RC,h100rc103,NSGA_II,17,157.17614579200745,20,150.29,1611.26,105.4,491.47,1092.49,6013.73,0.9504736690830708
data100,RC,h100rc103,NSGA_II,18,164.43985414505005,20,150.29,1611.26,105.4,491.47,1092.49,6013.73,0.9504736690830708
data100,RC,h100rc103,NSGA_II,19,172.139319896698,21,142.5,1611.26,105.4,491.47,1092.49,6013.73,0.9672179306934178
data100,RC,h100rc103,NSGA_II,20,180.5061058998108,20,142.5,1611.26,105.4,491.47,1092.49,6013.73,0.9674343005911268
data100,RC,h100rc103,MOEA_D,0,0.06859660148620605,5,168.79,5444.5,105.4,491.47,1092.49,6013.73,0.1872636099891131
data100,RC,h100rc103,MOEA_D,1,4.8508641719818115,4,138.9,1300.29,105.4,491.47,1092.49,6013.73,1.0554144475397438
data100,RC,h100rc103,MOEA_D,2,9.770352363586426,6,138.9,1300.29,105.4,491.47,1092.49,6013.73,1.0631639686660723
data100,RC,h100rc103,MOEA_D,3,15.465257406234741,6,138.9,1300.29,105.4,491.47,1092.49,6013.73,1.0631639686660723
data100,RC,h100rc103,MOEA_D,4,18.681556463241577,6,138.9,1275.12,105.4,491.47,1092.49,6013.73,1.0678450385173486
data100,RC,h100rc103,MOEA_D,5,21.548118829727173,6,138.9,1275.12,105.4,491.47,1092.49,6013.73,1.0678450385173486
data100,RC,h100rc103,MOEA_D,6,24.277868270874023,7,138.9,1275.12,105.4,491.47,1092.49,6013.73,1.0683034495022419
data100,RC,h100rc103,MOEA_D,7,28.642226457595825,7,138.9,1205.77,105.4,491.47,1092.49,6013.73,1.0755839855640423
data100,RC,h100rc103,MOEA_D,8,32.70207500457764,8,138.9,1205.77,105.4,491.47,1092.49,6013.73,1.0756627942388324
data100,RC,h100rc103,MOEA_D,9,34.99652647972107,9,138.9,1205.77,105.4,491.47,1092.49,6013.73,1.0790912583902583
data100,RC,h100rc103,MOEA_D,10,37.17564821243286,10,138.9,1205.77,105.4,491.47,1092.49,6013.73,1.0794650111042112
data100,RC,h100rc103,MOEA_D,11,40.117530822753906,11,138.9,1205.77,105.4,491.47,1092.49,6013.73,1.0795013200857944
data100,RC,h100rc103,MOEA_D,12,46.74672794342041,9,138.9,1205.77,105.4,491.47,1092.49,6013.73,1.0799020749237984
data100,RC,h100rc103,MOEA_D,13,52.68035101890564,9,138.9,1203.7,105.4,491.47,1092.49,6013.73,1.0821885441494887
data100,RC,h100rc103,MOEA_D,14,55.97925114631653,10,138.9,1203.7,105.4,491.47,1092.49,6013.73,1.0826103717235318
data100,RC,h100rc103,MOEA_D,15,59.6134934425354,10,138.9,1203.7,105.4,491.47,1092.49,6013.73,1.0826103717235318
data100,RC,h100rc103,MOEA_D,16,63.28768014907837,7,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0871896250270994
data100,RC,h100rc103,MOEA_D,17,67.42942786216736,7,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0875483549755827
data100,RC,h100rc103,MOEA_D,18,71.16279411315918,7,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0875483549755827
data100,RC,h100rc103,MOEA_D,19,74.34588694572449,7,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0875483549755827
data100,RC,h100rc103,MOEA_D,20,76.96266293525696,7,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0875483549755827
data100,RC,h100rc103,MOEA_D,21,80.29967522621155,7,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0875483549755827
data100,RC,h100rc103,MOEA_D,22,83.72499656677246,5,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.088467389011584
data100,RC,h100rc103,MOEA_D,23,86.21773028373718,6,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0886994355364403
data100,RC,h100rc103,MOEA_D,24,88.89937663078308,6,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0886994355364403
data100,RC,h100rc103,MOEA_D,25,93.88639259338379,6,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0886994355364403
data100,RC,h100rc103,MOEA_D,26,101.29247403144836,6,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0886994355364403
data100,RC,h100rc103,MOEA_D,27,105.26575374603271,6,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0886994355364403
data100,RC,h100rc103,MOEA_D,28,108.9984381198883,6,138.9,1191.08,105.4,491.47,1092.49,6013.73,1.0886994355364403
data100,RC,h100rc103,MOEA_D,29,111.52685546875,5,137.45,1191.08,105.4,491.47,1092.49,6013.73,1.0944459024943012
data100,RC,h100rc103,MOEA_D,30,114.52635049819946,5,137.45,1191.08,105.4,491.47,1092.49,6013.73,1.0944459024943012
data100,RC,h100rc103,MOEA_D,31,117.28511190414429,5,137.45,1191.08,105.4,491.47,1092.49,6013.73,1.0944459024943012
data100,RC,h100rc103,MOEA_D,32,119.9436662197113,5,137.45,1191.08,105.4,491.47,1092.49,6013.73,1.0944459024943012
data100,RC,h100rc103,MOEA_D,33,122.12686920166016,5,137.45,1191.08,105.4,491.47,1092.49,6013.73,1.0944459024943012
data100,RC,h100rc103,MOEA_D,34,124.56013298034668,6,137.45,1191.08,105.4,491.47,1092.49,6013.73,1.0944773150135274
data100,RC,h100rc103,MOEA_D,35,127.4564802646637,8,134.55,1191.08,105.4,491.47,1092.49,6013.73,1.102524423047604
data100,RC,h100rc103,MOEA_D,36,131.52892780303955,9,134.55,1191.08,105.4,491.47,1092.49,6013.73,1.1025590754532844
data100,RC,h100rc103,MOEA_D,37,133.74330496788025,11,134.55,1157.5,105.4,491.47,1092.49,6013.73,1.1058731341591488
data100,RC,h100rc103,MOEA_D,38,135.94322752952576,11,134.55,1157.5,105.4,491.47,1092.49,6013.73,1.1058731341591488
data100,RC,h100rc103,MOEA_D,39,138.37650895118713,11,134.55,1157.5,105.4,491.47,1092.49,6013.73,1.1058731341591488
data100,RC,h100rc103,MOEA_D,40,141.06240725517273,11,134.55,1157.5,105.4,491.47,1092.49,6013.73,1.1061025184990543
data100,RC,h100rc103,MOEA_D,41,143.395432472229,12,134.55,1157.5,105.4,491.47,1092.49,6013.73,1.1061116379299232
data100,RC,h100rc103,MOEA_D,42,146.10919713974,12,134.55,1151.24,105.4,491.47,1092.49,6013.73,1.107822482309498
data100,RC,h100rc103,MOEA_D,43,148.5754897594452,12,134.55,1151.24,105.4,491.47,1092.49,6013.73,1.107822482309498
data100,RC,h100rc103,MOEA_D,44,152.4764904975891,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,MOEA_D,45,158.82137537002563,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,MOEA_D,46,161.3316614627838,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,MOEA_D,47,164.3953893184662,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,MOEA_D,48,166.9140820503235,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,MOEA_D,49,168.7394769191742,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,MOEA_D,50,171.4915897846222,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,MOEA_D,51,176.22560501098633,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,MOEA_D,52,180.31829357147217,13,134.21,1151.24,105.4,491.47,1092.49,6013.73,1.1087119174384545
data100,RC,h100rc103,PFG_MOEA,0,0.08024168014526367,5,174.37,4854.22,105.4,491.47,1092.49,6013.73,0.30544170667676807
data100,RC,h100rc103,PFG_MOEA,1,16.530580282211304,10,152.52,1722.71,105.4,491.47,1092.49,6013.73,0.9192670856155851
data100,RC,h100rc103,PFG_MOEA,2,22.530401468276978,9,135.0,1544.08,105.4,491.47,1092.49,6013.73,1.0174093592760345
data100,RC,h100rc103,PFG_MOEA,3,27.335323572158813,15,135.0,1321.24,105.4,491.47,1092.49,6013.73,1.047547105386638
data100,RC,h100rc103,PFG_MOEA,4,32.29693245887756,20,135.0,1300.28,105.4,491.47,1092.49,6013.73,1.067033818382241
data100,RC,h100rc103,PFG_MOEA,5,37.84738779067993,26,135.0,1300.28,105.4,491.47,1092.49,6013.73,1.067325930810329
data100,RC,h100rc103,PFG_MOEA,6,42.34670567512512,26,135.0,1300.28,105.4,491.47,1092.49,6013.73,1.0685490626331786
data100,RC,h100rc103,PFG_MOEA,7,47.210795164108276,22,135.0,1300.28,105.4,491.47,1092.49,6013.73,1.0701392033365373
data100,RC,h100rc103,PFG_MOEA,8,52.10248422622681,22,135.0,1182.63,105.4,491.47,1092.49,6013.73,1.095150829568757
data100,RC,h100rc103,PFG_MOEA,9,56.75402212142944,28,135.0,1182.63,105.4,491.47,1092.49,6013.73,1.0952340086901584
data100,RC,h100rc103,PFG_MOEA,10,61.41764807701111,35,135.0,1182.63,105.4,491.47,1092.49,6013.73,1.0952340086901584
data100,RC,h100rc103,PFG_MOEA,11,68.02689146995544,17,132.9,1182.63,105.4,491.47,1092.49,6013.73,1.102803806068349
data100,RC,h100rc103,PFG_MOEA,12,72.01753735542297,23,132.9,1182.63,105.4,491.47,1092.49,6013.73,1.1032406787243192
data100,RC,h100rc103,PFG_MOEA,13,76.23039555549622,23,132.9,1182.63,105.4,491.47,1092.49,6013.73,1.1037520489786665
data100,RC,h100rc103,PFG_MOEA,14,80.148606300354,31,132.9,1182.63,105.4,491.47,1092.49,6013.73,1.1037987111648915
data100,RC,h100rc103,PFG_MOEA,15,84.74543952941895,36,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.114450178040161
data100,RC,h100rc103,PFG_MOEA,16,90.06129908561707,46,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1144807437445658
data100,RC,h100rc103,PFG_MOEA,17,95.71093702316284,56,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1144807437445658
data100,RC,h100rc103,PFG_MOEA,18,101.19867897033691,66,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1144807437445658
data100,RC,h100rc103,PFG_MOEA,19,106.71662950515747,76,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1144807437445658
data100,RC,h100rc103,PFG_MOEA,20,110.29726266860962,86,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1144807437445658
data100,RC,h100rc103,PFG_MOEA,21,114.2766330242157,97,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1145151481954558
data100,RC,h100rc103,PFG_MOEA,22,118.00940036773682,108,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1145151481954558
data100,RC,h100rc103,PFG_MOEA,23,121.95940065383911,53,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.117311347000066
data100,RC,h100rc103,PFG_MOEA,24,124.91224598884583,61,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.11798957245946
data100,RC,h100rc103,PFG_MOEA,25,128.45917797088623,54,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1199927807904373
data100,RC,h100rc103,PFG_MOEA,26,131.74232864379883,62,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1199927807904373
data100,RC,h100rc103,PFG_MOEA,27,134.4051549434662,71,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1200437626322797
data100,RC,h100rc103,PFG_MOEA,28,137.40829968452454,80,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1200437626322797
data100,RC,h100rc103,PFG_MOEA,29,140.05879282951355,89,132.9,1125.99,105.4,491.47,1092.49,6013.73,1.1200437626322797
