dataset,group,instance,algorithm,generation,time,pareto_size,makespan_min,carbon_min,norm_makespan_min,norm_makespan_max,norm_carbon_min,norm_carbon_max,HV
data100,R,h100r103,NSGA_II,0,0.06327009201049805,5,169.77,4395.89,102.1,523.36,792.04,5715.46,0.3373877286973401
data100,R,h100r103,NSGA_II,1,6.516055345535278,15,149.3,1207.83,102.1,523.36,792.04,5715.46,0.9195903242906813
data100,R,h100r103,NSGA_II,2,12.177199840545654,21,149.3,1207.83,102.1,523.36,792.04,5715.46,0.9224596386532387
data100,R,h100r103,NSGA_II,3,18.276952266693115,24,149.3,1207.83,102.1,523.36,792.04,5715.46,0.9237315736764228
data100,R,h100r103,NSGA_II,4,25.059926509857178,21,149.3,1207.83,102.1,523.36,792.04,5715.46,0.9259713144255678
data100,R,h100r103,NSGA_II,5,32.09200310707092,21,149.3,1207.83,102.1,523.36,792.04,5715.46,0.9301418602099613
data100,R,h100r103,NSGA_II,6,40.49676847457886,21,149.3,1207.83,102.1,523.36,792.04,5715.46,0.9366074026233362
data100,R,h100r103,NSGA_II,7,51.27564001083374,22,149.3,1207.83,102.1,523.36,792.04,5715.46,0.9366126044036646
data100,R,h100r103,NSGA_II,8,71.57167077064514,23,149.3,1207.83,102.1,523.36,792.04,5715.46,0.9366174828054519
data100,R,h100r103,NSGA_II,9,92.66926288604736,23,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9477866422305864
data100,R,h100r103,NSGA_II,10,111.49746131896973,23,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9479766426246246
data100,R,h100r103,NSGA_II,11,119.64846062660217,21,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9489985066642666
data100,R,h100r103,NSGA_II,12,127.3994607925415,23,144.3,1207.83,102.1,523.36,792.04,5715.46,0.953720831946692
data100,R,h100r103,NSGA_II,13,134.03893947601318,26,144.3,1207.83,102.1,523.36,792.04,5715.46,0.953927264907842
data100,R,h100r103,NSGA_II,14,140.0884509086609,24,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9545048476702004
data100,R,h100r103,NSGA_II,15,146.43818759918213,25,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9545125966049863
data100,R,h100r103,NSGA_II,16,153.60406494140625,23,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9600153520482857
data100,R,h100r103,NSGA_II,17,160.80373454093933,21,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9609389288760499
data100,R,h100r103,NSGA_II,18,167.63738465309143,21,144.3,1207.83,102.1,523.36,792.04,5715.46,0.961227285092025
data100,R,h100r103,NSGA_II,19,174.05431008338928,21,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9613387670355372
data100,R,h100r103,NSGA_II,20,181.42008352279663,21,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9613387670355372
data100,R,h100r103,NSGA_II,21,188.89171147346497,21,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9613387670355372
data100,R,h100r103,NSGA_II,22,196.40287280082703,19,144.3,1207.83,102.1,523.36,792.04,5715.46,0.9634690796107147
data100,R,h100r103,MOEA_D,0,0.08330535888671875,5,174.45,4917.27,102.1,523.36,792.04,5715.46,0.22655645133361213
data100,R,h100r103,MOEA_D,1,5.1490478515625,4,150.24,1008.48,102.1,523.36,792.04,5715.46,1.0358835184812556
data100,R,h100r103,MOEA_D,2,8.0988929271698,4,150.24,1008.48,102.1,523.36,792.04,5715.46,1.0358835184812556
data100,R,h100r103,MOEA_D,3,10.637224435806274,7,139.25,1008.48,102.1,523.36,792.04,5715.46,1.061122262127258
data100,R,h100r103,MOEA_D,4,13.23197340965271,8,139.25,974.78,102.1,523.36,792.04,5715.46,1.0668792347617007
