Instance,"C(N3,AL)","C(AL,N3)"
h100c101,0.0,0.4782608695652174
h100c102,0.0,0.8636363636363636
h100c103,0.0,1.0
h100c104,0.0,1.0
h100c105,0.0,0.8333333333333334
h100c106,0.0,1.0
h100c107,0.0,1.0
h100c108,0.0,0.95
h100c109,0.0,0.8888888888888888
h100c201,0.0,1.0
h100c202,0.0,0.8076923076923077
h100c203,0.0,0.6
h100c204,0.0,0.8260869565217391
h100c205,0.0,0.8928571428571429
h100c206,0.0,0.8846153846153846
h100c207,0.0,0.8695652173913043
h100c208,0.0,1.0
h100r101,0.0,0.9655172413793104
h100r102,0.0,0.9259259259259259
h100r103,0.0,0.6666666666666666
h100r104,0.0,0.8888888888888888
h100r105,0.0,0.9583333333333334
h100r106,0.0,0.75
h100r107,0.0,0.8947368421052632
h100r108,0.0,1.0
h100r109,0.0,0.8148148148148148
h100r110,0.0,1.0
h100r111,0.0,1.0
h100r112,0.0,0.6875
h100r201,0.0,0.9166666666666666
h100r202,0.0,1.0
h100r203,0.0,1.0
h100r204,0.0,1.0
h100r205,0.0,1.0
h100r206,0.0,0.6538461538461539
h100r207,0.0,0.8181818181818182
h100r208,0.0,0.42857142857142855
h100r209,0.0,1.0
h100r210,0.0,1.0
h100r211,0.0,0.5238095238095238
h100rc101,0.0,0.8620689655172413
h100rc102,0.0,0.9130434782608695
h100rc103,0.0,0.9583333333333334
h100rc104,0.0,0.7
h100rc105,0.0,1.0
h100rc106,0.0,0.5833333333333334
h100rc107,0.0,1.0
h100rc108,0.0,0.9130434782608695
h100rc201,0.0,0.2916666666666667
h100rc202,0.0,0.8
h100rc203,0.0,0.896551724137931
h100rc204,0.0,0.8
h100rc205,0.0,0.6666666666666666
h100rc206,0.0,0.28
h100rc207,0.0,0.5416666666666666
h100rc208,0.0,1.0
