Instance,NSGA_III,ALNSMO
h100c101,332447.62493499997,260592.77647500002
h100c102,350611.0896400002,417252.8390800001
h100c103,339033.4079500001,479799.19972000015
h100c104,278513.2013250001,446497.5026549998
h100c105,210276.2638120002,249979.9474420002
h100c106,287282.0763250002,406246.1846150001
h100c107,351796.6417240003,526011.2295640004
h100c108,343169.03078400024,442591.5473040001
h100c109,350326.84338100016,408060.781141
h100c201,412121.3848440002,555893.5817440002
h100c202,349182.17943800014,352991.6192680002
h100c203,419107.7029840002,396476.17782400013
h100c204,242363.7414990001,279308.4417590001
h100c205,374579.9416750003,445796.39660500013
h100c206,232419.9062940002,290743.6819940001
h100c207,356923.7771190002,421057.0553390002
h100c208,323910.03560999996,459236.6060499998
h100r101,392036.5391169999,492827.38138700003
h100r102,633082.2729370004,772883.7472370001
h100r103,424881.5700240001,408682.7490640001
h100r104,451211.30527200043,528806.0161920002
h100r105,366047.2158840001,499465.2027240003
h100r106,388546.377073,431411.4417330001
h100r107,240878.0948880002,292468.1287880002
h100r108,367097.9348450001,518849.6058750001
h100r109,442552.85459599993,529785.2085359999
h100r110,449034.68083000014,661514.6557900009
h100r111,382805.4122849999,601427.1349850001
h100r112,588435.5462880001,636110.9799180004
h100r201,335513.88267000025,430865.0527000003
h100r202,254869.65633500007,411148.09622500034
h100r203,227732.26076,398862.4523100002
h100r204,371286.45530000015,586964.6805800005
h100r205,377286.34085000015,553117.1904499999
h100r206,394601.60517999995,379190.9865100001
h100r207,349999.5885099999,370348.50328
h100r208,381043.8526900002,265725.49577000027
h100r209,309785.9764600001,469991.25140000024
h100r210,417730.6973100002,605373.1359100001
h100r211,332066.57129000017,301851.4955200001
h100rc101,393753.732202,485667.27811199997
h100rc102,192733.54342000003,258480.68604000003
h100rc103,504781.5941000002,642291.4345000002
h100rc104,230258.5644640001,255169.90948400012
h100rc105,285866.5608700001,504908.20176000014
h100rc106,527038.7691280004,528294.7777280005
h100rc107,413213.8134240003,589599.267014
h100rc108,411798.1593700003,500389.3686300003
h100rc201,426326.51532500016,319332.3124150001
h100rc202,455695.06924000004,477598.78986
h100rc203,247609.5228780001,303533.09213800024
h100rc204,330999.51149399986,385913.013734
h100rc205,421543.2426420002,438532.146982
h100rc206,322163.5611000003,270196.2280000001
h100rc207,351827.8568200002,349804.9501799999
h100rc208,322577.3477100001,464547.7239799999
