algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
NSGA_III,1,1,323.43,1359.12,0 2 34 1 62 58 86 56 84 33 22 21 91 19 20 17 71 78 74 63 73 12 96 26 59 69 47 10 46 7 76 9 55 61 87 65 79 53 80 0,61
NSGA_III,1,2,323.43,1359.12,0 66 0,
NSGA_III,1,3,323.43,1359.12,0 13 27 99 25 43 92 50 48 77 3 36 54 70 72 67 82 39 16 35 30 64 15 98 85 88 14 11 83 95 44 38 89 28 42 81 75 97 5 29 60 52 6 90 32 49 51 45 4 0,30 72 92
NSGA_III,1,4,323.43,1359.12,0 24 100 0,
NSGA_III,1,5,323.43,1359.12,0 41 0,
NSGA_III,1,6,323.43,1359.12,0 94 93 8 57 31 40 18 68 37 23 0,
NSGA_III,2,1,201.0,1886.58,0 92 99 41 57 55 0,99
NSGA_III,2,2,201.0,1886.58,0 80 45 51 32 3 77 91 14 26 59 38 69 47 89 9 97 87 0,
NSGA_III,2,3,201.0,1886.58,0 53 36 54 70 90 65 6 52 60 93 96 11 20 17 71 19 56 84 48 50 2 0,20
NSGA_III,2,4,201.0,1886.58,0 4 61 42 44 95 73 30 74 64 40 18 21 68 23 67 58 43 25 0,64
NSGA_III,2,5,201.0,1886.58,0 62 72 86 82 39 16 35 98 15 78 12 83 7 8 100 76 75 29 5 79 49 24 0,78 98
NSGA_III,2,6,201.0,1886.58,0 94 66 81 46 28 10 13 27 63 88 85 31 37 33 22 1 34 0,13 37 88
NSGA_III,3,1,510.19,1054.83,0 25 0,
NSGA_III,3,2,510.19,1054.83,0 50 30 0,
NSGA_III,3,3,510.19,1054.83,0 37 0,37
NSGA_III,3,4,510.19,1054.83,0 64 8 0,64
NSGA_III,3,5,510.19,1054.83,0 28 46 7 42 76 9 55 81 100 93 75 97 61 5 60 52 87 29 90 65 79 51 45 24 4 80 53 66 49 32 36 54 70 67 72 3 58 77 48 62 92 43 2 99 34 1 22 23 84 33 39 56 68 18 19 91 20 17 31 40 71 15 78 74 63 88 85 98 14 11 83 26 89 10 59 38 47 69 44 96 57 95 73 41 12 27 13 0,2 61 83 92
NSGA_III,3,6,510.19,1054.83,0 35 16 21 86 82 94 6 0,6
