algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
ALNSMO,1,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,1,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,1,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,1,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,1,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,1,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,2,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,2,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,2,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,2,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,2,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,2,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,3,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,3,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,3,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,3,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,3,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,3,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,4,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,4,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,4,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,4,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,4,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,4,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,5,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,5,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,5,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,5,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,5,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,5,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,6,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,6,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,6,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,6,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,6,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,6,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,7,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,7,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,7,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,7,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,7,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,7,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,8,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,8,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,8,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,8,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,8,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,8,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,9,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,9,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,9,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,9,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,9,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,9,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,10,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,10,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,10,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,10,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,10,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,10,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,11,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,11,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,11,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,11,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,11,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,11,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,12,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,12,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,12,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,12,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,12,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
ALNSMO,12,6,203.44,1104.48,0 40 43 70 48 34 92 62 58 86 82 77 67 54 79 75 12 9 98 81 46 23 0,12 23 34 40 54 70 77 98
ALNSMO,13,1,203.44,1104.48,0 8 61 60 5 90 45 53 51 4 0,25 51 60
ALNSMO,13,2,203.44,1104.48,0 65 87 6 29 52 97 55 76 16 42 7 10 26 59 96 57 0,7 16 18 52 87
ALNSMO,13,3,203.44,1104.48,0 100 33 41 73 15 30 63 85 88 64 74 78 35 19 18 44 68 37 56 39 91 0,33 44 49 63 64 99
ALNSMO,13,4,203.44,1104.48,0 80 66 21 31 93 17 71 20 27 13 95 83 14 11 89 47 69 38 2 0,2 21 93
ALNSMO,13,5,203.44,1104.48,0 50 99 25 1 22 84 72 28 3 36 32 49 94 24 0,2 25 26 27 28 50 84
