algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
NSGA_III,1,1,347.28,1264.52,0 79 5 90 6 0,
NSGA_III,1,2,347.28,1264.52,0 45 0,
NSGA_III,1,3,347.28,1264.52,0 12 13 95 57 73 11 83 9 55 75 97 29 52 65 49 66 53 93 100 76 42 28 89 59 47 69 38 44 26 98 85 88 63 74 78 64 30 15 40 16 18 31 17 19 37 68 56 39 84 23 82 67 70 36 77 48 92 43 2 25 1 34 99 0,11 55
NSGA_III,1,4,347.28,1264.52,0 71 0,
NSGA_III,1,5,347.28,1264.52,0 62 0,
NSGA_III,1,6,347.28,1264.52,0 27 41 14 96 10 46 8 7 81 61 60 87 32 51 24 4 80 94 3 54 72 86 22 33 21 20 35 91 50 58 0,
NSGA_III,2,1,227.11,1357.07,0 81 0,
NSGA_III,2,2,227.11,1357.07,0 13 12 27 95 8 7 55 9 93 4 80 45 32 77 58 48 92 72 67 82 23 39 56 68 40 35 20 0,55
NSGA_III,2,3,227.11,1357.07,0 59 44 47 97 61 60 87 29 65 24 51 54 3 22 84 21 18 71 31 19 91 99 1 62 0,60
NSGA_III,2,4,227.11,1357.07,0 79 0,
NSGA_III,2,5,227.11,1357.07,0 89 26 10 38 69 46 28 42 76 100 75 5 52 6 90 49 94 66 53 2 25 43 34 36 70 86 33 37 16 17 15 30 88 98 85 63 74 78 64 73 41 14 11 83 96 57 0,5 6 66 86
NSGA_III,2,6,227.11,1357.07,0 50 0,
NSGA_III,3,1,394.3,1228.93,0 55 53 25 22 68 23 1 0,
NSGA_III,3,2,394.3,1228.93,0 4 66 94 49 36 70 67 86 82 62 48 43 2 99 34 21 37 56 39 84 33 91 18 19 17 31 16 40 71 98 85 88 63 74 78 64 30 15 73 57 13 12 11 26 59 44 47 69 38 10 89 7 42 76 9 75 100 93 97 60 61 5 29 52 87 6 65 90 79 51 45 24 0,31 90 91
NSGA_III,3,3,394.3,1228.93,0 35 41 14 96 28 46 81 80 3 54 72 92 50 0,35
NSGA_III,3,4,394.3,1228.93,0 58 0,
NSGA_III,3,5,394.3,1228.93,0 20 27 95 8 32 77 0,
NSGA_III,3,6,394.3,1228.93,0 83 0,
NSGA_III,4,1,288.36,1336.07,0 62 37 18 71 35 12 100 97 60 87 29 90 65 0,
NSGA_III,4,2,288.36,1336.07,0 51 21 0,
NSGA_III,4,3,288.36,1336.07,0 91 0,91
NSGA_III,4,4,288.36,1336.07,0 50 48 3 67 86 82 22 33 68 20 31 40 64 88 85 73 41 96 10 81 75 55 61 5 79 32 94 24 80 0,24 40
NSGA_III,4,5,288.36,1336.07,0 4 0,
NSGA_III,4,6,288.36,1336.07,0 53 66 49 72 70 54 36 77 58 92 43 25 2 99 34 1 23 84 39 56 16 19 17 15 30 78 74 63 98 14 11 83 27 13 95 57 26 59 44 38 47 69 89 28 46 7 42 76 9 93 8 52 6 45 0,54 59
NSGA_III,5,1,206.53,1476.87,0 66 53 90 6 52 100 76 42 89 38 59 11 13 12 73 98 63 74 78 64 30 71 17 18 16 37 68 39 56 84 23 22 1 34 25 62 0,11 30 90
NSGA_III,5,2,206.53,1476.87,0 29 60 87 65 0,60
NSGA_III,5,3,206.53,1476.87,0 24 61 46 28 96 14 41 31 91 33 21 54 3 94 51 0,51
NSGA_III,5,4,206.53,1476.87,0 81 72 50 0,
NSGA_III,5,5,206.53,1476.87,0 4 80 45 49 32 79 5 36 70 67 86 82 58 77 48 92 43 2 99 20 19 40 35 15 88 85 83 44 69 47 26 10 55 9 7 8 57 95 27 0,36
NSGA_III,5,6,206.53,1476.87,0 93 75 97 0,
NSGA_III,6,1,217.69,1424.35,0 79 0,
NSGA_III,6,2,217.69,1424.35,0 53 45 24 90 65 6 87 52 29 5 61 60 97 93 100 76 9 26 38 44 83 11 13 30 63 98 71 17 19 91 16 39 84 34 48 62 2 0,16 60 76 90
NSGA_III,6,3,217.69,1424.35,0 80 66 94 51 3 54 72 77 58 92 50 25 1 21 22 23 56 68 37 33 18 20 31 35 15 64 74 78 73 41 14 96 28 46 8 81 75 42 89 59 95 27 12 0,20 51 54
NSGA_III,6,4,217.69,1424.35,0 4 49 32 36 67 86 82 43 40 88 85 10 47 69 55 7 57 0,55
NSGA_III,6,5,217.69,1424.35,0 70 0,
NSGA_III,6,6,217.69,1424.35,0 99 0,
NSGA_III,7,1,387.54,1231.02,0 50 0,
NSGA_III,7,2,387.54,1231.02,0 24 45 49 32 6 90 5 61 97 8 93 75 55 9 42 81 46 89 10 47 38 44 59 26 11 96 57 95 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 17 19 91 33 68 56 37 22 23 1 34 99 2 92 48 77 82 86 67 72 70 54 36 3 94 66 53 80 0,32 46 55
NSGA_III,7,3,387.54,1231.02,0 4 7 27 18 58 0,
NSGA_III,7,4,387.54,1231.02,0 13 12 83 69 76 100 60 29 87 52 65 79 51 62 43 25 21 39 84 20 31 0,13 51
NSGA_III,7,5,387.54,1231.02,0 41 0,
