algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
ALNSMO,1,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,1,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,1,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,1,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,1,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,1,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,2,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,2,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,2,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,2,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,2,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,2,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,3,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,3,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,3,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,3,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,3,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,3,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,4,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,4,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,4,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,4,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,4,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,4,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,5,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,5,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,5,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,5,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,5,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,5,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,6,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,6,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,6,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,6,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,6,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,6,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,7,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,7,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,7,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,7,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,7,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,7,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,8,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,8,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,8,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,8,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,8,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,8,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,9,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,9,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,9,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,9,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,9,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,9,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,10,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,10,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,10,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,10,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,10,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
ALNSMO,10,6,190.48,1278.78,0 60 57 76 41 88 85 35 18 19 59 21 33 96 84 39 23 62 50 0,59 60 76 96 97
ALNSMO,11,1,190.48,1278.78,0 14 53 24 66 94 49 26 90 29 55 61 73 64 78 40 11 31 20 48 0,11 14 24 26 48 55
ALNSMO,11,2,190.48,1278.78,0 70 36 54 65 6 87 52 7 9 46 5 8 15 17 30 74 63 98 83 0,5 7 16 17 36
ALNSMO,11,3,190.48,1278.78,0 28 69 38 44 47 89 10 0,
ALNSMO,11,4,190.48,1278.78,0 68 95 42 75 100 93 45 32 72 67 82 86 3 58 77 92 1 0,1 68 75 77 82
ALNSMO,11,5,190.48,1278.78,0 16 4 99 80 51 79 97 13 27 81 12 71 91 37 22 34 56 43 25 2 0,16 56 71 81 97 99
