algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
NSGA_III,1,1,183.74,1838.1,0 99 25 58 72 70 22 21 91 20 31 16 40 35 64 63 74 73 59 69 10 76 97 29 53 0,29 58
NSGA_III,1,2,183.74,1838.1,0 92 54 94 51 79 90 65 87 52 75 81 8 47 38 44 83 88 39 37 17 13 95 57 0,
NSGA_III,1,3,183.74,1838.1,0 34 1 0,
NSGA_III,1,4,183.74,1838.1,0 4 24 45 49 32 60 93 9 7 96 11 14 85 98 15 71 19 18 33 84 82 67 36 3 77 43 0,19 36
NSGA_III,1,5,183.74,1838.1,0 48 62 86 23 56 68 2 27 12 41 30 78 28 42 55 100 61 5 6 66 80 0,62
NSGA_III,1,6,183.74,1838.1,0 46 89 26 50 0,
NSGA_III,2,1,236.71,1583.83,0 18 33 27 8 49 0,
NSGA_III,2,2,236.71,1583.83,0 17 95 0,
NSGA_III,2,3,236.71,1583.83,0 77 48 43 34 22 68 19 20 40 35 71 15 73 83 26 10 69 46 42 76 9 75 61 52 6 79 53 80 0,
NSGA_III,2,4,236.71,1583.83,0 51 0,
NSGA_III,2,5,236.71,1583.83,0 92 62 3 67 82 1 23 84 56 16 91 31 30 64 78 74 63 88 85 98 14 11 59 38 47 28 7 55 97 60 87 5 90 24 4 0,85
NSGA_III,2,6,236.71,1583.83,0 13 12 41 57 96 44 89 81 100 93 29 65 45 94 32 36 54 70 72 86 58 50 2 25 37 39 21 99 66 0,25 72
NSGA_III,3,1,204.47,1655.37,0 43 92 62 3 67 82 23 84 20 31 16 35 30 88 74 85 98 14 27 95 59 7 76 55 97 60 52 6 51 0,30 31 85
NSGA_III,3,2,204.47,1655.37,0 50 1 56 91 15 64 78 63 11 83 96 26 38 47 89 28 75 5 87 90 32 94 24 4 0,32
NSGA_III,3,3,204.47,1655.37,0 2 25 58 37 39 86 72 70 54 36 45 65 29 93 100 81 69 44 57 41 12 0,41 58
NSGA_III,3,4,204.47,1655.37,0 79 49 66 53 80 8 42 9 46 10 13 73 71 40 19 18 68 33 22 21 34 99 77 48 0,19
NSGA_III,3,5,204.47,1655.37,0 17 0,
NSGA_III,3,6,204.47,1655.37,0 61 0,
NSGA_III,4,1,220.64,1585.92,0 4 24 94 45 5 29 60 97 93 76 7 28 89 47 38 44 59 96 14 98 85 88 74 64 30 20 91 16 56 84 82 58 62 1 34 43 0,88 91
NSGA_III,4,2,220.64,1585.92,0 2 25 50 92 3 36 54 72 67 86 39 37 21 18 17 15 78 63 11 41 12 13 57 46 42 55 81 100 61 87 6 65 90 51 53 66 0,36 72
NSGA_III,4,3,220.64,1585.92,0 8 70 99 0,
NSGA_III,4,4,220.64,1585.92,0 69 48 0,
NSGA_III,4,5,220.64,1585.92,0 31 0,
NSGA_III,4,6,220.64,1585.92,0 27 73 95 83 26 10 9 75 52 79 32 49 80 77 22 23 33 68 19 40 71 35 0,
NSGA_III,5,1,170.93,1987.18,0 80 53 9 46 69 10 13 73 71 40 19 68 22 21 99 2 25 0,
NSGA_III,5,2,170.93,1987.18,0 27 8 61 79 49 66 48 33 18 17 0,48
NSGA_III,5,3,170.93,1987.18,0 1 56 91 64 78 63 11 95 38 47 28 5 87 52 90 24 4 0,4
NSGA_III,5,4,170.93,1987.18,0 50 58 36 54 70 72 32 94 45 29 93 75 81 89 26 44 96 83 15 12 0,93
NSGA_III,5,5,170.93,1987.18,0 51 65 6 100 76 42 59 57 14 85 35 20 37 34 43 62 77 0,
NSGA_III,5,6,170.93,1987.18,0 7 55 97 60 41 30 74 88 98 31 16 39 84 23 82 86 67 3 92 0,
NSGA_III,6,1,545.12,1207.79,0 75 51 49 0,
NSGA_III,6,2,545.12,1207.79,0 9 73 0,
NSGA_III,6,3,545.12,1207.79,0 8 60 0,
