algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
ALNSMO,1,1,165.28,1313.94,0 29 52 70 3 62 43 99 69 91 20 17 16 31 93 64 88 98 26 14 10 89 0,14 16 69 93
ALNSMO,1,2,165.28,1313.94,0 100 87 76 9 81 0,87
ALNSMO,1,3,165.28,1313.94,0 92 54 33 84 37 68 39 56 40 75 35 12 27 11 42 57 0,27 42 54 75
ALNSMO,1,4,165.28,1313.94,0 83 4 24 66 86 77 72 61 97 7 46 28 96 59 44 47 38 0,33 47 77 83
ALNSMO,1,5,165.28,1313.94,0 95 8 41 13 73 15 85 63 74 78 30 71 19 18 53 51 49 36 94 45 80 0,8 13 19 36
ALNSMO,1,6,165.28,1313.94,0 79 55 90 6 65 60 5 32 67 82 23 25 22 21 1 34 58 48 50 2 0,3 25 47 55 60
ALNSMO,2,1,165.28,1313.94,0 29 52 70 3 62 43 99 69 91 20 17 16 31 93 64 88 98 26 14 10 89 0,14 16 69 93
ALNSMO,2,2,165.28,1313.94,0 100 87 76 9 81 0,87
ALNSMO,2,3,165.28,1313.94,0 92 54 33 84 37 68 39 56 40 75 35 12 27 11 42 57 0,27 42 54 75
ALNSMO,2,4,165.28,1313.94,0 83 4 24 66 86 77 72 61 97 7 46 28 96 59 44 47 38 0,33 47 77 83
ALNSMO,2,5,165.28,1313.94,0 95 8 41 13 73 15 85 63 74 78 30 71 19 18 53 51 49 36 94 45 80 0,8 13 19 36
ALNSMO,2,6,165.28,1313.94,0 79 55 90 6 65 60 5 32 67 82 23 25 22 21 1 34 58 48 50 2 0,3 25 47 55 60
ALNSMO,3,1,148.12,1635.83,0 91 43 69 62 67 70 52 29 9 14 10 88 98 31 16 17 20 0,14 16 69 88 93
ALNSMO,3,2,148.12,1635.83,0 80 66 93 100 87 81 76 96 11 95 59 0,87
ALNSMO,3,3,148.12,1635.83,0 92 54 84 37 68 39 56 40 19 35 42 30 64 57 12 75 0,19 42 54 75
ALNSMO,3,4,148.12,1635.83,0 4 2 77 99 83 1 86 33 72 61 97 7 28 38 44 26 46 0,33 77 83
ALNSMO,3,5,148.12,1635.83,0 78 74 15 63 27 85 13 73 8 41 89 53 51 49 94 36 45 71 18 0,8 13 15 27 36
ALNSMO,3,6,148.12,1635.83,0 79 65 3 6 60 90 55 5 32 25 82 47 22 23 21 34 50 58 48 24 0,3 23 25 47 55 60
ALNSMO,4,1,148.12,1635.83,0 91 43 69 62 67 70 52 29 9 14 10 88 98 31 16 17 20 0,14 16 69 88 93
ALNSMO,4,2,148.12,1635.83,0 80 66 93 100 87 81 76 96 11 95 59 0,87
ALNSMO,4,3,148.12,1635.83,0 92 54 84 37 68 39 56 40 19 35 42 30 64 57 12 75 0,19 42 54 75
ALNSMO,4,4,148.12,1635.83,0 4 2 77 99 83 1 86 33 72 61 97 7 28 38 44 26 46 0,33 77 83
ALNSMO,4,5,148.12,1635.83,0 78 74 15 63 27 85 13 73 8 41 89 53 51 49 94 36 45 71 18 0,8 13 15 27 36
ALNSMO,4,6,148.12,1635.83,0 79 65 3 6 60 90 55 5 32 25 82 47 22 23 21 34 50 58 48 24 0,3 23 25 47 55 60
ALNSMO,5,1,155.83,1316.28,0 29 52 70 62 43 69 99 91 20 17 16 31 93 64 88 98 26 14 10 89 0,14 16 69 88 93
ALNSMO,5,2,155.83,1316.28,0 81 9 76 87 100 0,87
ALNSMO,5,3,155.83,1316.28,0 92 54 84 33 37 68 39 56 40 75 35 27 12 42 11 57 0,27 42 54 75
ALNSMO,5,4,155.83,1316.28,0 4 24 83 66 77 86 72 61 97 7 46 28 96 59 44 47 38 0,33 47 77 83
ALNSMO,5,5,155.83,1316.28,0 95 13 41 8 73 85 15 63 74 78 30 19 71 18 53 51 49 36 94 45 80 0,8 13 15 19 36
ALNSMO,5,6,155.83,1316.28,0 79 55 5 60 6 65 3 90 32 67 82 25 22 23 21 34 1 58 48 50 2 0,3 23 25 47 55 60
ALNSMO,6,1,155.13,1503.6,0 9 29 52 70 67 62 69 43 91 20 31 16 88 98 59 10 14 0,14 16 69 93 98
ALNSMO,6,2,155.13,1503.6,0 80 66 93 87 100 81 76 96 11 95 0,87
ALNSMO,6,3,155.13,1503.6,0 92 54 84 56 39 68 37 40 17 42 35 19 30 64 57 75 12 0,19 42 54 75
ALNSMO,6,4,155.13,1503.6,0 4 33 2 83 99 1 77 72 61 97 7 46 28 38 44 26 0,33 77 83
ALNSMO,6,5,155.13,1503.6,0 45 36 94 49 51 53 89 41 8 73 78 74 15 63 13 85 71 18 27 0,8 13 15 27 36
ALNSMO,6,6,155.13,1503.6,0 79 55 6 3 65 90 60 5 32 86 47 82 25 22 23 21 34 50 48 58 24 0,3 23 25 47 55 60
ALNSMO,7,1,152.76,1522.41,0 9 29 52 70 67 62 43 69 91 20 31 16 88 98 14 10 59 0,16 69 93 98
ALNSMO,7,2,152.76,1522.41,0 80 66 93 100 87 81 76 96 11 95 0,87
ALNSMO,7,3,152.76,1522.41,0 92 54 84 37 68 39 56 40 17 42 35 19 30 64 57 75 12 0,19 42 54 75
ALNSMO,7,4,152.76,1522.41,0 4 77 1 83 99 33 2 72 61 97 46 7 28 38 44 26 0,33 83
ALNSMO,7,5,152.76,1522.41,0 45 36 94 49 51 53 89 41 8 73 85 13 63 15 74 78 27 71 18 0,8 13 15 27 36
ALNSMO,7,6,152.76,1522.41,0 79 65 3 6 60 90 55 5 32 25 86 82 47 22 23 21 34 50 48 58 24 0,3 23 25 47 55 60
ALNSMO,8,1,155.5,1408.71,0 29 52 70 62 43 69 99 91 20 17 16 31 93 64 88 98 26 14 10 89 0,14 16 69 88 93
ALNSMO,8,2,155.5,1408.71,0 81 9 76 87 100 0,87
ALNSMO,8,3,155.5,1408.71,0 92 54 84 33 37 68 39 50 56 40 75 35 27 12 42 11 57 0,27 42 54 75
ALNSMO,8,4,155.5,1408.71,0 4 24 83 66 77 86 72 61 97 7 46 28 96 59 44 47 38 0,33 47 77 83
ALNSMO,8,5,155.5,1408.71,0 95 13 41 8 73 85 15 63 74 78 30 19 71 18 53 51 49 36 94 45 80 0,8 13 15 19 36
ALNSMO,8,6,155.5,1408.71,0 79 55 5 60 6 65 3 90 32 67 82 25 22 23 21 34 1 58 48 2 0,3 23 25 47 55 60
ALNSMO,9,1,155.5,1408.71,0 29 52 70 62 43 69 99 91 20 17 16 31 93 64 88 98 26 14 10 89 0,14 16 69 88 93
ALNSMO,9,2,155.5,1408.71,0 81 9 76 87 100 0,87
ALNSMO,9,3,155.5,1408.71,0 92 54 84 33 37 68 39 50 56 40 75 35 27 12 42 11 57 0,27 42 54 75
ALNSMO,9,4,155.5,1408.71,0 4 24 83 66 77 86 72 61 97 7 46 28 96 59 44 47 38 0,33 47 77 83
ALNSMO,9,5,155.5,1408.71,0 95 13 41 8 73 85 15 63 74 78 30 19 71 18 53 51 49 36 94 45 80 0,8 13 15 19 36
ALNSMO,9,6,155.5,1408.71,0 79 55 5 60 6 65 3 90 32 67 82 25 22 23 21 34 1 58 48 2 0,3 23 25 47 55 60
ALNSMO,10,1,160.79,1313.96,0 29 52 70 3 62 43 99 69 91 20 17 16 31 93 64 88 98 26 14 10 89 0,14 16 69 88 93
ALNSMO,10,2,160.79,1313.96,0 100 87 76 9 81 0,87
ALNSMO,10,3,160.79,1313.96,0 92 54 33 84 37 68 39 56 40 75 35 12 27 11 42 57 0,27 42 54 75
ALNSMO,10,4,160.79,1313.96,0 83 4 24 66 86 77 72 61 97 7 46 28 96 59 44 47 38 0,33 47 77 83
ALNSMO,10,5,160.79,1313.96,0 95 8 41 13 73 15 85 63 74 78 30 71 19 18 53 51 49 36 94 45 80 0,8 13 19 36
ALNSMO,10,6,160.79,1313.96,0 79 55 90 6 65 60 5 32 67 82 23 25 22 21 1 34 58 48 50 2 0,3 25 47 55 60
ALNSMO,11,1,160.28,1316.27,0 29 52 70 62 43 69 99 91 20 17 16 31 93 64 88 98 26 14 10 89 0,14 16 69 93
ALNSMO,11,2,160.28,1316.27,0 81 9 76 87 100 0,87
ALNSMO,11,3,160.28,1316.27,0 92 54 84 33 37 68 39 56 40 75 35 27 12 42 11 57 0,27 42 54 75
ALNSMO,11,4,160.28,1316.27,0 4 24 83 66 77 86 72 61 97 7 46 28 96 59 44 47 38 0,33 47 77 83
ALNSMO,11,5,160.28,1316.27,0 95 13 41 8 73 85 15 63 74 78 30 19 71 18 53 51 49 36 94 45 80 0,8 13 15 19 36
ALNSMO,11,6,160.28,1316.27,0 79 55 5 60 6 65 3 90 32 67 82 25 22 23 21 34 1 58 48 50 2 0,3 23 25 47 55 60
ALNSMO,12,1,152.56,1581.26,0 9 29 52 70 67 62 43 69 91 20 17 31 16 88 98 10 14 0,14 16 69 93 98
ALNSMO,12,2,152.56,1581.26,0 80 66 93 87 100 81 76 46 96 11 95 59 0,87
ALNSMO,12,3,152.56,1581.26,0 54 92 84 37 68 39 56 40 42 35 19 30 64 57 12 75 0,19 42 54 75
ALNSMO,12,4,152.56,1581.26,0 4 2 77 99 83 1 33 86 72 61 97 7 28 44 38 26 0,33 77 83
ALNSMO,12,5,152.56,1581.26,0 45 36 94 49 51 53 89 41 8 73 13 85 27 63 15 74 78 18 71 0,8 13 15 27 36
ALNSMO,12,6,152.56,1581.26,0 79 6 3 65 60 90 55 5 32 47 82 25 22 23 21 34 50 58 48 24 0,3 23 25 47 55 60
ALNSMO,13,1,148.14,1597.99,0 9 29 52 70 67 62 43 69 91 14 10 88 98 31 16 17 20 0,14 16 69 88 93
ALNSMO,13,2,148.14,1597.99,0 80 66 93 100 87 81 76 96 11 95 59 0,87
ALNSMO,13,3,148.14,1597.99,0 92 54 84 37 68 39 56 40 19 35 64 30 42 57 12 75 0,19 42 54 75
ALNSMO,13,4,148.14,1597.99,0 4 2 77 99 83 1 86 33 72 61 97 7 46 28 26 44 38 0,33 77 83
ALNSMO,13,5,148.14,1597.99,0 45 36 94 49 51 53 89 41 8 73 13 85 27 63 15 74 78 71 18 0,8 13 15 27 36
ALNSMO,13,6,148.14,1597.99,0 79 65 60 6 3 90 55 5 32 25 82 47 22 23 21 34 50 58 48 24 0,3 23 25 47 55 60
ALNSMO,14,1,151.52,1591.71,0 9 14 10 98 88 16 31 17 20 91 69 43 62 67 70 52 29 0,14 16 69 93 98
ALNSMO,14,2,151.52,1591.71,0 80 66 93 100 87 81 76 96 11 95 59 0,87
ALNSMO,14,3,151.52,1591.71,0 92 54 84 37 68 39 56 40 19 35 42 30 64 57 12 75 0,19 42 54 75
ALNSMO,14,4,151.52,1591.71,0 4 2 77 99 83 1 33 86 72 61 97 7 28 44 38 26 46 0,33 77 83
ALNSMO,14,5,151.52,1591.71,0 45 36 94 49 51 53 89 41 8 73 13 85 27 63 15 74 78 18 71 0,8 13 15 27 36
