Instance,"C(N3,AL)","C(AL,N3)"
h200C1_2_1,0.0,0.7727272727272727
h200C1_2_10,0.0,0.9032258064516129
h200C1_2_2,0.0,0.5217391304347826
h200C1_2_3,0.0,0.5142857142857142
h200C1_2_4,0.0,0.6538461538461539
h200C1_2_5,0.0,0.5333333333333333
h200C1_2_6,0.0,0.5
h200C1_2_7,0.0,0.4090909090909091
h200C1_2_8,0.0,0.6666666666666666
h200C1_2_9,0.0,0.4827586206896552
h200C2_2_1,0.0,0.4
h200C2_2_10,0.0,0.5666666666666667
h200C2_2_2,0.0,0.6296296296296297
h200C2_2_3,0.0,0.08333333333333333
h200C2_2_4,0.0,0.76
h200C2_2_5,0.0,0.2631578947368421
h200C2_2_6,0.0,0.7037037037037037
h200C2_2_7,0.0,0.7083333333333334
h200C2_2_8,0.0,0.13043478260869565
h200C2_2_9,0.0,0.6176470588235294
h200R1_2_1,0.0,0.6956521739130435
h200R1_2_10,0.0,0.5666666666666667
h200R1_2_2,0.0,0.5454545454545454
h200R1_2_3,0.0,0.6666666666666666
h200R1_2_4,0.0,0.48484848484848486
h200R1_2_5,0.0,0.7272727272727273
h200R1_2_6,0.0,0.4166666666666667
h200R1_2_7,0.0,0.17391304347826086
h200R1_2_8,0.0,0.6333333333333333
h200R1_2_9,0.0,0.5
h200R2_2_1,0.0,0.7
h200R2_2_10,0.0,0.20588235294117646
h200R2_2_2,0.0,0.2857142857142857
h200R2_2_3,0.0,0.3181818181818182
h200R2_2_4,0.0,0.1935483870967742
h200R2_2_5,0.0,0.5714285714285714
h200R2_2_6,0.0,0.2631578947368421
h200R2_2_7,0.0,0.14705882352941177
h200R2_2_8,0.0,0.7894736842105263
h200R2_2_9,0.0,0.6538461538461539
h200RC1_2_1,0.0,0.7333333333333333
h200RC1_2_10,0.0,0.36
h200RC1_2_2,0.0,0.4642857142857143
h200RC1_2_3,0.0,0.4117647058823529
h200RC1_2_4,0.0,0.625
h200RC1_2_5,0.0,0.37037037037037035
h200RC1_2_6,0.0,0.43333333333333335
h200RC1_2_7,0.0,0.42857142857142855
h200RC1_2_8,0.0,0.75
h200RC1_2_9,0.0,0.7777777777777778
h200RC2_2_1,0.0,0.7096774193548387
h200RC2_2_10,0.0,0.56
h200RC2_2_2,0.0,0.6923076923076923
h200RC2_2_3,0.0,0.875
h200RC2_2_4,0.0,0.6206896551724138
h200RC2_2_5,0.0,0.3333333333333333
h200RC2_2_6,0.0,0.52
h200RC2_2_7,0.0,0.21052631578947367
h200RC2_2_8,0.0,0.32142857142857145
h200RC2_2_9,0.0,0.23684210526315788
