Instance,NSGA_III,ALNSMO
h200C1_2_1,657068.7783540003,777748.1309640002
h200C1_2_10,1212698.3023480012,1347212.6340579998
h200C1_2_2,1586269.0380560006,1451705.8620860006
h200C1_2_3,2149363.0821080003,1880820.613268001
h200C1_2_4,1158617.1432580003,1111561.5557979997
h200C1_2_5,2221959.431435001,1927844.1873350006
h200C1_2_6,1685780.6100500005,1380581.2067000004
h200C1_2_7,1712489.345386001,1276703.689596001
h200C1_2_8,1281069.2343320006,1344991.6977419998
h200C1_2_9,2081921.7277360004,1971526.4678959996
h200C2_2_1,2427961.142480001,1928576.1065200013
h200C2_2_10,745443.3258150005,674483.1839850002
h200C2_2_2,1750755.117715001,1598202.0754950007
h200C2_2_3,2035172.762733001,1193659.614153001
h200C2_2_4,1516389.0599950007,1360097.2811950005
h200C2_2_5,2545818.3999990006,1887658.9203789998
h200C2_2_6,1358009.0177000011,1313469.3222100006
h200C2_2_7,1866653.730187001,1642227.324147001
h200C2_2_8,2146939.8788080006,1324795.7886680008
h200C2_2_9,2774428.101824001,2532989.2202740014
h200R1_2_1,2335644.43893,2202525.185780001
h200R1_2_10,2025528.299396001,1814295.4807960005
h200R1_2_2,2261254.7193960003,2153785.8406760017
h200R1_2_3,2124248.1744120005,1846570.9615020005
h200R1_2_4,1991174.2033030007,1454774.126483001
h200R1_2_5,1616945.8071340001,1598435.970494
h200R1_2_6,2704770.6797410008,2340851.5941510014
h200R1_2_7,2239868.2394040003,1341354.732304
h200R1_2_8,1745398.2553000005,1554695.2380000015
h200R1_2_9,3264981.031540001,2852225.713039999
h200R2_2_1,1632089.1743760007,1409370.7579560007
h200R2_2_10,1798917.46076,857107.0708800007
h200R2_2_2,1637616.9713040006,1121719.7476540008
h200R2_2_3,1286298.6088459997,737547.9838359999
h200R2_2_4,1688051.9230140008,838395.1211140004
h200R2_2_5,2154842.597726,1482055.8883860004
h200R2_2_6,685892.9573340004,481000.7529840004
h200R2_2_7,1820229.9251560008,708874.9944460004
h200R2_2_8,767616.8355800002,841866.5093799998
h200R2_2_9,1994246.5898120003,1843039.496282001
h200RC1_2_1,3075294.9690959994,3096949.908775999
h200RC1_2_10,2328966.438585001,1929036.0355550013
h200RC1_2_2,2268573.581396001,1862301.3086060004
h200RC1_2_3,2592003.953635,1828279.4487450006
h200RC1_2_4,1266883.9212350014,1352430.4248950009
h200RC1_2_5,2359615.811730001,2023977.812190002
h200RC1_2_6,3349941.7191179995,2944354.036998001
h200RC1_2_7,3020620.8075499996,2365122.467700001
h200RC1_2_8,1569649.30674,1554649.7778400006
h200RC1_2_9,2056757.0443060007,2321623.0535760005
h200RC2_2_1,990001.1226400007,932717.3087100004
h200RC2_2_10,1285697.3826380007,1277415.605438
h200RC2_2_2,1735915.980516001,1486806.2884460005
h200RC2_2_3,1041326.0278580001,1224972.3302980002
h200RC2_2_4,1751723.0219820011,1662896.345762
h200RC2_2_5,1587105.666806,1219931.3008759997
h200RC2_2_6,1799904.0207960005,1522114.5730860005
h200RC2_2_7,883329.2474510004,679356.6658410003
h200RC2_2_8,864781.3211350001,689682.3707650003
h200RC2_2_9,2478683.9036910003,1796903.994521
