algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
ALNSMO,1,1,279.33,3595.22,0 199 159 153 24 20 98 85 140 165 92 43 194 174 126 171 192 68 123 107 14 51 16 198 95 187 182 9 2 137 186 151 113 37 48 4 128 132 130 0,14 48 62 68 92 128 130 159 186 187
ALNSMO,1,2,279.33,3595.22,0 56 6 105 189 52 36 116 49 0,56 74 116
ALNSMO,1,3,279.33,3595.22,0 122 196 184 41 90 183 84 86 45 11 77 97 66 138 125 79 167 42 173 5 104 195 7 96 131 146 32 54 164 21 200 57 74 103 99 33 129 143 17 0,5 11 57 90 96 122 125 129 190
ALNSMO,1,4,279.33,3595.22,0 65 179 26 148 73 82 170 177 111 46 191 101 76 197 110 150 39 70 71 29 185 27 44 58 147 47 12 149 30 120 31 162 23 67 124 121 169 13 50 102 0,12 30 38 69 76 102 110 111 121 148 179 191
ALNSMO,1,5,279.33,3595.22,0 94 75 93 109 3 136 112 35 69 127 172 190 158 53 168 155 119 142 10 87 115 61 88 25 114 59 160 145 161 134 40 181 154 133 91 117 72 0,5 53 72 87 93 112 155 190
ALNSMO,1,6,279.33,3595.22,0 180 152 135 81 89 157 34 176 38 80 156 141 78 100 28 18 106 188 22 63 15 62 139 118 175 19 8 55 178 83 108 64 193 163 60 144 1 166 0,22 34 62 78 80 83 118 119 166 193
ALNSMO,2,1,279.33,3595.22,0 199 159 153 24 20 98 85 140 165 92 43 194 174 126 171 192 68 123 107 14 51 16 198 95 187 182 9 2 137 186 151 113 37 48 4 128 132 130 0,14 48 62 68 92 128 130 159 186 187
ALNSMO,2,2,279.33,3595.22,0 56 6 105 189 52 36 116 49 0,56 74 116
ALNSMO,2,3,279.33,3595.22,0 122 196 184 41 90 183 84 86 45 11 77 97 66 138 125 79 167 42 173 5 104 195 7 96 131 146 32 54 164 21 200 57 74 103 99 33 129 143 17 0,5 11 57 90 96 122 125 129 190
ALNSMO,2,4,279.33,3595.22,0 65 179 26 148 73 82 170 177 111 46 191 101 76 197 110 150 39 70 71 29 185 27 44 58 147 47 12 149 30 120 31 162 23 67 124 121 169 13 50 102 0,12 30 38 69 76 102 110 111 121 148 179 191
ALNSMO,2,5,279.33,3595.22,0 94 75 93 109 3 136 112 35 69 127 172 190 158 53 168 155 119 142 10 87 115 61 88 25 114 59 160 145 161 134 40 181 154 133 91 117 72 0,5 53 72 87 93 112 155 190
ALNSMO,2,6,279.33,3595.22,0 180 152 135 81 89 157 34 176 38 80 156 141 78 100 28 18 106 188 22 63 15 62 139 118 175 19 8 55 178 83 108 64 193 163 60 144 1 166 0,22 34 62 78 80 83 118 119 166 193
ALNSMO,3,1,256.8,5095.01,0 130 132 128 4 170 113 37 48 151 186 137 20 98 85 165 92 43 174 126 171 192 68 107 14 51 16 198 187 182 36 2 52 135 159 199 0,14 48 62 68 92 128 130 159 186 187
ALNSMO,3,2,256.8,5095.01,0 150 54 9 26 56 74 194 105 189 173 24 49 29 138 116 79 3 0,56 150
ALNSMO,3,3,256.8,5095.01,0 122 45 11 77 84 86 190 184 196 81 97 66 125 131 58 7 96 195 41 127 90 183 5 104 42 167 146 32 164 21 200 57 140 103 33 99 129 143 17 0,5 11 21 32 57 90 96 122 125 129 190 196
ALNSMO,3,4,256.8,5095.01,0 70 39 76 101 110 65 148 73 177 38 82 191 145 179 46 111 6 147 149 69 12 102 136 50 13 124 121 31 30 120 35 169 162 23 67 185 27 44 71 0,38 67 69 76 102 110 111 121 148 169 179 191
