algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
ALNSMO,1,1,209.31,4339.5,0 64 200 67 118 199 158 87 190 53 41 119 24 147 84 180 29 100 98 42 57 20 80 173 28 167 141 188 117 175 129 93 142 162 10 0,80 180 199 200
ALNSMO,1,2,209.31,4339.5,0 112 159 52 105 77 61 11 169 124 88 121 37 160 26 99 83 59 33 62 139 192 126 106 43 165 70 164 187 48 16 161 163 94 0,75 94 112 139 161
ALNSMO,1,3,209.31,4339.5,0 23 31 183 172 35 151 30 12 47 108 1 81 135 97 66 7 156 157 125 104 186 185 128 44 32 150 21 153 72 54 197 74 171 140 191 0,7 108 125 151 153
ALNSMO,1,4,209.31,4339.5,0 78 193 25 65 177 130 166 178 107 19 101 198 15 110 95 133 182 39 18 14 146 131 34 58 176 195 136 38 168 90 120 149 3 0,1 49 86 101 133 136
ALNSMO,1,5,209.31,4339.5,0 196 45 2 181 89 155 27 71 79 85 68 103 92 76 69 63 138 152 137 115 22 113 114 127 73 179 148 170 145 143 82 4 111 60 0,69 127 143 155 181
ALNSMO,1,6,209.31,4339.5,0 109 96 86 102 36 5 9 6 49 75 189 144 50 132 13 56 17 184 8 55 134 123 194 174 116 154 91 40 122 46 51 0,13 49 96 184 189
ALNSMO,2,1,209.31,4339.5,0 64 200 67 118 199 158 87 190 53 41 119 24 147 84 180 29 100 98 42 57 20 80 173 28 167 141 188 117 175 129 93 142 162 10 0,80 180 199 200
ALNSMO,2,2,209.31,4339.5,0 112 159 52 105 77 61 11 169 124 88 121 37 160 26 99 83 59 33 62 139 192 126 106 43 165 70 164 187 48 16 161 163 94 0,75 94 112 139 161
ALNSMO,2,3,209.31,4339.5,0 23 31 183 172 35 151 30 12 47 108 1 81 135 97 66 7 156 157 125 104 186 185 128 44 32 150 21 153 72 54 197 74 171 140 191 0,7 108 125 151 153
ALNSMO,2,4,209.31,4339.5,0 78 193 25 65 177 130 166 178 107 19 101 198 15 110 95 133 182 39 18 14 146 131 34 58 176 195 136 38 168 90 120 149 3 0,1 49 86 101 133 136
ALNSMO,2,5,209.31,4339.5,0 196 45 2 181 89 155 27 71 79 85 68 103 92 76 69 63 138 152 137 115 22 113 114 127 73 179 148 170 145 143 82 4 111 60 0,69 127 143 155 181
ALNSMO,2,6,209.31,4339.5,0 109 96 86 102 36 5 9 6 49 75 189 144 50 132 13 56 17 184 8 55 134 123 194 174 116 154 91 40 122 46 51 0,13 49 96 184 189
ALNSMO,3,1,203.98,4862.86,0 111 60 64 200 67 118 199 158 87 190 53 41 119 24 147 84 180 100 57 20 80 173 28 141 188 140 95 123 129 142 162 10 6 0,80 180 199 200
ALNSMO,3,2,203.98,4862.86,0 112 159 52 105 77 61 11 124 88 121 37 160 26 114 99 83 33 62 139 126 174 106 165 70 164 48 15 16 198 161 163 94 0,75 94 112 139 161
ALNSMO,3,3,203.98,4862.86,0 4 148 31 183 172 35 151 30 12 47 108 81 135 97 7 29 156 157 125 186 185 32 71 150 21 153 187 54 197 40 74 171 191 0,7 108 125 151 153
ALNSMO,3,4,203.98,4862.86,0 78 193 25 65 177 166 178 107 101 91 110 133 182 72 39 1 18 86 14 146 131 34 58 98 176 195 136 38 168 90 120 23 149 3 0,1 49 65 86 101 133 136
ALNSMO,3,5,203.98,4862.86,0 196 45 2 181 89 155 104 27 42 79 167 85 68 103 92 76 69 63 138 152 137 115 22 113 127 73 59 179 170 145 143 82 8 19 0,69 127 143 155 170 181
ALNSMO,3,6,203.98,4862.86,0 109 66 96 44 128 102 36 5 9 49 75 189 144 50 132 13 56 17 184 169 93 130 55 134 117 194 116 43 192 154 175 122 46 51 0,13 49 96 184 189
ALNSMO,4,1,203.98,4862.86,0 111 60 64 200 67 118 199 158 87 190 53 41 119 24 147 84 180 100 57 20 80 173 28 141 188 140 95 123 129 142 162 10 6 0,80 180 199 200
ALNSMO,4,2,203.98,4862.86,0 112 159 52 105 77 61 11 124 88 121 37 160 26 114 99 83 33 62 139 126 174 106 165 70 164 48 15 16 198 161 163 94 0,75 94 112 139 161
