algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
ALNSMO,1,1,256.16,3632.8,0 196 153 87 3 186 58 89 42 182 100 94 66 5 36 48 191 101 110 68 188 171 154 133 59 33 83 160 166 26 92 114 178 179 37 55 65 62 193 137 78 0,22 33 55 87 92 94 137 178 182
ALNSMO,1,2,256.16,3632.8,0 60 17 13 132 8 130 96 145 73 53 142 80 183 168 190 118 67 1 28 195 176 185 44 128 27 131 79 70 164 197 165 122 134 149 0,53 78 80 96 149 168
ALNSMO,1,3,256.16,3632.8,0 16 175 198 174 39 116 74 63 126 140 15 187 123 139 51 148 113 170 91 161 82 143 124 102 10 162 69 90 35 41 147 144 81 173 93 112 103 2 49 9 180 0,35 39 91 93 102 103 126 147 175 187
ALNSMO,1,4,256.16,3632.8,0 199 152 85 98 32 14 71 138 189 52 159 0,
ALNSMO,1,5,256.16,3632.8,0 50 64 151 169 121 88 105 61 155 172 158 30 115 23 22 24 45 75 47 86 84 57 20 135 127 125 40 18 150 76 106 192 117 95 194 107 19 0,9 22 40 105 115 121 122 127 156 194
ALNSMO,1,6,256.16,3632.8,0 97 54 141 181 167 157 38 156 7 104 34 29 146 72 43 200 21 46 129 99 25 56 4 163 111 11 108 31 120 12 119 184 109 77 136 6 177 0,4 21 54 99 104 108 119 136 156 177 181
ALNSMO,2,1,256.16,3632.8,0 196 153 87 3 186 58 89 42 182 100 94 66 5 36 48 191 101 110 68 188 171 154 133 59 33 83 160 166 26 92 114 178 179 37 55 65 62 193 137 78 0,22 33 55 87 92 94 137 178 182
ALNSMO,2,2,256.16,3632.8,0 60 17 13 132 8 130 96 145 73 53 142 80 183 168 190 118 67 1 28 195 176 185 44 128 27 131 79 70 164 197 165 122 134 149 0,53 78 80 96 149 168
ALNSMO,2,3,256.16,3632.8,0 16 175 198 174 39 116 74 63 126 140 15 187 123 139 51 148 113 170 91 161 82 143 124 102 10 162 69 90 35 41 147 144 81 173 93 112 103 2 49 9 180 0,35 39 91 93 102 103 126 147 175 187
ALNSMO,2,4,256.16,3632.8,0 199 152 85 98 32 14 71 138 189 52 159 0,
ALNSMO,2,5,256.16,3632.8,0 50 64 151 169 121 88 105 61 155 172 158 30 115 23 22 24 45 75 47 86 84 57 20 135 127 125 40 18 150 76 106 192 117 95 194 107 19 0,9 22 40 105 115 121 122 127 156 194
ALNSMO,2,6,256.16,3632.8,0 97 54 141 181 167 157 38 156 7 104 34 29 146 72 43 200 21 46 129 99 25 56 4 163 111 11 108 31 120 12 119 184 109 77 136 6 177 0,4 21 54 99 104 108 119 136 156 177 181
ALNSMO,3,1,256.16,3632.8,0 196 153 87 3 186 58 89 42 182 100 94 66 5 36 48 191 101 110 68 188 171 154 133 59 33 83 160 166 26 92 114 178 179 37 55 65 62 193 137 78 0,22 33 55 87 92 94 137 178 182
ALNSMO,3,2,256.16,3632.8,0 60 17 13 132 8 130 96 145 73 53 142 80 183 168 190 118 67 1 28 195 176 185 44 128 27 131 79 70 164 197 165 122 134 149 0,53 78 80 96 149 168
ALNSMO,3,3,256.16,3632.8,0 16 175 198 174 39 116 74 63 126 140 15 187 123 139 51 148 113 170 91 161 82 143 124 102 10 162 69 90 35 41 147 144 81 173 93 112 103 2 49 9 180 0,35 39 91 93 102 103 126 147 175 187
ALNSMO,3,4,256.16,3632.8,0 199 152 85 98 32 14 71 138 189 52 159 0,
ALNSMO,3,5,256.16,3632.8,0 50 64 151 169 121 88 105 61 155 172 158 30 115 23 22 24 45 75 47 86 84 57 20 135 127 125 40 18 150 76 106 192 117 95 194 107 19 0,9 22 40 105 115 121 122 127 156 194
ALNSMO,3,6,256.16,3632.8,0 97 54 141 181 167 157 38 156 7 104 34 29 146 72 43 200 21 46 129 99 25 56 4 163 111 11 108 31 120 12 119 184 109 77 136 6 177 0,4 21 54 99 104 108 119 136 156 177 181
ALNSMO,4,1,256.16,3632.8,0 196 153 87 3 186 58 89 42 182 100 94 66 5 36 48 191 101 110 68 188 171 154 133 59 33 83 160 166 26 92 114 178 179 37 55 65 62 193 137 78 0,22 33 55 87 92 94 137 178 182
ALNSMO,4,2,256.16,3632.8,0 60 17 13 132 8 130 96 145 73 53 142 80 183 168 190 118 67 1 28 195 176 185 44 128 27 131 79 70 164 197 165 122 134 149 0,53 78 80 96 149 168
ALNSMO,4,3,256.16,3632.8,0 16 175 198 174 39 116 74 63 126 140 15 187 123 139 51 148 113 170 91 161 82 143 124 102 10 162 69 90 35 41 147 144 81 173 93 112 103 2 49 9 180 0,35 39 91 93 102 103 126 147 175 187
ALNSMO,4,4,256.16,3632.8,0 199 152 85 98 32 14 71 138 189 52 159 0,
ALNSMO,4,5,256.16,3632.8,0 50 64 151 169 121 88 105 61 155 172 158 30 115 23 22 24 45 75 47 86 84 57 20 135 127 125 40 18 150 76 106 192 117 95 194 107 19 0,9 22 40 105 115 121 122 127 156 194
ALNSMO,4,6,256.16,3632.8,0 97 54 141 181 167 157 38 156 7 104 34 29 146 72 43 200 21 46 129 99 25 56 4 163 111 11 108 31 120 12 119 184 109 77 136 6 177 0,4 21 54 99 104 108 119 136 156 177 181
ALNSMO,5,1,256.16,3632.8,0 196 153 87 3 186 58 89 42 182 100 94 66 5 36 48 191 101 110 68 188 171 154 133 59 33 83 160 166 26 92 114 178 179 37 55 65 62 193 137 78 0,22 33 55 87 92 94 137 178 182
ALNSMO,5,2,256.16,3632.8,0 60 17 13 132 8 130 96 145 73 53 142 80 183 168 190 118 67 1 28 195 176 185 44 128 27 131 79 70 164 197 165 122 134 149 0,53 78 80 96 149 168
