algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
NSGA_II,1,1,466.47,1275.23,0 60 74 23 0,60
NSGA_II,1,2,466.47,1275.23,0 93 0,
NSGA_II,1,3,466.47,1275.23,0 26 58 0,
NSGA_II,1,4,466.47,1275.23,0 2 99 1 34 43 25 50 92 62 48 77 3 36 54 70 72 67 86 82 84 39 68 37 33 22 21 91 20 19 18 16 17 31 35 71 15 98 88 30 64 78 63 85 14 73 41 12 13 95 57 96 83 89 10 59 44 38 47 69 28 46 7 8 100 81 42 55 75 97 61 5 29 52 87 6 65 90 24 94 32 66 53 80 4 0,18 30 39 41 43 46 80 87 92 97
NSGA_II,1,5,466.47,1275.23,0 45 49 9 76 11 27 56 40 0,
NSGA_II,1,6,466.47,1275.23,0 51 79 0,
NSGA_II,2,1,344.57,1277.23,0 48 62 16 0,
NSGA_II,2,2,344.57,1277.23,0 53 94 51 24 5 61 90 65 6 52 60 8 81 76 9 28 26 83 11 14 64 63 74 78 35 17 19 18 56 84 23 37 1 99 2 25 43 58 0,26 74
NSGA_II,2,3,344.57,1277.23,0 55 97 0,97
NSGA_II,2,4,344.57,1277.23,0 77 0,
NSGA_II,2,5,344.57,1277.23,0 4 80 66 32 79 87 29 75 93 100 42 7 46 89 10 38 47 69 44 59 96 57 13 27 12 95 41 73 15 98 85 88 30 71 40 31 20 91 21 33 68 39 82 86 67 72 70 54 36 3 92 34 50 0,46 70
NSGA_II,2,6,344.57,1277.23,0 45 49 22 0,
NSGA_II,3,1,341.26,1417.97,0 45 0,
NSGA_II,3,2,341.26,1417.97,0 24 52 0,
NSGA_II,3,3,341.26,1417.97,0 29 100 76 10 83 74 15 17 19 0,100
NSGA_II,3,4,341.26,1417.97,0 99 0,
NSGA_II,3,5,341.26,1417.97,0 2 43 50 77 36 72 86 39 56 16 91 20 71 85 63 11 41 96 89 46 7 8 81 75 55 97 60 65 90 5 32 94 51 53 0,43
NSGA_II,3,6,341.26,1417.97,0 4 80 66 49 79 6 87 61 93 9 42 28 69 47 38 44 59 26 57 95 13 27 12 73 14 98 88 64 78 30 35 40 31 18 68 37 33 84 23 22 21 1 34 25 48 62 3 54 70 67 82 58 92 0,30 57 67
NSGA_II,4,1,331.58,1426.49,0 48 0,
NSGA_II,4,2,331.58,1426.49,0 62 0,
NSGA_II,4,3,331.58,1426.49,0 53 86 43 18 98 55 97 0,43 98
NSGA_II,4,4,331.58,1426.49,0 4 24 45 94 66 49 32 65 29 75 81 76 9 42 46 28 47 38 44 59 10 11 73 14 85 63 88 30 71 40 16 31 17 20 33 84 56 68 22 72 67 54 3 92 2 99 13 27 12 0,
NSGA_II,4,5,331.58,1426.49,0 51 79 0,
NSGA_II,4,6,331.58,1426.49,0 50 77 58 82 70 36 25 34 1 21 23 39 37 91 19 35 15 64 78 74 41 95 83 96 26 89 69 7 8 57 100 93 61 60 52 87 6 90 5 80 0,41
NSGA_II,5,1,328.93,1441.14,0 80 53 24 45 32 5 90 65 6 52 60 97 75 100 8 42 28 44 83 14 64 30 16 19 20 91 21 33 37 39 84 23 82 67 77 50 92 34 25 2 0,19 30
NSGA_II,5,2,328.93,1441.14,0 46 70 99 0,46
NSGA_II,5,3,328.93,1441.14,0 13 94 0,
NSGA_II,5,4,328.93,1441.14,0 4 56 11 0,
NSGA_II,5,5,328.93,1441.14,0 51 0,
NSGA_II,5,6,328.93,1441.14,0 27 12 41 73 15 98 85 88 63 74 78 71 35 40 31 17 18 68 22 86 72 54 36 3 58 62 1 43 48 66 49 79 29 87 61 93 9 55 76 81 7 69 47 38 59 26 10 89 96 57 95 0,3 41 57
NSGA_II,6,1,316.7,1445.39,0 50 67 51 79 6 29 5 61 97 55 75 46 89 10 44 83 11 13 15 64 78 74 63 85 71 35 17 68 56 84 37 21 99 2 0,10 67
NSGA_II,6,2,316.7,1445.39,0 41 69 45 32 36 0,69
NSGA_II,6,3,316.7,1445.39,0 20 80 87 52 60 8 0,
NSGA_II,6,4,316.7,1445.39,0 66 49 62 0,
NSGA_II,6,5,316.7,1445.39,0 92 22 33 39 31 0,39
NSGA_II,6,6,316.7,1445.39,0 4 24 90 65 93 100 81 9 76 42 7 28 47 38 59 26 96 57 95 27 12 73 14 98 88 30 40 16 18 19 91 23 1 34 43 25 48 77 58 54 70 72 82 86 3 94 53 0,43
NSGA_II,7,1,314.81,1451.59,0 9 0,
NSGA_II,7,2,314.81,1451.59,0 77 25 43 21 33 84 68 18 16 71 15 30 64 78 74 63 88 85 14 83 44 38 59 10 89 76 100 80 53 45 24 29 52 87 60 97 55 28 95 73 12 31 17 19 0,60 77 84
NSGA_II,7,3,314.81,1451.59,0 4 8 7 46 42 81 75 93 61 5 65 90 79 51 49 94 66 32 36 54 70 72 67 86 82 23 39 37 91 20 40 35 98 26 47 57 96 11 41 27 13 2 99 34 1 92 0,96
NSGA_II,7,4,314.81,1451.59,0 58 6 0,
NSGA_II,7,5,314.81,1451.59,0 69 0,
NSGA_II,7,6,314.81,1451.59,0 50 48 62 3 22 56 0,3
NSGA_II,8,1,310.04,1460.07,0 92 34 37 23 62 94 0,
NSGA_II,8,2,310.04,1460.07,0 25 48 58 82 67 70 3 1 22 84 68 33 21 18 31 40 35 30 64 78 88 98 14 73 12 27 13 95 57 26 59 44 38 47 69 46 28 42 9 75 93 61 87 6 79 49 66 45 4 0,4 18 26 64 98
NSGA_II,8,3,310.04,1460.07,0 80 53 51 24 97 55 76 89 10 83 11 85 63 74 15 71 17 16 56 19 91 20 41 8 7 81 100 5 29 52 60 65 90 54 72 86 77 43 2 99 0,43
NSGA_II,8,4,310.04,1460.07,0 96 0,
NSGA_II,8,5,310.04,1460.07,0 50 36 0,36
NSGA_II,8,6,310.04,1460.07,0 32 39 0,
NSGA_II,9,1,255.97,1525.2,0 60 66 0,
NSGA_II,9,2,255.97,1525.2,0 4 7 28 14 12 95 44 8 61 5 29 52 6 65 51 49 94 77 72 23 37 31 16 18 1 25 50 0,4
NSGA_II,9,3,255.97,1525.2,0 53 45 79 32 70 36 21 22 68 17 20 35 71 15 30 74 85 73 11 83 26 10 59 38 69 47 89 42 76 75 97 93 100 57 41 99 43 48 0,30 35 73 99
NSGA_II,9,4,255.97,1525.2,0 96 0,
NSGA_II,9,5,255.97,1525.2,0 80 0,
NSGA_II,9,6,255.97,1525.2,0 24 90 87 55 9 81 46 98 88 63 78 64 40 19 91 33 56 39 84 82 86 67 54 3 58 62 92 2 34 27 13 0,56 98
NSGA_II,10,1,246.6,1596.81,0 92 3 70 67 82 58 0,3
