algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D_VER2,1,1,183.55,911.91,0 77 58 72 0,72
PFG_MOEA_D_VER2,1,2,183.55,911.91,0 62 28 46 7 8 100 93 9 55 75 81 76 42 89 10 26 69 47 38 44 59 41 12 27 0,8 69 89
PFG_MOEA_D_VER2,1,3,183.55,911.91,0 92 48 82 86 67 70 54 36 3 32 79 5 29 90 65 6 87 52 60 61 97 94 66 0,3 67
PFG_MOEA_D_VER2,1,4,183.55,911.91,0 24 45 51 49 53 80 4 13 0,80
PFG_MOEA_D_VER2,1,5,183.55,911.91,0 95 57 96 83 11 14 73 15 30 64 78 74 63 88 85 98 71 35 40 16 18 19 31 17 20 91 0,18 64 73 96 98
PFG_MOEA_D_VER2,1,6,183.55,911.91,0 2 99 34 1 22 23 84 39 56 68 37 33 21 43 25 50 0,39
PFG_MOEA_D_VER2,2,1,167.32,1021.12,0 58 72 62 89 69 47 38 44 59 26 10 41 12 27 0,69 72
PFG_MOEA_D_VER2,2,2,167.32,1021.12,0 8 100 93 97 61 60 75 55 9 81 76 42 7 46 28 0,60
PFG_MOEA_D_VER2,2,3,167.32,1021.12,0 92 48 82 86 67 70 54 36 3 32 79 5 29 52 87 6 65 90 51 0,67
PFG_MOEA_D_VER2,2,4,167.32,1021.12,0 24 45 49 94 66 53 80 4 13 95 73 30 88 63 74 78 64 0,4 30 74
PFG_MOEA_D_VER2,2,5,167.32,1021.12,0 57 96 83 11 14 98 85 15 71 35 40 16 19 17 20 0,19 98
PFG_MOEA_D_VER2,2,6,167.32,1021.12,0 31 18 91 21 33 37 68 56 39 84 23 22 1 34 99 2 43 25 50 77 0,18 34 50
PFG_MOEA_D_VER2,3,1,161.76,1174.34,0 62 72 58 77 28 46 7 8 100 93 9 55 75 81 76 42 89 10 0,72
PFG_MOEA_D_VER2,3,2,161.76,1174.34,0 26 69 47 38 44 59 41 12 27 92 86 82 48 0,
