algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D,1,1,231.31,825.64,0 8 7 42 0,8
PFG_MOEA_D,1,2,231.31,825.64,0 89 10 26 59 44 38 47 69 28 46 75 55 9 76 81 100 93 97 61 60 29 5 52 87 6 65 90 0,5 38 61
PFG_MOEA_D,1,3,231.31,825.64,0 4 80 53 66 94 24 45 51 79 32 49 3 36 54 70 72 67 86 82 58 77 48 0,77
PFG_MOEA_D,1,4,231.31,825.64,0 50 62 92 43 25 2 99 34 1 22 23 84 56 39 68 37 33 21 91 18 16 40 19 20 0,2 19 68
PFG_MOEA_D,1,5,231.31,825.64,0 17 31 35 71 15 30 64 78 74 63 88 85 98 14 11 83 96 57 12 27 13 0,98
PFG_MOEA_D,1,6,231.31,825.64,0 95 73 41 0,
PFG_MOEA_D,2,1,246.4,813.1,0 10 26 59 44 38 69 47 89 28 46 8 7 42 76 9 55 75 81 100 93 97 61 60 29 5 52 87 6 65 90 4 80 0,8 28 29 44 55
PFG_MOEA_D,2,2,246.4,813.1,0 53 66 94 24 45 51 79 32 49 3 36 54 70 72 67 86 82 58 77 48 0,48
PFG_MOEA_D,2,3,246.4,813.1,0 50 62 92 43 25 2 0,25
PFG_MOEA_D,2,4,246.4,813.1,0 99 34 1 22 23 84 56 39 68 37 33 0,68
PFG_MOEA_D,2,5,246.4,813.1,0 21 91 18 16 40 19 20 17 31 35 71 15 30 64 78 74 63 88 85 98 14 11 83 96 57 95 13 27 12 0,21 98
PFG_MOEA_D,2,6,246.4,813.1,0 41 73 0,
PFG_MOEA_D,3,1,220.93,838.19,0 51 79 32 49 3 36 54 70 72 67 86 82 58 77 0,3 51 86
PFG_MOEA_D,3,2,220.93,838.19,0 50 48 62 92 43 25 2 99 34 1 22 23 84 56 39 68 37 33 21 91 18 16 40 0,99
PFG_MOEA_D,3,3,220.93,838.19,0 20 19 17 31 35 71 15 30 64 78 74 63 88 85 98 14 11 83 73 41 12 27 13 0,31
PFG_MOEA_D,3,4,220.93,838.19,0 95 57 96 89 10 26 59 44 38 47 69 28 46 0,
PFG_MOEA_D,3,5,220.93,838.19,0 8 7 42 76 9 55 75 81 0,55
PFG_MOEA_D,3,6,220.93,838.19,0 100 93 97 61 60 29 5 52 87 6 65 90 24 45 94 66 53 80 4 0,29 66
PFG_MOEA_D,4,1,361.35,733.29,0 24 0,24
PFG_MOEA_D,4,2,361.35,733.29,0 45 51 79 32 49 3 36 54 70 72 67 86 82 58 77 50 48 62 92 43 25 2 99 34 1 22 23 84 56 39 68 37 33 21 91 18 16 40 19 20 17 31 35 71 15 30 64 78 74 63 88 85 98 14 0,2 50 64 84 86 98
PFG_MOEA_D,4,3,361.35,733.29,0 11 83 96 57 0,
PFG_MOEA_D,4,4,361.35,733.29,0 95 0,95
PFG_MOEA_D,4,5,361.35,733.29,0 13 27 12 41 73 89 10 26 59 44 38 47 69 28 46 7 8 100 81 42 76 9 55 75 93 97 61 60 5 29 52 87 6 65 90 4 80 0,5 8 13 44 55
PFG_MOEA_D,4,6,361.35,733.29,0 53 66 94 0,
PFG_MOEA_D,5,1,228.81,836.05,0 89 69 47 38 44 59 26 10 0,44
PFG_MOEA_D,5,2,228.81,836.05,0 8 46 28 7 42 76 9 55 75 81 100 93 97 61 60 29 5 52 87 6 65 90 4 80 0,5
PFG_MOEA_D,5,3,228.81,836.05,0 53 66 94 24 0,
PFG_MOEA_D,5,4,228.81,836.05,0 45 51 79 32 49 3 36 54 70 72 67 86 82 58 77 50 48 62 1 34 99 2 25 43 92 0,77
PFG_MOEA_D,5,5,228.81,836.05,0 22 23 84 56 39 68 37 33 21 91 20 19 18 16 40 31 17 0,19
PFG_MOEA_D,5,6,228.81,836.05,0 35 71 15 30 64 78 74 63 88 85 98 14 11 83 96 57 95 73 41 12 27 13 0,30
PFG_MOEA_D,6,1,205.17,865.63,0 16 71 15 30 64 78 74 63 88 85 98 14 11 83 96 41 73 12 27 13 0,27 63 98
PFG_MOEA_D,6,2,205.17,865.63,0 95 57 26 59 44 38 47 69 89 10 28 46 7 42 76 9 75 81 100 8 0,8 44 46
PFG_MOEA_D,6,3,205.17,865.63,0 93 55 97 61 60 29 5 52 87 6 65 90 53 80 4 0,5 55 60
PFG_MOEA_D,6,4,205.17,865.63,0 66 94 24 45 51 79 32 49 3 36 54 70 72 67 86 82 58 77 48 50 0,3
PFG_MOEA_D,6,5,205.17,865.63,0 62 92 43 25 2 99 34 1 22 23 84 56 39 68 37 33 21 91 18 31 17 20 0,25 68 84
PFG_MOEA_D,6,6,205.17,865.63,0 19 40 35 0,19
PFG_MOEA_D,7,1,251.28,754.33,0 24 0,24
PFG_MOEA_D,7,2,251.28,754.33,0 45 51 79 32 49 3 36 54 70 72 67 86 82 58 77 0,70
PFG_MOEA_D,7,3,251.28,754.33,0 50 48 62 92 43 25 0,25 50
PFG_MOEA_D,7,4,251.28,754.33,0 2 99 34 1 22 23 84 56 39 68 37 33 21 91 19 18 16 40 71 35 31 17 20 0,2 19 68
PFG_MOEA_D,7,5,251.28,754.33,0 13 27 12 41 95 57 73 15 30 64 78 74 63 88 85 98 14 11 83 96 89 10 26 59 44 38 47 69 28 46 0,27 28 64 98
PFG_MOEA_D,7,6,251.28,754.33,0 8 7 42 76 9 55 75 81 100 93 97 61 60 29 5 52 87 6 65 90 94 66 53 80 4 0,8 61
PFG_MOEA_D,8,1,211.52,850.85,0 26 59 44 38 47 69 89 10 28 46 7 42 76 9 75 81 100 93 8 0,44
PFG_MOEA_D,8,2,211.52,850.85,0 4 80 53 66 55 97 61 60 29 5 52 87 6 65 90 0,5 61
PFG_MOEA_D,8,3,211.52,850.85,0 24 94 45 51 79 32 49 3 36 54 70 72 67 86 82 58 77 50 48 62 92 43 25 0,24 79 86
PFG_MOEA_D,8,4,211.52,850.85,0 2 99 34 1 22 23 84 56 39 68 37 33 21 91 18 20 0,
PFG_MOEA_D,8,5,211.52,850.85,0 19 16 40 31 17 35 71 15 30 64 78 74 63 88 85 98 14 11 0,30 31 88 98
