algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
MOEA_D,1,1,266.92,823.55,0 50 77 58 62 48 92 43 25 2 99 34 1 21 33 37 68 56 39 84 23 22 82 86 67 72 70 54 36 3 32 79 51 0,23 51
MOEA_D,1,2,266.92,823.55,0 53 66 94 49 45 24 0,53
MOEA_D,1,3,266.92,823.55,0 80 4 90 65 6 87 52 60 29 5 61 97 93 81 100 8 0,87
MOEA_D,1,4,266.92,823.55,0 75 55 9 76 42 7 0,
MOEA_D,1,5,266.92,823.55,0 46 28 89 47 69 38 44 59 26 10 96 57 0,96
MOEA_D,1,6,266.92,823.55,0 13 27 12 41 73 95 83 11 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 19 31 17 20 91 0,14 31 64 85
MOEA_D,2,1,281.98,817.23,0 53 66 94 45 51 24 79 90 65 6 87 52 29 5 61 60 97 75 55 9 76 81 100 93 8 7 46 42 28 89 47 69 38 44 59 26 10 0,6 28 29
MOEA_D,2,2,281.98,817.23,0 13 27 12 41 95 57 96 83 11 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 91 0,85
MOEA_D,2,3,281.98,817.23,0 20 17 31 19 0,
MOEA_D,2,4,281.98,817.23,0 2 99 34 1 21 33 37 68 56 39 84 23 22 43 25 50 92 0,43 84 99
MOEA_D,2,5,281.98,817.23,0 48 62 77 58 82 86 67 72 70 54 36 3 32 49 4 0,48 72 77
MOEA_D,2,6,281.98,817.23,0 80 0,
MOEA_D,3,1,251.29,850.83,0 95 57 96 46 42 28 89 10 47 69 38 44 59 26 83 11 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 0,10 40 64 85
MOEA_D,3,2,251.29,850.83,0 20 17 31 19 91 21 33 37 68 56 39 84 23 22 1 34 99 2 25 0,
MOEA_D,3,3,251.29,850.83,0 50 92 58 77 82 86 67 72 70 54 36 3 62 48 43 0,43 54 58 67
MOEA_D,3,4,251.29,850.83,0 4 80 53 66 49 32 94 45 51 0,
MOEA_D,3,5,251.29,850.83,0 24 79 90 65 6 87 52 29 5 61 60 97 75 55 9 76 81 100 93 8 0,6 9 29 75 100
MOEA_D,3,6,251.29,850.83,0 7 41 12 27 13 0,
MOEA_D,4,1,214.4,876.09,0 53 66 94 45 51 61 5 29 52 87 6 65 90 79 24 0,51 79
MOEA_D,4,2,214.4,876.09,0 100 93 60 97 75 55 9 76 81 42 46 7 8 0,100
MOEA_D,4,3,214.4,876.09,0 28 89 47 69 38 44 59 26 10 57 95 41 12 27 13 0,27
MOEA_D,4,4,214.4,876.09,0 96 83 11 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 19 31 17 0,31 96
MOEA_D,4,5,214.4,876.09,0 20 91 33 37 68 56 39 84 23 22 21 1 34 0,
MOEA_D,4,6,214.4,876.09,0 99 2 43 25 50 92 48 62 58 77 82 86 67 72 70 54 36 3 32 49 80 4 0,3 48 99
MOEA_D,5,1,194.14,1151.21,0 58 77 49 100 81 7 69 47 38 44 57 95 13 27 12 41 8 0,77 100
MOEA_D,5,2,194.14,1151.21,0 4 80 93 76 9 55 75 97 61 60 5 29 52 87 6 65 90 79 51 45 24 0,9 29 75 87
MOEA_D,5,3,194.14,1151.21,0 46 42 28 89 10 96 83 11 63 88 85 98 14 73 0,
MOEA_D,5,4,194.14,1151.21,0 74 78 64 30 15 71 35 40 16 18 19 31 17 0,
MOEA_D,5,5,194.14,1151.21,0 20 33 37 68 56 39 84 23 82 86 67 72 70 54 36 3 32 94 66 53 0,3 70 84
MOEA_D,5,6,194.14,1151.21,0 50 25 2 99 34 43 48 62 92 1 22 21 91 26 59 0,
MOEA_D,6,1,200.26,981.18,0 90 65 6 87 52 60 29 0,6
MOEA_D,6,2,200.26,981.18,0 24 97 93 100 8 7 46 42 76 9 81 75 61 5 13 27 12 41 95 57 0,27 61
MOEA_D,6,3,200.26,981.18,0 55 28 89 47 69 38 44 59 26 10 96 83 11 14 73 0,10
MOEA_D,6,4,200.26,981.18,0 98 85 88 63 74 78 64 30 15 71 35 40 16 18 19 31 17 20 66 53 0,98
MOEA_D,6,5,200.26,981.18,0 94 32 36 54 70 72 67 82 86 3 58 77 48 62 92 50 0,58 72
MOEA_D,6,6,200.26,981.18,0 91 33 37 68 56 39 84 23 22 21 1 34 99 2 43 25 4 80 45 49 51 79 0,21 23 25
MOEA_D,7,1,286.41,815.18,0 77 50 25 2 99 34 43 92 48 62 58 82 86 67 72 70 54 36 3 32 49 66 94 24 53 80 0,2 53 70 77
MOEA_D,7,2,286.41,815.18,0 4 0,
MOEA_D,7,3,286.41,815.18,0 45 51 79 5 0,
MOEA_D,7,4,286.41,815.18,0 29 90 65 6 87 52 60 61 97 75 55 9 76 81 100 93 8 7 46 42 28 69 47 38 44 59 26 10 89 0,10 28 75 87
MOEA_D,7,5,286.41,815.18,0 96 57 95 0,96
MOEA_D,7,6,286.41,815.18,0 1 21 22 23 84 39 56 68 37 33 91 20 17 31 19 18 16 40 35 71 15 30 64 78 74 63 88 85 98 14 11 83 73 41 12 27 13 0,27 64 98
MOEA_D,8,1,289.38,773.24,0 45 5 0,5
