algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D,1,1,169.33,913.87,0 73 15 98 85 88 63 74 78 64 30 71 35 34 99 2 25 50 0,85
PFG_MOEA_D,1,2,169.33,913.87,0 20 17 31 40 16 18 19 91 33 37 68 56 39 84 23 22 43 62 92 0,20 43
PFG_MOEA_D,1,3,169.33,913.87,0 77 58 48 1 21 82 86 67 72 70 54 36 3 32 49 94 45 51 0,72
PFG_MOEA_D,1,4,169.33,913.87,0 4 80 66 53 24 79 90 65 6 87 52 29 5 60 61 97 93 100 81 7 46 8 0,61 90 100
PFG_MOEA_D,1,5,169.33,913.87,0 75 55 9 76 42 28 89 10 38 47 69 44 59 26 96 0,42 69
PFG_MOEA_D,1,6,169.33,913.87,0 57 95 83 14 11 41 12 27 13 0,
PFG_MOEA_D,2,1,248.6,762.64,0 95 0,
PFG_MOEA_D,2,2,248.6,762.64,0 13 14 98 85 88 63 74 78 64 30 15 71 35 40 16 31 17 20 19 18 91 33 37 68 56 39 84 23 22 21 1 34 99 2 25 50 0,
PFG_MOEA_D,2,3,248.6,762.64,0 43 92 62 48 77 58 82 86 67 72 70 54 36 3 32 49 94 45 51 61 60 29 5 52 87 6 65 90 79 24 53 66 80 4 0,70 79
PFG_MOEA_D,2,4,248.6,762.64,0 8 81 100 93 97 75 55 9 76 42 28 7 46 69 47 38 44 59 26 89 10 83 11 41 73 12 27 0,69 76
PFG_MOEA_D,2,5,248.6,762.64,0 96 0,96
PFG_MOEA_D,2,6,248.6,762.64,0 57 0,57
PFG_MOEA_D,3,1,175.38,850.89,0 31 17 20 91 33 37 68 56 39 84 23 22 34 99 0,
PFG_MOEA_D,3,2,175.38,850.89,0 2 25 43 50 92 58 77 48 62 1 21 82 86 67 72 70 54 36 3 32 0,2 43 72
PFG_MOEA_D,3,3,175.38,850.89,0 4 80 53 66 94 49 51 45 24 79 90 65 6 87 52 29 5 60 61 97 93 76 0,5 61 80
PFG_MOEA_D,3,4,175.38,850.89,0 28 0,28
PFG_MOEA_D,3,5,175.38,850.89,0 95 57 96 26 59 44 69 47 38 10 89 42 9 55 75 81 100 8 7 46 0,57 89
PFG_MOEA_D,3,6,175.38,850.89,0 13 27 12 41 73 11 83 14 98 15 85 88 63 74 78 64 30 71 35 40 16 18 19 0,63 78 85
PFG_MOEA_D,4,1,171.35,890.74,0 57 96 83 11 41 73 95 0,
