algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
NSGA_II,1,1,455.8,1182.68,0 65 0,65
NSGA_II,1,2,455.8,1182.68,0 40 0,
NSGA_II,1,3,455.8,1182.68,0 55 28 47 44 59 26 89 11 14 63 74 19 20 25 43 92 58 82 72 70 51 45 4 0,
NSGA_II,1,4,455.8,1182.68,0 93 0,
NSGA_II,1,5,455.8,1182.68,0 41 0,
NSGA_II,1,6,455.8,1182.68,0 91 16 18 17 31 35 71 15 78 64 30 88 85 98 10 38 69 96 83 73 12 27 13 95 57 8 100 76 81 46 7 42 9 75 97 61 5 60 52 87 6 90 29 79 24 80 53 66 94 49 32 36 54 3 86 67 22 23 84 56 39 68 37 33 21 1 34 99 2 50 48 62 77 0,30 54
NSGA_II,2,1,416.14,1329.75,0 62 0,
NSGA_II,2,2,416.14,1329.75,0 68 43 0,
NSGA_II,2,3,416.14,1329.75,0 94 0,
NSGA_II,2,4,416.14,1329.75,0 13 46 9 38 98 78 35 16 18 19 20 91 37 56 23 34 99 3 67 70 54 87 6 65 90 32 51 53 0,37
NSGA_II,2,5,416.14,1329.75,0 57 95 41 73 14 85 88 63 74 64 30 15 71 40 31 39 84 22 21 1 2 25 50 92 48 77 58 82 86 72 36 49 66 80 4 24 45 79 5 29 52 60 61 97 93 100 8 7 81 76 75 55 42 28 89 69 47 44 59 10 26 96 83 11 12 27 0,72
NSGA_II,2,6,416.14,1329.75,0 33 17 0,33
NSGA_II,3,1,364.98,1390.61,0 2 48 92 43 22 23 84 56 68 39 82 72 36 54 66 45 32 79 29 87 93 8 81 76 46 89 38 26 83 98 74 30 15 11 12 27 0,36
NSGA_II,3,2,364.98,1390.61,0 20 21 0,
NSGA_II,3,3,364.98,1390.61,0 95 0,
NSGA_II,3,4,364.98,1390.61,0 4 80 53 51 49 24 90 65 6 52 60 61 5 97 100 9 42 7 28 69 47 44 59 10 96 57 13 41 73 14 85 88 63 78 64 71 35 40 16 31 17 19 18 91 37 33 70 67 86 3 77 50 25 34 99 0,51 70
NSGA_II,3,5,364.98,1390.61,0 1 94 75 0,
NSGA_II,3,6,364.98,1390.61,0 62 58 55 0,
NSGA_II,4,1,344.14,1392.76,0 4 24 51 45 94 72 90 65 52 5 61 97 100 8 7 42 55 28 69 38 47 89 10 26 96 83 11 14 98 85 63 74 88 30 64 71 35 40 19 20 91 33 37 56 39 84 92 50 25 2 13 12 41 95 0,13 45 72 85
NSGA_II,4,2,344.14,1392.76,0 57 79 67 0,
NSGA_II,4,3,344.14,1392.76,0 80 99 21 0,
NSGA_II,4,4,344.14,1392.76,0 34 43 48 62 77 58 82 86 3 36 54 70 22 23 68 18 16 17 31 15 78 73 27 44 59 46 81 76 9 75 93 60 87 6 32 49 66 53 0,
NSGA_II,4,5,344.14,1392.76,0 1 0,
NSGA_II,4,6,344.14,1392.76,0 29 0,
NSGA_II,5,1,331.08,1420.08,0 24 0,
NSGA_II,5,2,331.08,1420.08,0 97 0,
NSGA_II,5,3,331.08,1420.08,0 1 34 41 73 14 47 9 53 80 4 0,
NSGA_II,5,4,331.08,1420.08,0 25 99 84 91 18 40 35 15 30 64 78 74 98 11 95 96 59 89 28 7 81 75 93 60 52 5 90 79 51 36 86 82 94 0,99
NSGA_II,5,5,331.08,1420.08,0 13 27 12 57 83 63 88 85 71 31 17 20 19 16 33 37 68 56 39 23 22 21 43 2 50 92 62 48 77 58 67 72 70 54 3 66 45 49 32 65 6 29 61 8 100 55 76 42 46 69 38 44 26 10 0,13 17 44 54 65 72
NSGA_II,5,6,331.08,1420.08,0 87 0,
NSGA_II,6,1,321.33,1443.35,0 99 96 9 6 0,6
NSGA_II,6,2,321.33,1443.35,0 40 18 91 73 7 65 51 0,
NSGA_II,6,3,321.33,1443.35,0 4 53 66 49 94 24 29 52 60 61 75 55 76 8 28 69 47 10 57 13 85 31 19 68 39 23 82 62 1 25 43 58 77 2 0,49 82 85
NSGA_II,6,4,321.33,1443.35,0 92 0,
NSGA_II,6,5,321.33,1443.35,0 80 45 20 17 71 35 56 84 33 37 22 21 34 50 48 3 86 67 72 70 54 36 32 79 90 87 5 97 93 100 81 42 46 89 38 26 83 11 14 98 88 63 74 78 64 30 15 41 95 27 12 0,30 33 70 83
NSGA_II,6,6,321.33,1443.35,0 16 44 59 0,
NSGA_II,7,1,296.5,1464.34,0 80 51 65 87 5 97 76 42 7 59 96 11 41 88 64 71 40 31 18 21 62 2 99 0,87
NSGA_II,7,2,296.5,1464.34,0 27 13 28 69 47 38 89 10 98 85 63 74 78 30 15 35 16 19 37 33 22 23 1 34 92 50 25 77 58 36 54 29 52 60 61 93 100 75 55 24 79 32 49 94 66 53 4 0,1 13 30 37 69 77
NSGA_II,7,3,296.5,1464.34,0 17 26 0,
NSGA_II,7,4,296.5,1464.34,0 83 0,83
NSGA_II,7,5,296.5,1464.34,0 43 48 3 70 72 67 86 82 84 56 39 68 91 12 73 14 44 57 95 8 46 81 9 6 45 0,6
NSGA_II,7,6,296.5,1464.34,0 90 20 0,
NSGA_II,8,1,296.07,1527.08,0 79 36 51 81 76 28 46 38 96 11 98 15 78 30 35 0,
NSGA_II,8,2,296.07,1527.08,0 4 100 8 69 47 44 59 10 89 42 55 75 93 97 61 5 29 6 65 24 45 80 66 70 72 67 58 48 92 50 25 99 18 20 71 64 63 74 88 85 14 83 13 0,6
NSGA_II,8,3,296.07,1527.08,0 1 21 0,
NSGA_II,8,4,296.07,1527.08,0 34 23 53 9 0,
NSGA_II,8,5,296.07,1527.08,0 17 31 40 16 19 91 33 84 56 39 68 37 22 82 86 54 3 62 43 2 77 94 49 32 90 52 87 60 7 26 95 41 73 12 27 0,
NSGA_II,8,6,296.07,1527.08,0 57 0,
NSGA_II,9,1,264.19,1565.3,0 66 94 45 90 29 87 93 55 76 81 46 28 83 95 27 12 41 11 14 85 63 64 15 71 56 68 37 33 21 22 82 86 67 72 70 36 58 77 62 92 50 2 0,33 72 82 83
NSGA_II,9,2,264.19,1565.3,0 65 0,
NSGA_II,9,3,264.19,1565.3,0 99 18 35 16 39 84 23 1 43 48 53 4 24 49 32 52 8 7 42 47 38 59 26 96 88 30 13 0,13 88 99
NSGA_II,9,4,264.19,1565.3,0 79 0,
NSGA_II,9,5,264.19,1565.3,0 73 5 54 0,54
NSGA_II,9,6,264.19,1565.3,0 80 51 3 6 60 61 97 100 75 9 10 89 69 44 57 78 74 98 40 31 17 19 20 91 34 25 0,51 78
NSGA_II,10,1,256.91,1579.63,0 83 0,
NSGA_II,10,2,256.91,1579.63,0 79 82 86 54 90 65 87 5 97 93 9 81 7 42 89 59 44 96 11 41 95 73 15 64 74 88 30 35 16 18 20 91 33 84 99 0,30
