algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D_VER2,1,1,270.62,792.01,0 17 0,17
PFG_MOEA_D_VER2,1,2,270.62,792.01,0 19 35 71 15 30 64 78 74 63 88 85 98 14 11 83 96 57 95 73 41 12 27 13 0,85 95
PFG_MOEA_D_VER2,1,3,270.62,792.01,0 89 10 26 59 44 38 47 69 28 46 7 42 76 9 55 75 81 8 0,44
PFG_MOEA_D_VER2,1,4,270.62,792.01,0 100 93 97 61 5 29 60 52 87 6 65 90 0,87
PFG_MOEA_D_VER2,1,5,270.62,792.01,0 4 80 53 66 94 45 24 79 0,45
PFG_MOEA_D_VER2,1,6,270.62,792.01,0 51 49 32 3 36 54 70 72 67 86 82 62 48 43 92 58 77 50 25 2 99 34 1 21 22 23 84 56 39 68 37 33 91 18 16 40 31 20 0,25 37 99
PFG_MOEA_D_VER2,2,1,195.51,852.97,0 4 80 53 66 94 45 51 79 90 65 6 87 52 60 29 5 61 97 24 0,6 29 45
PFG_MOEA_D_VER2,2,2,195.51,852.97,0 49 32 3 36 54 70 72 67 86 82 62 48 0,70
PFG_MOEA_D_VER2,2,3,195.51,852.97,0 50 77 58 92 43 25 2 99 34 1 21 22 23 84 56 39 68 37 33 91 19 31 17 20 0,1
PFG_MOEA_D_VER2,2,4,195.51,852.97,0 18 16 40 35 71 15 30 64 78 74 63 88 85 98 14 11 83 96 57 13 27 0,83 88
PFG_MOEA_D_VER2,2,5,195.51,852.97,0 12 41 73 95 89 10 26 59 44 38 47 69 28 46 7 42 76 9 55 75 81 0,69 95
PFG_MOEA_D_VER2,2,6,195.51,852.97,0 8 100 93 0,93
PFG_MOEA_D_VER2,3,1,211.91,829.82,0 53 66 94 45 24 79 51 49 32 3 36 54 70 72 67 86 82 62 48 43 92 58 77 50 25 2 0,70 82
PFG_MOEA_D_VER2,3,2,211.91,829.82,0 99 0,
PFG_MOEA_D_VER2,3,3,211.91,829.82,0 34 1 21 22 23 84 56 39 68 37 33 91 19 18 16 40 35 31 17 20 0,17 33
PFG_MOEA_D_VER2,3,4,211.91,829.82,0 71 15 30 64 78 74 63 88 85 98 14 11 83 73 41 12 27 13 95 57 96 26 59 44 38 47 69 89 10 0,59 69 95
PFG_MOEA_D_VER2,3,5,211.91,829.82,0 28 46 7 42 76 9 55 75 81 8 100 93 97 61 5 29 60 52 87 6 65 90 0,42 87
PFG_MOEA_D_VER2,3,6,211.91,829.82,0 4 80 0,
PFG_MOEA_D_VER2,4,1,221.09,810.95,0 53 66 94 45 51 79 24 0,45
PFG_MOEA_D_VER2,4,2,221.09,810.95,0 49 32 3 36 54 70 72 67 86 82 58 77 50 25 2 99 34 1 43 48 62 92 0,58 72
PFG_MOEA_D_VER2,4,3,221.09,810.95,0 21 22 23 84 56 39 68 37 33 91 19 18 16 40 71 35 31 17 20 0,17 37
PFG_MOEA_D_VER2,4,4,221.09,810.95,0 13 27 12 41 73 15 30 64 78 74 63 88 85 98 14 11 83 95 57 0,13 57 78 83
