algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D,1,1,218.97,840.41,0 20 17 0,17
PFG_MOEA_D,1,2,218.97,840.41,0 31 16 40 35 71 30 64 78 74 63 88 85 98 15 73 14 11 41 12 27 13 0,31
PFG_MOEA_D,1,3,218.97,840.41,0 57 95 83 96 26 59 44 69 47 38 10 89 28 42 76 81 7 46 8 100 93 9 55 75 66 4 0,47 81
PFG_MOEA_D,1,4,218.97,840.41,0 97 0,97
PFG_MOEA_D,1,5,218.97,840.41,0 24 65 6 87 52 60 61 5 29 90 79 32 49 94 51 45 53 80 77 58 62 48 92 43 1 34 99 2 25 50 0,49 58
PFG_MOEA_D,1,6,218.97,840.41,0 3 36 54 70 72 67 86 82 23 22 37 68 56 39 84 33 21 18 19 91 0,18 33 54
PFG_MOEA_D,2,1,213.71,848.72,0 57 95 83 96 26 59 44 69 47 38 10 89 28 46 7 8 0,47
PFG_MOEA_D,2,2,213.71,848.72,0 42 76 9 55 75 81 100 93 97 61 60 52 87 6 65 90 29 5 79 32 49 51 45 94 66 0,81
PFG_MOEA_D,2,3,213.71,848.72,0 53 0,
PFG_MOEA_D,2,4,213.71,848.72,0 24 4 80 50 0,
PFG_MOEA_D,2,5,213.71,848.72,0 77 3 36 54 70 72 67 86 82 58 48 62 92 2 25 43 34 99 1 21 37 33 22 23 84 39 56 68 18 0,21 58
PFG_MOEA_D,2,6,213.71,848.72,0 20 91 19 17 31 16 40 35 71 15 30 64 78 74 63 88 85 98 11 14 73 41 12 27 13 0,11
PFG_MOEA_D,3,1,180.2,1052.5,0 96 10 26 59 44 38 47 69 89 28 55 9 76 42 7 46 0,47 96
PFG_MOEA_D,3,2,180.2,1052.5,0 8 100 81 75 93 97 61 60 52 87 5 29 90 79 0,29 52
PFG_MOEA_D,3,3,180.2,1052.5,0 4 80 53 66 94 49 32 72 70 36 3 54 65 6 51 45 24 0,49
PFG_MOEA_D,3,4,180.2,1052.5,0 50 25 43 92 62 48 77 58 82 86 67 23 84 1 34 99 2 0,58
PFG_MOEA_D,3,5,180.2,1052.5,0 22 33 37 68 39 56 21 16 18 19 91 20 17 31 40 35 71 30 64 0,18
PFG_MOEA_D,3,6,180.2,1052.5,0 57 95 83 11 14 73 15 98 85 88 63 74 78 41 12 27 13 0,12 57 83
PFG_MOEA_D,4,1,181.71,968.47,0 92 48 58 3 36 54 70 72 67 86 23 22 37 68 56 39 84 33 21 34 43 0,33 58
PFG_MOEA_D,4,2,181.71,968.47,0 4 24 66 94 82 50 2 25 1 99 20 91 18 19 17 31 16 40 35 0,20
PFG_MOEA_D,4,3,181.71,968.47,0 71 15 30 64 78 74 63 88 85 98 14 11 83 73 41 12 27 13 0,
PFG_MOEA_D,4,4,181.71,968.47,0 95 57 96 10 26 59 44 38 47 69 89 28 42 76 9 81 0,81
PFG_MOEA_D,4,5,181.71,968.47,0 46 7 8 100 93 75 55 97 61 60 52 87 6 65 90 29 5 79 32 0,52
PFG_MOEA_D,4,6,181.71,968.47,0 80 53 45 51 49 77 62 0,49
PFG_MOEA_D,5,1,186.42,888.68,0 8 100 93 9 42 76 81 75 55 97 5 61 60 52 87 6 65 90 29 79 45 53 80 0,52 81 90 97
PFG_MOEA_D,5,2,186.42,888.68,0 4 24 51 49 94 66 32 72 70 54 36 3 58 77 48 62 92 43 1 34 99 0,49 58
PFG_MOEA_D,5,3,186.42,888.68,0 20 17 31 19 40 16 18 91 21 22 33 37 68 56 39 84 23 82 86 67 50 25 2 0,18 23 31 33
PFG_MOEA_D,5,4,186.42,888.68,0 35 71 15 30 64 78 74 63 88 85 98 14 11 41 73 95 13 12 0,11
PFG_MOEA_D,5,5,186.42,888.68,0 27 0,
PFG_MOEA_D,5,6,186.42,888.68,0 57 83 96 10 26 59 44 38 47 69 89 28 46 7 0,38 83
PFG_MOEA_D,6,1,242.61,819.4,0 4 80 66 77 58 62 48 50 0,
PFG_MOEA_D,6,2,242.61,819.4,0 92 43 25 2 99 34 1 21 22 33 20 91 18 19 17 31 16 40 35 71 98 85 88 63 74 78 64 30 15 73 14 41 12 27 13 0,16 18 20 74
PFG_MOEA_D,6,3,242.61,819.4,0 11 0,11
PFG_MOEA_D,6,4,242.61,819.4,0 57 95 83 96 10 26 59 44 38 47 69 0,
PFG_MOEA_D,6,5,242.61,819.4,0 89 28 46 7 42 76 9 55 75 81 100 8 93 97 61 60 52 87 6 65 90 29 5 0,89 97
PFG_MOEA_D,6,6,242.61,819.4,0 37 68 39 56 84 23 82 86 67 72 70 54 36 3 32 49 94 45 51 79 24 53 0,
PFG_MOEA_D,7,1,179.4,1069.35,0 35 71 15 30 64 78 74 63 88 85 98 14 73 41 12 0,
PFG_MOEA_D,7,2,179.4,1069.35,0 62 77 53 80 8 7 46 28 89 10 38 47 69 44 59 26 95 13 27 0,8 47
PFG_MOEA_D,7,3,179.4,1069.35,0 42 81 76 9 55 75 93 100 0,
PFG_MOEA_D,7,4,179.4,1069.35,0 11 83 96 57 97 61 60 52 87 6 65 90 29 5 79 32 49 43 92 50 0,49 83 90
PFG_MOEA_D,7,5,179.4,1069.35,0 66 94 45 51 3 36 54 70 72 67 86 23 56 68 37 22 25 2 58 48 0,23
PFG_MOEA_D,7,6,179.4,1069.35,0 4 24 82 39 84 33 21 91 18 16 40 31 17 19 20 99 34 1 0,20 21 31
PFG_MOEA_D,8,1,189.72,886.52,0 57 83 96 26 10 59 44 38 47 69 89 28 46 7 81 42 76 9 55 75 97 93 100 8 0,83 89 97
PFG_MOEA_D,8,2,189.72,886.52,0 53 66 94 49 32 79 90 65 6 87 52 60 61 29 5 51 45 24 4 0,
PFG_MOEA_D,8,3,189.72,886.52,0 80 3 36 54 70 72 67 86 82 58 48 62 92 50 2 25 43 1 34 99 0,
PFG_MOEA_D,8,4,189.72,886.52,0 77 22 23 21 0,23
PFG_MOEA_D,8,5,189.72,886.52,0 20 91 37 33 84 39 56 68 18 16 40 31 17 19 0,19
PFG_MOEA_D,8,6,189.72,886.52,0 35 71 15 30 64 78 74 63 88 85 98 11 14 73 41 95 13 27 12 0,
PFG_MOEA_D,9,1,193.41,854.97,0 80 49 32 79 90 65 6 87 52 29 5 61 60 8 100 93 97 24 4 0,
PFG_MOEA_D,9,2,193.41,854.97,0 51 0,
PFG_MOEA_D,9,3,193.41,854.97,0 45 53 66 94 3 36 54 70 72 67 86 82 23 84 56 39 68 37 33 22 21 1 34 99 0,33 54
PFG_MOEA_D,9,4,193.41,854.97,0 77 58 62 48 50 92 43 25 2 91 20 19 18 16 40 71 35 31 17 0,19
PFG_MOEA_D,9,5,193.41,854.97,0 73 15 30 64 78 74 63 88 85 98 14 41 12 27 0,
PFG_MOEA_D,9,6,193.41,854.97,0 13 57 95 83 11 96 26 10 59 44 38 47 69 89 28 42 76 9 55 75 81 7 46 0,57 89
PFG_MOEA_D,10,1,233.46,823.51,0 32 49 51 0,49
PFG_MOEA_D,10,2,233.46,823.51,0 4 80 53 45 24 0,80
PFG_MOEA_D,10,3,233.46,823.51,0 66 94 3 36 54 70 72 67 86 82 23 84 39 56 68 37 33 22 21 1 34 99 2 25 43 92 48 62 58 77 50 0,54
PFG_MOEA_D,10,4,233.46,823.51,0 20 91 18 16 31 17 19 0,20 31
PFG_MOEA_D,10,5,233.46,823.51,0 40 35 71 15 30 64 78 74 63 88 85 98 11 14 73 41 83 57 95 13 27 12 0,57
PFG_MOEA_D,10,6,233.46,823.51,0 96 26 10 59 44 38 47 69 89 28 46 7 81 75 55 9 76 42 8 100 93 97 61 60 52 87 6 65 90 29 5 79 0,47 81 89
PFG_MOEA_D,11,1,182.84,918.02,0 17 35 71 15 30 64 78 74 63 88 85 98 14 11 83 96 57 0,
PFG_MOEA_D,11,2,182.84,918.02,0 13 27 12 73 41 95 26 59 44 69 47 38 10 89 28 42 76 9 55 81 0,12
PFG_MOEA_D,11,3,182.84,918.02,0 93 100 8 0,
PFG_MOEA_D,11,4,182.84,918.02,0 20 80 4 53 45 51 49 32 79 5 29 90 65 6 87 52 60 61 97 75 7 46 0,20 52 90
PFG_MOEA_D,11,5,182.84,918.02,0 94 72 70 54 36 3 62 48 43 1 34 99 2 25 50 92 58 77 0,
PFG_MOEA_D,11,6,182.84,918.02,0 24 66 67 86 82 23 22 37 68 56 39 84 33 21 91 19 18 16 40 31 0,18
PFG_MOEA_D,12,1,257.34,752.19,0 4 80 66 94 3 36 54 70 72 67 86 82 23 84 39 56 68 37 33 22 21 1 34 99 2 25 43 92 48 62 58 77 50 0,33
PFG_MOEA_D,12,2,257.34,752.19,0 18 0,18
PFG_MOEA_D,12,3,257.34,752.19,0 46 7 75 11 14 98 85 88 63 74 78 64 30 15 71 35 31 17 40 16 19 91 20 0,17
PFG_MOEA_D,12,4,257.34,752.19,0 83 0,83
PFG_MOEA_D,12,5,257.34,752.19,0 96 57 73 0,96
PFG_MOEA_D,12,6,257.34,752.19,0 13 27 12 41 95 26 59 44 69 47 38 10 89 28 42 76 81 100 8 93 9 55 97 61 60 52 87 6 65 90 29 5 79 32 49 51 45 24 53 0,8 52 90
PFG_MOEA_D,13,1,231.3,836.13,0 45 51 49 32 94 66 53 0,49
PFG_MOEA_D,13,2,231.3,836.13,0 24 0,
PFG_MOEA_D,13,3,231.3,836.13,0 4 80 82 86 67 72 70 54 36 3 58 77 50 92 48 62 1 99 34 43 25 2 0,58 80
PFG_MOEA_D,13,4,231.3,836.13,0 20 91 21 37 33 22 23 84 39 56 68 18 19 17 31 16 40 35 71 15 30 64 78 74 63 88 85 98 0,17
PFG_MOEA_D,13,5,231.3,836.13,0 13 27 12 73 14 11 41 95 57 96 83 26 59 44 69 47 38 10 89 28 46 7 0,96
PFG_MOEA_D,13,6,231.3,836.13,0 8 42 76 9 55 75 81 100 93 97 61 60 52 87 6 65 90 29 5 79 0,8 52 90
PFG_MOEA_D,14,1,235.64,823.49,0 80 53 45 79 0,
PFG_MOEA_D,14,2,235.64,823.49,0 24 51 94 66 49 32 3 36 54 70 72 67 86 82 23 84 39 56 68 37 33 22 21 1 34 48 62 58 77 50 0,49
PFG_MOEA_D,14,3,235.64,823.49,0 92 43 25 2 99 0,
PFG_MOEA_D,14,4,235.64,823.49,0 20 91 18 19 17 31 16 40 35 71 15 30 64 78 74 63 88 85 98 14 11 0,11 19 74
PFG_MOEA_D,14,5,235.64,823.49,0 4 8 7 46 81 9 76 42 28 89 10 26 59 69 47 38 44 96 83 57 95 73 41 12 27 13 0,12 81 83
PFG_MOEA_D,14,6,235.64,823.49,0 100 93 75 55 97 61 60 52 87 6 65 90 29 5 0,
PFG_MOEA_D,15,1,249.83,794.15,0 4 66 49 32 3 36 54 70 72 67 86 82 23 84 39 56 68 37 33 22 21 18 91 20 99 1 34 43 92 48 62 58 77 50 25 2 0,23 54 58
PFG_MOEA_D,15,2,249.83,794.15,0 19 0,19
PFG_MOEA_D,15,3,249.83,794.15,0 17 31 16 40 35 71 15 30 64 78 74 63 88 85 98 83 11 14 73 41 57 95 13 27 12 0,11 16
PFG_MOEA_D,15,4,249.83,794.15,0 96 0,
PFG_MOEA_D,15,5,249.83,794.15,0 10 26 59 44 38 47 69 89 28 46 7 81 75 55 9 76 42 8 100 93 97 61 60 52 87 6 65 90 29 5 79 45 53 80 0,80 81
PFG_MOEA_D,15,6,249.83,794.15,0 24 51 94 0,
PFG_MOEA_D,16,1,183.52,892.83,0 4 80 53 66 94 45 24 82 86 67 72 70 54 36 3 58 77 50 0,
PFG_MOEA_D,16,2,183.52,892.83,0 25 2 99 34 43 48 62 92 1 22 23 84 39 56 68 37 33 21 18 91 20 0,23 33
PFG_MOEA_D,16,3,183.52,892.83,0 19 17 31 16 40 35 0,19
PFG_MOEA_D,16,4,183.52,892.83,0 71 15 30 64 78 74 63 88 85 98 14 73 11 83 96 57 13 27 12 0,
PFG_MOEA_D,16,5,183.52,892.83,0 41 95 26 59 44 69 47 38 10 89 28 42 81 76 55 9 93 100 8 0,8 81 89
PFG_MOEA_D,16,6,183.52,892.83,0 46 7 75 97 61 60 52 87 6 65 90 29 5 79 32 49 51 0,90
