algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
MOEA_D,1,1,175.16,1472.72,0 42 76 9 81 75 55 97 61 5 29 90 65 79 4 80 66 50 37 33 1 2 0,37 80
MOEA_D,1,2,175.16,1472.72,0 84 39 56 68 18 17 63 85 98 96 10 26 59 44 38 47 69 46 0,98
MOEA_D,1,3,175.16,1472.72,0 92 48 62 58 67 86 82 23 22 43 19 16 40 35 71 15 30 64 78 74 31 20 0,22 86 92
MOEA_D,1,4,175.16,1472.72,0 88 14 11 83 89 0,83
MOEA_D,1,5,175.16,1472.72,0 24 51 49 70 54 36 3 94 45 53 93 100 8 7 28 27 13 0,54
MOEA_D,1,6,175.16,1472.72,0 12 41 73 95 57 60 52 87 6 32 72 77 25 99 34 21 91 0,34 52 77
MOEA_D,2,1,277.17,840.34,0 51 49 32 79 90 65 6 87 29 5 61 60 97 93 9 55 75 81 100 8 0,
MOEA_D,2,2,277.17,840.34,0 46 7 42 76 28 0,
MOEA_D,2,3,277.17,840.34,0 13 27 12 41 95 57 89 10 38 69 47 44 59 26 96 83 11 14 73 15 98 85 88 63 74 78 64 30 71 35 40 16 0,12 26 98
MOEA_D,2,4,277.17,840.34,0 20 17 31 18 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 25 43 92 50 77 58 48 62 82 86 67 72 70 3 36 54 52 94 66 53 80 4 0,34 52
MOEA_D,2,5,277.17,840.34,0 24 0,
MOEA_D,2,6,277.17,840.34,0 45 0,
MOEA_D,3,1,180.86,1088.12,0 57 95 96 26 83 11 14 98 85 88 63 73 41 12 27 13 0,13
MOEA_D,3,2,180.86,1088.12,0 74 78 64 30 15 71 35 40 16 18 19 17 31 20 91 33 21 0,
MOEA_D,3,3,180.86,1088.12,0 50 25 43 92 62 48 77 58 82 23 84 56 39 68 37 22 1 34 99 2 0,77 92
MOEA_D,3,4,180.86,1088.12,0 4 80 53 66 86 67 72 70 54 36 3 32 49 51 90 5 79 24 0,24 72
MOEA_D,3,5,180.86,1088.12,0 94 45 65 6 87 52 29 60 61 97 55 76 81 100 93 0,
MOEA_D,3,6,180.86,1088.12,0 8 75 9 42 7 46 28 10 89 47 69 38 44 59 0,
MOEA_D,4,1,187.72,880.2,0 94 51 45 24 79 5 90 65 6 87 52 29 60 61 97 93 81 100 8 0,
MOEA_D,4,2,187.72,880.2,0 75 55 9 76 42 7 46 28 89 10 26 59 44 47 69 38 0,
MOEA_D,4,3,187.72,880.2,0 96 83 11 14 0,
MOEA_D,4,4,187.72,880.2,0 57 95 13 27 12 41 73 15 98 85 88 63 74 78 64 30 71 31 17 20 0,12 20
MOEA_D,4,5,187.72,880.2,0 2 99 34 1 23 84 56 39 68 37 33 22 21 18 16 40 35 19 91 0,19 34 37
MOEA_D,4,6,187.72,880.2,0 50 25 43 92 62 48 77 58 82 86 67 72 70 54 36 3 32 49 66 53 80 4 0,54 72
MOEA_D,5,1,338.27,819.28,0 45 24 79 90 65 6 87 52 5 29 60 61 97 93 100 8 7 81 75 55 9 76 42 46 28 89 10 26 59 38 69 47 44 96 83 11 41 95 57 13 27 12 0,12 13 24 52
MOEA_D,5,2,338.27,819.28,0 14 73 0,
