algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D_VER2,1,1,157.74,1126.0,0 99 1 21 34 43 92 50 80 4 0,80
PFG_MOEA_D_VER2,1,2,157.74,1126.0,0 53 66 94 49 32 51 79 90 65 6 87 52 29 5 61 60 55 9 76 0,32 79
PFG_MOEA_D_VER2,1,3,157.74,1126.0,0 24 45 97 75 93 100 81 42 8 7 46 28 69 47 38 44 59 0,
PFG_MOEA_D_VER2,1,4,157.74,1126.0,0 89 10 26 96 83 11 57 95 41 73 12 27 13 91 33 37 68 39 56 18 20 0,68
PFG_MOEA_D_VER2,1,5,157.74,1126.0,0 14 98 85 88 63 74 78 64 30 15 71 35 40 16 31 17 19 2 23 82 58 77 0,15 31 40 63
PFG_MOEA_D_VER2,1,6,157.74,1126.0,0 25 22 84 86 67 72 70 54 36 3 62 48 0,36
PFG_MOEA_D_VER2,2,1,152.0,1325.48,0 77 22 0,
PFG_MOEA_D_VER2,2,2,152.0,1325.48,0 79 90 65 6 87 52 100 8 57 84 86 67 72 70 54 36 3 0,65
PFG_MOEA_D_VER2,2,3,152.0,1325.48,0 93 97 75 55 9 42 7 46 69 47 38 96 83 11 14 73 41 95 12 27 13 0,55
PFG_MOEA_D_VER2,2,4,152.0,1325.48,0 50 92 43 25 2 99 34 21 1 62 48 66 94 49 32 51 53 80 4 81 76 0,32
PFG_MOEA_D_VER2,2,5,152.0,1325.48,0 45 24 5 29 60 61 28 89 10 26 59 44 91 33 37 68 39 56 18 0,
PFG_MOEA_D_VER2,2,6,152.0,1325.48,0 20 98 85 88 63 74 78 64 30 15 71 35 40 16 31 17 19 23 82 58 0,15 64
PFG_MOEA_D_VER2,3,1,211.83,808.73,0 8 100 93 97 55 9 76 42 75 81 7 46 28 69 47 38 44 59 26 10 89 96 83 11 41 95 57 13 0,95
PFG_MOEA_D_VER2,3,2,211.83,808.73,0 27 12 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 17 31 20 19 91 21 22 33 37 68 39 56 84 23 1 34 99 2 0,20 30 63
PFG_MOEA_D_VER2,3,3,211.83,808.73,0 25 43 48 62 0,
PFG_MOEA_D_VER2,3,4,211.83,808.73,0 92 50 77 58 82 86 67 72 70 54 36 3 32 49 51 94 66 0,49
PFG_MOEA_D_VER2,3,5,211.83,808.73,0 4 80 53 45 79 90 65 6 87 52 60 61 29 5 0,80
PFG_MOEA_D_VER2,3,6,211.83,808.73,0 24 0,
PFG_MOEA_D_VER2,4,1,164.71,875.97,0 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 37 33 22 21 20 17 31 0,31 64
PFG_MOEA_D_VER2,4,2,164.71,875.97,0 91 19 68 39 56 84 23 82 86 67 72 70 54 36 3 58 48 62 1 34 99 2 25 0,
PFG_MOEA_D_VER2,4,3,164.71,875.97,0 43 0,
PFG_MOEA_D_VER2,4,4,164.71,875.97,0 92 50 77 0,
PFG_MOEA_D_VER2,4,5,164.71,875.97,0 4 80 53 66 94 45 24 51 49 32 79 90 65 6 87 52 60 61 29 5 97 75 55 9 93 100 8 0,9 45
PFG_MOEA_D_VER2,4,6,164.71,875.97,0 81 76 42 7 46 28 69 47 38 44 59 26 10 89 96 83 11 41 95 57 13 27 12 0,95
PFG_MOEA_D_VER2,5,1,162.14,930.63,0 25 43 34 48 62 92 50 77 66 94 49 32 0,92
PFG_MOEA_D_VER2,5,2,162.14,930.63,0 2 99 1 80 53 45 24 51 79 90 65 6 87 52 29 5 61 60 97 4 0,80
PFG_MOEA_D_VER2,5,3,162.14,930.63,0 8 100 93 9 55 75 81 76 42 7 46 0,93
PFG_MOEA_D_VER2,5,4,162.14,930.63,0 28 69 47 38 44 59 26 10 89 96 83 11 41 73 95 57 13 27 12 0,
PFG_MOEA_D_VER2,5,5,162.14,930.63,0 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 31 17 20 19 91 21 0,15 20 40
PFG_MOEA_D_VER2,5,6,162.14,930.63,0 22 33 37 68 39 56 84 23 82 86 67 72 70 54 36 3 58 0,
PFG_MOEA_D_VER2,6,1,282.35,764.74,0 25 43 92 50 0,92
PFG_MOEA_D_VER2,6,2,282.35,764.74,0 77 66 51 53 80 0,53
PFG_MOEA_D_VER2,6,3,282.35,764.74,0 4 24 45 94 49 32 79 90 65 6 87 52 60 61 29 5 97 75 55 9 93 100 8 81 76 42 7 46 28 69 47 38 44 59 26 10 89 0,28
PFG_MOEA_D_VER2,6,4,282.35,764.74,0 96 0,96
PFG_MOEA_D_VER2,6,5,282.35,764.74,0 13 27 12 95 57 83 11 41 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 31 17 20 19 91 21 22 33 37 68 39 56 84 23 82 86 67 72 70 54 36 3 58 48 62 1 0,15 20 31 68
PFG_MOEA_D_VER2,6,6,282.35,764.74,0 34 99 2 0,
PFG_MOEA_D_VER2,7,1,158.02,932.74,0 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 31 17 20 0,30 31 40
PFG_MOEA_D_VER2,7,2,158.02,932.74,0 2 99 34 1 21 33 37 68 39 56 19 91 0,21
PFG_MOEA_D_VER2,7,3,158.02,932.74,0 48 62 58 3 36 54 70 72 67 86 82 23 84 22 92 43 25 0,
PFG_MOEA_D_VER2,7,4,158.02,932.74,0 50 77 66 94 49 32 79 90 65 6 87 52 60 24 45 51 53 80 4 0,49
PFG_MOEA_D_VER2,7,5,158.02,932.74,0 5 29 61 97 75 55 9 93 100 8 81 76 42 7 46 0,93
PFG_MOEA_D_VER2,7,6,158.02,932.74,0 13 27 12 41 11 83 95 57 96 89 10 26 59 44 38 47 69 28 0,28
PFG_MOEA_D_VER2,8,1,173.76,815.1,0 57 95 83 11 41 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 31 17 0,15 31 63
PFG_MOEA_D_VER2,8,2,173.76,815.1,0 20 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 25 43 92 50 0,33
PFG_MOEA_D_VER2,8,3,173.76,815.1,0 62 48 77 58 82 86 67 72 70 54 36 3 32 49 94 66 53 80 4 0,32 53
PFG_MOEA_D_VER2,8,4,173.76,815.1,0 24 45 0,
PFG_MOEA_D_VER2,8,5,173.76,815.1,0 51 79 90 65 6 87 52 60 61 29 5 97 75 55 9 93 100 8 81 76 42 7 46 28 0,55 93
PFG_MOEA_D_VER2,8,6,173.76,815.1,0 10 89 69 47 38 44 59 26 96 13 27 12 0,
PFG_MOEA_D_VER2,9,1,168.57,838.26,0 57 95 83 11 41 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 31 0,15 57
PFG_MOEA_D_VER2,9,2,168.57,838.26,0 20 17 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 25 43 92 0,21 68
PFG_MOEA_D_VER2,9,3,168.57,838.26,0 50 48 0,
PFG_MOEA_D_VER2,9,4,168.57,838.26,0 77 58 62 82 86 67 72 70 54 36 3 32 49 94 66 51 0,32 36
PFG_MOEA_D_VER2,9,5,168.57,838.26,0 4 80 53 45 24 79 90 65 6 87 52 60 61 29 5 97 55 75 0,79
PFG_MOEA_D_VER2,9,6,168.57,838.26,0 8 100 93 9 81 76 42 7 46 28 69 47 38 44 59 26 10 89 96 13 27 12 0,9
