algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
NSGA_II,1,1,403.81,1220.57,0 97 0,
NSGA_II,1,2,403.81,1220.57,0 45 7 0,
NSGA_II,1,3,403.81,1220.57,0 16 27 89 55 0,
NSGA_II,1,4,403.81,1220.57,0 99 62 3 90 0,90
NSGA_II,1,5,403.81,1220.57,0 96 75 5 54 36 72 34 0,
NSGA_II,1,6,403.81,1220.57,0 13 12 73 14 11 83 26 59 44 47 69 38 10 28 46 8 42 76 9 81 100 93 61 60 29 52 87 6 65 79 32 51 24 4 80 53 66 94 49 70 67 86 82 58 77 48 92 50 2 25 43 1 21 33 22 23 84 39 56 68 37 91 20 19 18 17 31 40 35 71 15 98 85 88 63 74 78 64 30 41 95 57 0,15 24 29 65
NSGA_II,2,1,342.6,1291.95,0 13 73 14 98 35 40 31 17 37 22 84 23 2 50 92 48 58 66 6 29 60 61 81 76 42 100 0,14 37 40
NSGA_II,2,2,342.6,1291.95,0 54 65 0,
NSGA_II,2,3,342.6,1291.95,0 21 0,
NSGA_II,2,4,342.6,1291.95,0 43 0,
NSGA_II,2,5,342.6,1291.95,0 4 80 45 51 49 94 32 36 70 72 67 82 86 3 62 77 25 1 34 99 91 20 19 18 33 68 39 56 16 71 15 64 78 74 63 85 88 30 41 95 57 27 12 11 83 96 26 10 89 59 44 38 47 69 28 46 8 93 9 55 75 97 5 52 87 90 79 24 0,3 49 63
NSGA_II,2,6,342.6,1291.95,0 53 7 0,
NSGA_II,3,1,302.78,1338.34,0 15 0,15
NSGA_II,3,2,302.78,1338.34,0 53 94 32 3 36 54 70 72 67 86 82 62 92 50 99 1 21 22 33 84 39 68 37 91 20 17 31 16 71 85 63 64 30 73 41 11 83 96 13 27 57 59 69 47 10 89 28 7 8 100 76 9 61 60 29 52 6 65 79 0,57 94
NSGA_II,3,3,302.78,1338.34,0 19 2 0,
NSGA_II,3,4,302.78,1338.34,0 4 80 66 24 90 87 5 97 93 75 55 42 46 26 95 78 88 98 35 40 18 56 23 34 43 25 77 58 48 0,24
NSGA_II,3,5,302.78,1338.34,0 38 45 51 0,38
NSGA_II,3,6,302.78,1338.34,0 49 81 44 74 14 12 0,
NSGA_II,4,1,252.36,1399.03,0 48 62 34 68 91 20 31 71 85 88 74 63 64 30 15 73 41 12 27 95 57 96 11 83 26 10 89 59 38 47 69 8 97 90 6 65 79 36 70 72 32 45 80 0,38 57
NSGA_II,4,2,252.36,1399.03,0 28 51 94 0,
NSGA_II,4,3,252.36,1399.03,0 77 58 82 86 54 92 50 25 2 99 43 1 21 22 23 84 56 33 37 19 17 16 40 78 98 14 13 44 46 7 42 76 81 9 55 75 61 60 52 87 29 5 100 93 53 24 4 0,
NSGA_II,4,4,252.36,1399.03,0 35 66 0,35
NSGA_II,4,5,252.36,1399.03,0 18 39 67 3 0,
NSGA_II,4,6,252.36,1399.03,0 49 0,
NSGA_II,5,1,249.4,1476.82,0 94 0,94
NSGA_II,5,2,249.4,1476.82,0 86 0,
NSGA_II,5,3,249.4,1476.82,0 80 66 53 45 79 29 65 6 52 60 61 97 75 76 42 93 100 7 46 89 44 57 13 12 73 15 98 85 88 16 31 17 19 37 33 22 39 23 82 67 72 54 36 3 58 92 50 43 1 99 0,36 65 73 88
NSGA_II,5,4,249.4,1476.82,0 4 24 5 55 26 14 35 40 18 84 21 2 0,
NSGA_II,5,5,249.4,1476.82,0 81 0,
NSGA_II,5,6,249.4,1476.82,0 25 77 62 48 34 68 56 91 20 71 30 64 63 74 78 41 27 95 11 83 96 10 59 38 47 69 28 9 8 87 90 70 32 49 51 0,95
NSGA_II,6,1,236.45,1485.15,0 2 84 50 48 5 75 7 0,
NSGA_II,6,2,236.45,1485.15,0 1 92 77 3 72 67 22 23 39 37 33 21 20 19 18 16 40 35 98 74 14 83 27 96 26 44 69 46 81 76 9 93 100 61 60 29 52 87 6 79 32 49 66 45 24 4 0,21 37
NSGA_II,6,3,236.45,1485.15,0 99 0,
NSGA_II,6,4,236.45,1485.15,0 47 41 13 0,
NSGA_II,6,5,236.45,1485.15,0 12 43 0,
NSGA_II,6,6,236.45,1485.15,0 80 53 94 51 90 65 97 55 42 8 28 89 10 38 59 11 73 15 30 64 78 63 88 85 71 31 17 91 68 56 82 86 70 54 36 58 62 25 34 57 95 0,78 88 90 94
NSGA_II,7,1,225.79,1499.91,0 80 53 51 32 54 70 82 86 3 58 48 50 2 91 68 17 40 15 64 88 98 14 11 96 59 44 47 55 75 29 87 6 90 5 13 12 73 95 57 0,75 98
NSGA_II,7,2,225.79,1499.91,0 35 0,35
NSGA_II,7,3,225.79,1499.91,0 20 21 83 81 0,
NSGA_II,7,4,225.79,1499.91,0 46 42 76 100 52 67 22 33 37 39 18 43 92 0,
NSGA_II,7,5,225.79,1499.91,0 49 0,
NSGA_II,7,6,225.79,1499.91,0 4 24 45 94 66 72 36 62 77 25 99 34 1 23 84 56 16 19 31 71 30 78 74 63 85 41 27 8 7 28 89 10 26 38 69 9 93 97 61 60 65 79 0,
NSGA_II,8,1,181.31,1516.84,0 13 73 30 74 85 98 83 10 59 38 69 28 81 100 97 61 65 79 32 36 54 70 82 3 77 62 43 2 37 39 17 31 0,65 73
NSGA_II,8,2,181.31,1516.84,0 41 0,
NSGA_II,8,3,181.31,1516.84,0 50 48 92 1 25 91 16 71 19 23 86 49 94 66 53 45 51 90 29 5 60 93 9 76 42 96 26 89 46 7 8 4 80 0,
NSGA_II,8,4,181.31,1516.84,0 27 0,
NSGA_II,8,5,181.31,1516.84,0 99 58 72 67 22 21 33 84 56 68 18 20 40 35 15 64 78 88 14 11 95 57 44 47 55 75 52 87 6 24 0,24
NSGA_II,8,6,181.31,1516.84,0 34 63 12 0,63
NSGA_II,9,1,177.57,1544.04,0 13 12 83 14 98 74 78 30 71 17 18 68 37 33 1 43 2 67 72 70 32 79 87 97 42 28 69 38 10 0,
NSGA_II,9,2,177.57,1544.04,0 50 0,
NSGA_II,9,3,177.57,1544.04,0 80 45 36 54 3 86 82 23 84 39 56 31 15 63 88 85 11 44 47 89 100 93 60 65 6 90 29 5 61 73 41 57 25 62 48 77 0,57 65 73 88
NSGA_II,9,4,177.57,1544.04,0 58 92 34 99 22 21 91 20 19 16 40 35 64 95 96 26 59 46 8 76 9 55 52 51 49 94 66 53 0,20 95
NSGA_II,9,5,177.57,1544.04,0 24 81 0,
NSGA_II,9,6,177.57,1544.04,0 4 75 7 27 0,
NSGA_II,10,1,176.71,1607.04,0 80 66 82 86 72 36 54 77 2 1 22 68 56 91 19 17 31 35 98 30 12 27 89 76 7 8 93 61 29 52 87 65 24 0,30
NSGA_II,10,2,176.71,1607.04,0 83 0,
NSGA_II,10,3,176.71,1607.04,0 14 9 0,
NSGA_II,10,4,176.71,1607.04,0 4 45 94 6 90 97 75 42 38 44 26 10 96 41 85 88 63 74 78 40 16 37 84 21 34 99 25 43 92 58 0,21 43 75
NSGA_II,10,5,176.71,1607.04,0 100 11 73 57 0,
NSGA_II,10,6,176.71,1607.04,0 13 95 15 64 71 20 18 33 39 23 50 48 62 3 67 70 32 49 53 51 79 5 60 55 81 46 28 69 47 59 0,95
NSGA_II,11,1,170.76,1630.11,0 81 47 59 41 73 0,
NSGA_II,11,2,170.76,1630.11,0 50 48 1 22 37 68 84 82 86 67 72 70 54 36 66 79 65 29 87 52 60 61 100 76 7 89 38 14 15 31 17 20 0,38
NSGA_II,11,3,170.76,1630.11,0 97 0,
NSGA_II,11,4,170.76,1630.11,0 80 51 5 42 28 46 10 26 96 95 83 11 85 30 35 40 91 21 34 43 92 0,43
NSGA_II,11,5,170.76,1630.11,0 2 25 23 33 3 49 94 4 24 90 93 8 57 27 13 0,33 94
NSGA_II,11,6,170.76,1630.11,0 62 58 77 99 39 56 18 19 16 71 98 88 63 74 78 64 12 44 69 9 55 75 6 32 45 53 0,
NSGA_II,12,1,161.48,1630.17,0 58 87 95 11 14 64 15 35 40 17 20 0,40
NSGA_II,12,2,161.48,1630.17,0 66 53 29 52 60 61 9 42 76 81 100 93 30 18 21 22 33 37 39 56 84 67 82 48 43 1 2 0,30 43
NSGA_II,12,3,161.48,1630.17,0 80 4 24 94 65 6 54 70 3 77 25 23 19 31 71 78 74 63 88 85 98 41 8 46 69 38 59 26 10 0,
NSGA_II,12,4,161.48,1630.17,0 83 28 79 0,
NSGA_II,12,5,161.48,1630.17,0 50 92 62 34 99 68 16 91 73 12 27 13 96 44 47 89 7 75 55 97 5 90 51 36 86 72 32 49 45 0,73
NSGA_II,12,6,161.48,1630.17,0 57 0,
NSGA_II,13,1,152.67,1737.13,0 99 40 35 31 18 39 67 72 3 49 66 80 4 24 45 79 6 60 81 7 10 26 44 98 88 14 41 0,35
NSGA_II,13,2,152.67,1737.13,0 77 62 25 91 15 30 78 74 73 12 57 59 38 47 89 8 65 90 0,
NSGA_II,13,3,152.67,1737.13,0 94 48 86 70 36 32 51 87 97 93 9 28 69 96 95 27 83 11 85 63 64 71 20 19 56 68 34 0,
NSGA_II,13,4,152.67,1737.13,0 53 0,
NSGA_II,13,5,152.67,1737.13,0 17 16 21 33 37 84 23 22 1 2 50 92 58 82 54 5 29 52 61 75 55 76 42 46 100 13 0,
NSGA_II,13,6,152.67,1737.13,0 43 0,
NSGA_II,14,1,150.52,1772.9,0 69 0,
NSGA_II,14,2,150.52,1772.9,0 34 68 56 20 71 64 63 85 83 27 95 96 9 93 97 87 36 51 0,
NSGA_II,14,3,150.52,1772.9,0 48 99 18 17 31 19 22 23 86 32 94 75 46 0,
NSGA_II,14,4,150.52,1772.9,0 100 76 61 60 52 29 79 72 82 37 1 58 50 0,
NSGA_II,14,5,150.52,1772.9,0 92 43 2 91 16 35 39 84 33 67 70 54 3 66 80 53 65 5 55 42 8 7 28 11 41 13 0,3
NSGA_II,14,6,150.52,1772.9,0 77 62 25 21 40 15 30 78 74 88 98 14 73 12 57 26 10 59 44 38 47 89 81 90 6 24 49 45 4 0,38 57
NSGA_II,15,1,145.19,1796.07,0 4 90 65 87 97 55 8 89 59 38 69 44 57 12 41 73 78 30 15 40 91 39 56 72 36 43 25 0,36 73
NSGA_II,15,2,145.19,1796.07,0 20 17 71 19 68 34 2 50 86 70 54 32 94 51 53 93 9 28 96 95 83 11 85 63 64 27 0,
NSGA_II,15,3,145.19,1796.07,0 92 1 21 37 22 23 84 82 48 66 24 5 52 60 61 75 100 81 76 42 7 46 47 26 14 0,21 75
NSGA_II,15,4,145.19,1796.07,0 58 62 0,
NSGA_II,15,5,145.19,1796.07,0 10 98 74 88 35 16 18 33 67 3 77 49 79 29 6 45 80 0,
NSGA_II,15,6,145.19,1796.07,0 99 31 13 0,
NSGA_II,16,1,141.52,1798.28,0 64 12 0,
NSGA_II,16,2,141.52,1798.28,0 83 73 98 88 15 17 37 33 22 21 99 25 50 77 72 67 51 6 52 97 81 76 69 47 10 46 7 0,37 98
NSGA_II,16,3,141.52,1798.28,0 13 57 75 55 28 89 38 44 11 85 31 20 68 39 56 84 1 48 36 70 54 90 5 45 0,57
NSGA_II,16,4,141.52,1798.28,0 3 0,3
NSGA_II,16,5,141.52,1798.28,0 80 53 66 94 49 32 65 29 93 100 42 59 26 96 95 27 41 30 19 91 23 82 92 2 0,
NSGA_II,16,6,141.52,1798.28,0 4 24 79 87 60 61 8 9 14 63 74 78 71 35 40 16 18 34 43 62 86 58 0,78
NSGA_II,17,1,141.14,1804.66,0 12 78 74 63 64 88 98 71 35 16 18 56 21 1 50 62 58 77 53 24 6 52 60 100 76 9 69 0,63 88
NSGA_II,17,2,141.14,1804.66,0 55 44 99 0,
NSGA_II,17,3,141.14,1804.66,0 19 0,
NSGA_II,17,4,141.14,1804.66,0 4 45 32 72 86 22 84 40 73 41 26 59 47 89 81 75 90 0,40
NSGA_II,17,5,141.14,1804.66,0 2 25 43 92 34 37 82 36 51 79 65 87 5 97 57 96 83 14 85 11 38 10 42 66 0,37
NSGA_II,17,6,141.14,1804.66,0 29 61 93 8 7 28 46 13 27 95 15 30 31 17 20 91 33 68 39 23 67 70 54 3 49 94 80 48 0,29 30 95
NSGA_II,18,1,140.38,1844.54,0 80 45 5 29 90 6 52 60 93 9 76 42 7 27 88 71 16 18 68 84 99 50 48 0,29 88
NSGA_II,18,2,140.38,1844.54,0 58 40 35 78 64 15 95 14 11 55 87 0,14 15
NSGA_II,18,3,140.38,1844.54,0 20 21 33 39 56 22 34 77 72 67 36 24 61 75 81 47 44 57 30 63 12 0,57
NSGA_II,18,4,140.38,1844.54,0 17 98 83 59 69 38 10 28 46 8 65 32 54 70 3 62 1 25 2 0,65
NSGA_II,18,5,140.38,1844.54,0 91 19 31 74 85 73 41 13 96 26 89 100 97 79 49 51 53 66 94 82 86 23 37 43 92 0,
NSGA_II,18,6,140.38,1844.54,0 4 0,
NSGA_II,19,1,138.81,1854.92,0 44 34 0,
NSGA_II,19,2,138.81,1854.92,0 20 21 37 84 23 22 1 2 50 92 82 72 36 54 5 52 61 75 76 42 96 95 46 100 66 0,
NSGA_II,19,3,138.81,1854.92,0 53 24 79 32 65 29 9 8 7 28 59 57 13 27 73 14 78 30 15 35 91 43 62 58 0,43 73
NSGA_II,19,4,138.81,1854.92,0 4 81 60 6 70 77 48 25 39 56 40 31 17 64 85 98 26 69 38 11 12 0,40
NSGA_II,19,5,138.81,1854.92,0 80 45 51 49 94 86 67 33 68 18 19 16 71 88 74 63 41 83 10 89 47 55 97 93 0,
NSGA_II,19,6,138.81,1854.92,0 99 3 87 90 0,3
NSGA_II,20,1,133.48,1882.13,0 21 41 14 44 10 81 6 49 45 0,
NSGA_II,20,2,133.48,1882.13,0 91 68 62 36 65 87 97 8 89 47 69 38 59 11 57 73 30 74 78 15 12 0,57
NSGA_II,20,3,133.48,1882.13,0 19 71 85 95 0,
NSGA_II,20,4,133.48,1882.13,0 53 51 94 32 54 70 86 58 50 1 20 17 64 63 83 96 28 9 76 100 27 0,63
NSGA_II,20,5,133.48,1882.13,0 92 43 99 31 39 37 33 22 82 67 72 3 79 90 29 52 60 61 7 26 13 0,29
NSGA_II,20,6,133.48,1882.13,0 4 80 66 24 5 93 75 55 42 46 98 88 35 40 16 18 56 84 23 34 48 77 25 2 0,
NSGA_II,21,1,128.06,1945.23,0 7 14 27 13 35 43 0,
NSGA_II,21,2,128.06,1945.23,0 8 81 69 28 11 73 98 64 78 30 40 31 17 56 39 48 58 70 65 6 60 29 32 0,29 40
NSGA_II,21,3,128.06,1945.23,0 4 80 94 97 47 38 26 57 41 12 15 85 63 74 88 71 18 19 91 33 68 25 77 0,38 63
NSGA_II,21,4,128.06,1945.23,0 83 44 10 89 55 93 87 90 45 51 49 3 67 86 62 34 99 16 0,
NSGA_II,21,5,128.06,1945.23,0 20 37 84 92 2 50 72 36 54 5 61 75 100 46 96 95 0,75
NSGA_II,21,6,128.06,1945.23,0 1 21 22 23 82 66 53 9 59 42 76 52 79 24 0,21
NSGA_II,22,1,125.95,1999.76,0 6 87 52 55 9 76 100 7 44 14 98 88 63 64 71 19 18 56 84 1 58 50 20 0,63
NSGA_II,22,2,125.95,1999.76,0 90 65 32 45 77 62 25 91 15 30 78 74 73 12 57 8 75 81 69 47 38 59 89 0,38 65
NSGA_II,22,3,125.95,1999.76,0 16 99 80 51 24 60 61 97 0,
NSGA_II,22,4,125.95,1999.76,0 53 29 36 72 92 22 37 68 17 31 11 0,
NSGA_II,22,5,125.95,1999.76,0 66 54 67 82 48 43 34 21 40 35 41 95 83 10 28 46 0,40
NSGA_II,22,6,125.95,1999.76,0 13 27 85 96 26 42 93 5 79 4 94 49 3 70 86 23 39 33 2 0,
NSGA_II,23,1,125.48,2020.78,0 4 65 55 89 47 44 96 57 8 12 41 73 15 78 40 19 18 21 82 72 62 43 0,78
NSGA_II,23,2,125.48,2020.78,0 25 34 37 68 56 30 63 88 85 11 59 38 10 26 28 42 76 97 87 90 54 36 49 0,37
NSGA_II,23,3,125.48,2020.78,0 2 99 84 16 35 71 64 74 98 95 100 93 61 52 5 53 51 86 58 77 0,
NSGA_II,23,4,125.48,2020.78,0 66 32 24 29 75 81 7 69 13 27 17 39 23 22 33 91 0,
NSGA_II,23,5,125.48,2020.78,0 80 70 67 3 48 50 1 31 83 0,
NSGA_II,23,6,125.48,2020.78,0 94 45 79 6 60 9 46 14 20 92 0,
NSGA_II,24,1,123.86,2020.87,0 24 90 87 75 47 38 44 95 73 19 71 40 16 18 91 99 34 62 3 0,
NSGA_II,24,2,123.86,2020.87,0 51 70 32 93 100 9 28 96 83 27 98 63 78 64 35 17 20 21 0,21
NSGA_II,24,3,123.86,2020.87,0 53 94 36 54 29 5 61 8 7 46 89 10 26 41 14 88 31 23 1 92 58 77 50 25 0,36 88
NSGA_II,24,4,123.86,2020.87,0 13 30 68 33 82 6 4 0,
NSGA_II,24,5,123.86,2020.87,0 43 37 67 72 49 45 79 52 97 69 59 0,
NSGA_II,24,6,123.86,2020.87,0 80 66 65 60 55 76 81 42 57 12 11 74 85 15 56 39 84 22 86 48 2 0,
NSGA_II,25,1,118.67,2031.39,0 12 15 78 31 37 2 62 58 82 72 70 36 32 93 100 47 89 10 0,
NSGA_II,25,2,118.67,2031.39,0 57 41 44 11 85 56 84 86 3 54 90 65 5 45 0,3
NSGA_II,25,3,118.67,2031.39,0 80 61 60 88 39 99 25 77 0,88
NSGA_II,25,4,118.67,2031.39,0 24 49 29 87 52 55 76 8 95 96 26 98 63 64 30 40 16 18 34 92 50 0,
NSGA_II,25,5,118.67,2031.39,0 53 51 66 94 97 81 7 28 14 73 27 13 17 91 33 23 67 48 43 0,
NSGA_II,25,6,118.67,2031.39,0 1 22 68 21 19 20 35 71 74 83 59 38 69 46 42 9 75 6 79 4 0,35
NSGA_II,26,1,114.67,2151.08,0 27 95 59 47 69 28 61 32 62 33 68 39 18 0,
NSGA_II,26,2,114.67,2151.08,0 80 81 8 13 30 98 31 20 91 23 1 48 50 77 3 54 29 24 0,
NSGA_II,26,3,114.67,2151.08,0 41 14 83 44 10 7 9 93 60 6 79 49 66 67 70 22 56 21 92 2 0,
NSGA_II,26,4,114.67,2151.08,0 100 97 90 45 82 72 36 58 34 19 40 78 63 88 85 11 26 73 57 0,36 40 63
NSGA_II,26,5,114.67,2151.08,0 25 43 99 84 37 16 35 74 12 96 38 42 75 87 52 94 4 0,38
NSGA_II,26,6,114.67,2151.08,0 53 51 86 65 5 55 76 46 89 15 64 71 17 0,
NSGA_II,27,1,110.72,2157.44,0 50 77 58 2 1 23 33 68 85 88 26 69 7 42 76 97 61 29 53 0,29
NSGA_II,27,2,110.72,2157.44,0 12 57 11 10 5 52 49 54 86 84 39 56 37 22 66 0,49
NSGA_II,27,3,110.72,2157.44,0 24 90 87 75 81 47 38 44 13 73 74 40 16 18 91 99 62 36 3 48 0,73
NSGA_II,27,4,110.72,2157.44,0 93 9 32 34 20 19 71 64 63 83 96 95 27 0,
NSGA_II,27,5,110.72,2157.44,0 100 46 28 14 98 78 35 17 21 67 70 6 60 79 51 94 45 0,94
NSGA_II,27,6,110.72,2157.44,0 25 43 92 72 82 80 4 65 55 8 89 59 41 15 30 31 0,30
NSGA_II,28,1,109.57,2159.58,0 48 2 91 20 31 30 39 68 33 82 67 70 54 36 80 29 61 93 7 8 13 0,29 30
NSGA_II,28,2,109.57,2159.58,0 77 1 22 72 66 65 87 76 83 14 98 35 17 27 0,
NSGA_II,28,3,109.57,2159.58,0 10 26 44 88 85 96 42 9 75 97 90 6 45 92 43 34 37 21 99 0,75
NSGA_II,28,4,109.57,2159.58,0 4 100 55 38 57 41 11 73 64 78 74 63 71 40 16 84 25 58 94 51 53 0,40 63
NSGA_II,28,5,109.57,2159.58,0 79 49 32 5 81 46 28 47 59 95 15 23 62 0,
NSGA_II,28,6,109.57,2159.58,0 50 3 86 56 18 19 12 89 69 60 52 24 0,3
NSGA_II,29,1,108.67,2220.52,0 12 11 14 95 57 87 51 58 86 68 91 17 40 15 64 98 35 20 0,40 98
NSGA_II,29,2,108.67,2220.52,0 43 99 21 33 37 39 18 41 83 10 28 46 42 76 81 100 52 0,
NSGA_II,29,3,108.67,2220.52,0 4 45 24 65 9 8 69 38 89 85 16 84 72 77 34 0,24
NSGA_II,29,4,108.67,2220.52,0 26 27 30 78 74 31 19 23 1 25 62 94 61 79 0,94
NSGA_II,29,5,108.67,2220.52,0 66 49 67 70 54 36 29 60 97 93 7 63 71 56 22 92 0,
NSGA_II,29,6,108.67,2220.52,0 80 53 32 6 90 5 75 55 59 47 44 96 88 73 13 2 48 3 82 50 0,88
