algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D,1,1,215.83,836.17,0 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 19 31 17 20 91 0,
PFG_MOEA_D,1,2,215.83,836.17,0 50 25 43 92 58 77 3 36 54 70 72 67 86 82 22 23 84 39 56 68 37 33 21 1 34 99 2 0,2 36 72 77 86
PFG_MOEA_D,1,3,215.83,836.17,0 62 48 66 94 49 32 51 53 80 4 0,62
PFG_MOEA_D,1,4,215.83,836.17,0 45 24 79 90 65 6 87 52 29 5 61 60 93 0,60 65 79
PFG_MOEA_D,1,5,215.83,836.17,0 8 7 81 100 97 75 55 9 76 42 28 46 0,
PFG_MOEA_D,1,6,215.83,836.17,0 89 10 26 59 38 47 69 44 96 83 11 73 41 57 95 13 27 12 0,13 26
PFG_MOEA_D,2,1,231.07,785.77,0 27 12 41 11 14 73 30 64 78 74 63 88 85 98 15 71 35 31 17 20 19 40 16 18 91 0,27
PFG_MOEA_D,2,2,231.07,785.77,0 50 48 62 22 23 84 56 39 68 37 33 21 1 34 99 2 25 43 92 0,33 50
PFG_MOEA_D,2,3,231.07,785.77,0 77 58 82 86 67 72 70 54 36 3 49 94 0,54 72 86
PFG_MOEA_D,2,4,231.07,785.77,0 4 80 66 53 45 24 51 32 79 90 65 6 87 52 29 5 61 60 97 93 100 81 75 55 9 76 42 7 8 0,51 60 79
PFG_MOEA_D,2,5,231.07,785.77,0 28 0,28
PFG_MOEA_D,2,6,231.07,785.77,0 46 69 47 38 44 59 26 10 89 96 83 95 57 13 0,
PFG_MOEA_D,3,1,268.85,764.82,0 27 0,27
PFG_MOEA_D,3,2,268.85,764.82,0 13 57 95 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 0,13 78 98
PFG_MOEA_D,3,3,268.85,764.82,0 20 17 31 19 18 91 33 37 68 56 39 84 23 22 21 1 34 99 2 50 25 43 92 48 62 58 77 82 86 67 72 70 54 36 3 32 49 0,32 33 36 86
PFG_MOEA_D,3,4,268.85,764.82,0 94 66 0,
PFG_MOEA_D,3,5,268.85,764.82,0 4 80 53 51 45 24 79 90 65 6 87 52 29 5 61 60 97 93 100 8 7 81 75 55 9 76 42 28 46 0,7 28 51 60
PFG_MOEA_D,3,6,268.85,764.82,0 89 10 26 59 38 47 69 44 96 83 11 41 12 0,26 47
PFG_MOEA_D,4,1,295.6,739.53,0 27 0,27
PFG_MOEA_D,4,2,295.6,739.53,0 12 0,12
PFG_MOEA_D,4,3,295.6,739.53,0 41 11 14 73 30 64 78 74 63 88 85 98 15 71 35 31 17 20 19 40 16 18 91 21 33 37 68 39 56 84 23 22 1 34 99 2 25 43 92 62 48 77 50 0,34 64 92
PFG_MOEA_D,4,4,295.6,739.53,0 58 82 86 67 72 70 54 36 3 32 49 94 66 53 51 45 24 4 80 0,51 54
PFG_MOEA_D,4,5,295.6,739.53,0 79 90 65 6 87 52 29 5 61 60 97 93 100 81 75 55 9 76 42 8 7 46 69 47 38 44 59 26 10 89 28 96 83 0,28 65
PFG_MOEA_D,4,6,295.6,739.53,0 57 95 13 0,
PFG_MOEA_D,5,1,209.5,840.36,0 13 27 12 95 57 83 11 14 73 41 30 64 78 74 63 88 85 98 15 71 35 0,27 63 64 95
PFG_MOEA_D,5,2,209.5,840.36,0 20 17 31 19 40 16 18 91 21 33 37 68 39 56 84 23 22 62 48 50 1 34 99 2 0,19 33 50 99
PFG_MOEA_D,5,3,209.5,840.36,0 25 43 0,
PFG_MOEA_D,5,4,209.5,840.36,0 92 77 58 82 86 67 72 70 54 36 3 49 94 4 0,
PFG_MOEA_D,5,5,209.5,840.36,0 80 66 53 45 24 51 32 79 90 65 6 87 52 60 61 5 29 0,32 60
PFG_MOEA_D,5,6,209.5,840.36,0 8 7 81 100 93 97 75 55 9 76 42 28 46 69 47 38 44 59 26 10 89 96 0,28 93 96
PFG_MOEA_D,6,1,265.16,775.3,0 4 80 82 86 67 72 70 54 36 3 49 94 66 0,54
PFG_MOEA_D,6,2,265.16,775.3,0 53 45 24 51 32 79 90 65 6 87 52 29 5 61 60 93 100 81 7 0,
PFG_MOEA_D,6,3,265.16,775.3,0 8 97 75 55 9 76 42 28 46 89 10 38 47 69 44 59 26 96 83 11 14 98 85 88 63 74 78 64 30 15 73 41 12 27 13 95 57 0,28 47 76 88 95 98
PFG_MOEA_D,6,4,265.16,775.3,0 20 17 31 71 35 40 16 18 19 91 21 33 37 68 39 56 84 23 22 1 34 62 48 50 0,20 50 62
PFG_MOEA_D,6,5,265.16,775.3,0 99 0,99
PFG_MOEA_D,6,6,265.16,775.3,0 2 25 43 92 58 77 0,77
PFG_MOEA_D,7,1,219.33,831.97,0 2 99 34 1 25 43 92 58 80 53 0,92
PFG_MOEA_D,7,2,219.33,831.97,0 24 45 51 79 90 65 6 87 52 29 5 61 60 97 93 100 8 7 81 75 55 9 76 42 28 46 0,51 60
PFG_MOEA_D,7,3,219.33,831.97,0 10 89 69 47 38 44 59 26 96 77 0,77
PFG_MOEA_D,7,4,219.33,831.97,0 82 86 67 72 70 54 36 3 32 49 94 66 4 0,32
PFG_MOEA_D,7,5,219.33,831.97,0 13 27 12 41 30 64 78 74 63 88 85 98 15 73 14 11 83 95 57 0,12 13 88
PFG_MOEA_D,7,6,219.33,831.97,0 20 19 17 31 35 71 40 16 18 91 21 33 37 68 39 56 84 23 22 62 48 50 0,
PFG_MOEA_D,8,1,285.54,764.77,0 4 80 45 24 51 79 90 65 6 87 52 29 5 61 60 97 75 55 9 76 42 81 100 93 8 7 46 28 69 47 38 44 59 26 89 10 96 0,28 60 79
PFG_MOEA_D,8,2,285.54,764.77,0 13 27 12 41 57 95 83 11 14 73 30 64 78 74 63 88 85 98 15 71 35 40 16 31 17 19 20 91 18 68 39 56 37 33 84 23 22 21 1 34 99 0,12 34 37 83
PFG_MOEA_D,8,3,285.54,764.77,0 2 0,2
PFG_MOEA_D,8,4,285.54,764.77,0 50 25 43 92 0,
PFG_MOEA_D,8,5,285.54,764.77,0 48 62 3 36 54 70 72 67 86 82 58 77 0,36 62
PFG_MOEA_D,8,6,285.54,764.77,0 32 49 94 66 53 0,94
PFG_MOEA_D,9,1,209.31,846.76,0 4 53 45 24 51 79 90 65 6 87 52 5 29 60 61 97 93 9 55 75 81 0,65
PFG_MOEA_D,9,2,209.31,846.76,0 100 8 7 46 28 42 76 89 10 69 47 38 44 59 26 96 83 11 14 73 41 12 27 0,7 26
PFG_MOEA_D,9,3,209.31,846.76,0 13 95 57 30 64 78 74 63 88 85 98 15 71 35 40 16 20 0,30 88 98
PFG_MOEA_D,9,4,209.31,846.76,0 17 31 19 18 91 33 0,33
PFG_MOEA_D,9,5,209.31,846.76,0 2 99 34 1 21 37 68 56 39 84 23 22 62 48 0,2
PFG_MOEA_D,9,6,209.31,846.76,0 50 25 43 92 77 58 82 86 67 72 70 54 36 3 32 49 94 66 80 0,32 54 77 86 94
PFG_MOEA_D,10,1,188.31,884.5,0 12 41 11 44 38 69 47 89 28 46 7 81 75 55 42 76 100 8 0,
PFG_MOEA_D,10,2,188.31,884.5,0 10 26 59 96 83 95 57 13 27 73 14 98 85 88 63 74 78 64 30 15 71 35 0,13 26 78 83 98
PFG_MOEA_D,10,3,188.31,884.5,0 20 17 31 19 40 16 18 91 84 33 37 68 56 39 23 22 21 1 34 99 0,19 33
PFG_MOEA_D,10,4,188.31,884.5,0 50 25 2 43 92 48 62 58 77 82 86 67 72 70 54 36 3 32 49 0,2 3 54 62 92
PFG_MOEA_D,10,5,188.31,884.5,0 4 80 53 66 94 45 24 0,
PFG_MOEA_D,10,6,188.31,884.5,0 51 79 90 65 6 87 52 5 29 60 61 97 93 9 0,6 61
PFG_MOEA_D,11,1,203.43,854.99,0 5 61 60 97 93 100 81 75 55 9 76 42 7 8 0,7 60 93
PFG_MOEA_D,11,2,203.43,854.99,0 46 28 89 10 26 59 38 47 69 44 96 83 11 41 95 57 13 27 12 0,13 47
PFG_MOEA_D,11,3,203.43,854.99,0 73 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 19 31 17 20 0,
PFG_MOEA_D,11,4,203.43,854.99,0 91 33 37 68 56 39 84 23 22 21 1 34 99 2 50 25 43 92 62 48 0,2 62
PFG_MOEA_D,11,5,203.43,854.99,0 77 58 82 86 67 72 70 54 36 3 32 49 94 66 51 53 80 4 0,51 54 86
PFG_MOEA_D,11,6,203.43,854.99,0 45 24 79 90 65 6 87 52 29 0,
