algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
REGULAR_GRID_MOEA_D,1,1,169.43,941.25,0 24 5 29 60 52 87 6 65 90 79 32 49 51 45 2 99 34 1 43 92 0,51 65 87
REGULAR_GRID_MOEA_D,1,2,169.43,941.25,0 25 50 48 62 58 77 8 93 61 97 75 55 9 76 81 100 42 7 0,7 77 100
REGULAR_GRID_MOEA_D,1,3,169.43,941.25,0 46 28 10 89 69 47 38 44 59 26 96 83 41 95 57 13 27 12 0,10 38 46 59 69
REGULAR_GRID_MOEA_D,1,4,169.43,941.25,0 73 14 11 98 85 88 63 74 78 64 30 15 71 35 40 16 31 17 20 0,40
REGULAR_GRID_MOEA_D,1,5,169.43,941.25,0 19 18 91 21 33 37 68 39 56 84 23 22 0,
REGULAR_GRID_MOEA_D,1,6,169.43,941.25,0 4 53 82 86 67 72 70 54 36 3 94 66 80 0,4 36 66
REGULAR_GRID_MOEA_D,2,1,175.21,888.65,0 79 5 29 90 65 6 87 52 60 61 97 55 75 95 73 41 12 27 13 0,87
REGULAR_GRID_MOEA_D,2,2,175.21,888.65,0 8 93 100 81 9 76 42 7 46 28 89 47 69 38 44 59 26 10 96 83 57 0,10 44 46 100
REGULAR_GRID_MOEA_D,2,3,175.21,888.65,0 11 14 15 98 85 88 63 74 78 64 30 71 17 20 0,
REGULAR_GRID_MOEA_D,2,4,175.21,888.65,0 31 35 40 16 18 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 0,31
REGULAR_GRID_MOEA_D,2,5,175.21,888.65,0 25 43 92 48 62 58 77 50 66 94 45 51 24 53 4 0,51 77
REGULAR_GRID_MOEA_D,2,6,175.21,888.65,0 80 82 86 67 72 70 54 36 3 32 49 0,3 67
REGULAR_GRID_MOEA_D,3,1,290.2,758.46,0 4 24 45 51 49 32 79 90 65 6 87 52 5 29 60 61 97 75 55 9 76 81 100 8 0,45 52
REGULAR_GRID_MOEA_D,3,2,290.2,758.46,0 13 27 12 41 73 95 57 93 7 46 0,93
REGULAR_GRID_MOEA_D,3,3,290.2,758.46,0 42 0,42
REGULAR_GRID_MOEA_D,3,4,290.2,758.46,0 28 10 89 47 69 38 44 59 26 96 83 11 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 19 17 31 20 91 33 37 68 39 56 84 23 22 21 1 34 99 2 25 0,17 18 69 74 99
REGULAR_GRID_MOEA_D,3,5,290.2,758.46,0 50 92 43 48 0,43
REGULAR_GRID_MOEA_D,3,6,290.2,758.46,0 77 58 62 82 86 67 72 70 54 36 3 94 66 53 80 0,36 77
REGULAR_GRID_MOEA_D,4,1,164.8,997.8,0 17 31 71 35 40 16 18 19 91 21 33 37 68 39 56 84 23 22 0,16
REGULAR_GRID_MOEA_D,4,2,164.8,997.8,0 50 77 58 70 72 67 86 82 62 48 92 43 1 34 99 2 25 0,
REGULAR_GRID_MOEA_D,4,3,164.8,997.8,0 4 80 53 66 94 45 24 51 49 3 36 54 32 79 90 65 61 97 0,66
