algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D_NO_LS,1,1,195.98,3342.75,0 11 91 98 10 96 13 57 8 15 78 30 55 83 73 93 42 0,
PFG_MOEA_D_NO_LS,1,2,195.98,3342.75,0 16 88 23 33 86 67 36 74 37 12 35 17 56 19 20 0,
PFG_MOEA_D_NO_LS,1,3,195.98,3342.75,0 71 32 92 80 24 52 87 47 7 9 14 27 29 99 22 38 59 0,32 47
PFG_MOEA_D_NO_LS,1,4,195.98,3342.75,0 50 81 65 31 72 97 70 54 79 53 3 89 44 85 63 95 5 0,3 5 79
PFG_MOEA_D_NO_LS,1,5,195.98,3342.75,0 69 77 40 64 21 18 62 39 68 2 58 45 76 4 60 61 90 51 0,60 62 64 68
PFG_MOEA_D_NO_LS,1,6,195.98,3342.75,0 66 49 94 46 82 34 26 43 25 84 1 6 75 28 100 48 41 0,6
PFG_MOEA_D_NO_LS,2,1,201.6,3251.03,0 11 91 49 98 10 96 13 57 40 64 21 18 82 34 26 43 25 54 0,10 25 64 82
PFG_MOEA_D_NO_LS,2,2,201.6,3251.03,0 79 77 46 36 74 37 84 1 75 28 47 7 12 35 17 56 19 0,7 28 56 74
PFG_MOEA_D_NO_LS,2,3,201.6,3251.03,0 20 71 32 92 80 24 52 87 9 14 0,
PFG_MOEA_D_NO_LS,2,4,201.6,3251.03,0 27 29 99 22 8 15 78 30 55 83 38 59 50 81 65 31 72 97 0,15 29 97
PFG_MOEA_D_NO_LS,2,5,201.6,3251.03,0 70 73 93 42 16 88 23 33 86 67 53 3 89 44 85 63 62 39 68 0,3 62 70 88
PFG_MOEA_D_NO_LS,2,6,201.6,3251.03,0 2 58 45 76 95 5 69 4 60 61 90 51 66 6 94 100 48 41 0,2
PFG_MOEA_D_NO_LS,3,1,199.68,3285.98,0 3 76 95 32 92 80 24 52 87 20 99 71 31 16 88 23 0,32 99
PFG_MOEA_D_NO_LS,3,2,199.68,3285.98,0 33 86 67 54 79 89 44 85 63 62 39 68 2 58 45 4 51 0,62
PFG_MOEA_D_NO_LS,3,3,199.68,3285.98,0 66 77 46 36 74 12 35 17 56 19 22 38 59 50 81 0,
PFG_MOEA_D_NO_LS,3,4,199.68,3285.98,0 100 49 82 34 26 10 96 37 84 1 6 75 28 47 7 9 14 27 0,28 82
PFG_MOEA_D_NO_LS,3,5,199.68,3285.98,0 29 48 41 11 91 40 64 21 18 98 15 78 30 55 83 0,11 21
PFG_MOEA_D_NO_LS,3,6,199.68,3285.98,0 73 93 42 13 57 8 65 94 5 69 60 61 90 43 25 72 97 70 53 0,5 42 97
PFG_MOEA_D_NO_LS,4,1,220.64,2671.12,0 51 66 77 46 36 74 37 84 1 0,74
PFG_MOEA_D_NO_LS,4,2,220.64,2671.12,0 6 75 28 47 7 9 14 27 29 48 41 11 91 40 0,6
PFG_MOEA_D_NO_LS,4,3,220.64,2671.12,0 64 21 18 98 15 78 30 55 83 73 93 42 12 35 17 56 19 22 38 59 50 49 0,56 64
PFG_MOEA_D_NO_LS,4,4,220.64,2671.12,0 82 34 26 10 96 13 57 8 65 94 5 69 60 61 90 43 25 72 97 70 53 3 76 0,3 10 25 69 82 97
PFG_MOEA_D_NO_LS,4,5,220.64,2671.12,0 95 32 92 80 24 52 87 20 99 71 31 16 81 100 88 0,16 88 99
PFG_MOEA_D_NO_LS,4,6,220.64,2671.12,0 23 33 86 67 54 79 89 44 85 63 62 39 68 2 58 45 4 0,2 23
PFG_MOEA_D_NO_LS,5,1,202.27,2838.97,0 66 77 46 36 74 37 84 1 6 75 28 47 7 9 14 27 29 0,29 74
