algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D,1,1,130.77,829.74,0 8 81 75 55 9 76 42 7 46 28 89 47 69 38 44 59 26 10 0,
PFG_MOEA_D,1,2,130.77,829.74,0 13 27 12 41 95 57 96 83 11 14 73 15 30 64 78 74 63 88 85 98 71 31 17 20 0,17
PFG_MOEA_D,1,3,130.77,829.74,0 35 40 16 18 19 91 33 37 68 39 56 84 23 22 21 1 34 0,33 56
PFG_MOEA_D,1,4,130.77,829.74,0 99 2 43 25 50 92 62 48 0,
PFG_MOEA_D,1,5,130.77,829.74,0 77 58 82 86 67 72 70 54 36 3 94 66 53 80 4 0,80
PFG_MOEA_D,1,6,130.77,829.74,0 24 45 51 49 32 79 90 65 6 87 52 29 5 60 61 97 93 100 0,
PFG_MOEA_D,2,1,108.26,857.13,0 77 58 82 86 67 72 70 54 36 3 49 94 66 53 45 24 4 80 0,36
PFG_MOEA_D,2,2,108.26,857.13,0 51 32 79 90 65 6 87 52 60 61 29 5 97 55 9 76 100 93 0,5 51 60
PFG_MOEA_D,2,3,108.26,857.13,0 8 81 75 7 46 28 42 89 10 26 59 47 69 38 44 96 57 0,47
PFG_MOEA_D,2,4,108.26,857.13,0 13 27 12 41 95 83 11 14 73 15 30 64 78 74 63 88 85 98 71 31 0,11 27 41
PFG_MOEA_D,2,5,108.26,857.13,0 20 17 35 40 16 18 19 91 33 37 68 39 56 84 23 22 21 1 34 99 2 0,33
PFG_MOEA_D,2,6,108.26,857.13,0 50 25 43 92 62 48 0,62
PFG_MOEA_D,3,1,109.19,855.02,0 15 30 64 78 74 63 88 85 98 71 35 40 16 18 31 17 20 0,17 85
PFG_MOEA_D,3,2,109.19,855.02,0 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 43 25 50 58 77 0,
PFG_MOEA_D,3,3,109.19,855.02,0 92 48 62 3 36 54 70 72 67 86 82 94 32 66 53 80 4 0,32 62 80
PFG_MOEA_D,3,4,109.19,855.02,0 24 45 51 49 79 90 65 6 87 52 60 61 29 5 97 75 55 9 93 0,5
PFG_MOEA_D,3,5,109.19,855.02,0 8 100 76 42 81 7 46 28 89 10 26 59 47 69 38 44 96 0,44
PFG_MOEA_D,3,6,109.19,855.02,0 57 95 83 11 14 73 41 12 27 13 0,73
PFG_MOEA_D,4,1,151.17,796.23,0 77 58 82 86 67 72 70 54 36 3 49 0,
PFG_MOEA_D,4,2,151.17,796.23,0 4 80 53 66 94 45 24 51 32 79 90 65 6 87 52 60 61 29 5 97 93 9 55 75 81 7 46 28 42 76 100 8 0,32 55 80 90
PFG_MOEA_D,4,3,151.17,796.23,0 89 10 26 59 47 69 38 44 96 83 0,47
PFG_MOEA_D,4,4,151.17,796.23,0 11 0,11
PFG_MOEA_D,4,5,151.17,796.23,0 13 27 12 41 57 95 14 73 15 30 64 78 74 63 88 85 98 71 35 40 16 18 31 17 20 0,17 63
PFG_MOEA_D,4,6,151.17,796.23,0 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 25 43 48 62 92 50 0,62
PFG_MOEA_D,5,1,116.2,831.97,0 79 90 65 6 87 52 60 61 29 5 97 93 100 8 7 81 75 55 9 76 42 28 0,28 90
PFG_MOEA_D,5,2,116.2,831.97,0 46 89 10 26 59 47 69 38 44 96 83 11 0,11 44 47
PFG_MOEA_D,5,3,116.2,831.97,0 13 27 12 41 57 95 73 14 98 85 88 63 74 78 64 30 15 71 31 17 20 0,73
PFG_MOEA_D,5,4,116.2,831.97,0 35 40 16 18 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 25 43 50 0,21
PFG_MOEA_D,5,5,116.2,831.97,0 92 62 3 36 54 70 72 67 86 82 58 77 48 0,
PFG_MOEA_D,5,6,116.2,831.97,0 4 80 53 66 94 49 32 51 45 24 0,80
PFG_MOEA_D,6,1,105.27,869.74,0 15 30 64 78 74 63 88 85 98 71 35 40 16 0,
PFG_MOEA_D,6,2,105.27,869.74,0 20 17 31 18 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 43 25 50 0,2 21 56
PFG_MOEA_D,6,3,105.27,869.74,0 77 58 92 48 62 3 36 54 70 72 67 86 82 94 32 66 53 80 4 24 0,62 92
PFG_MOEA_D,6,4,105.27,869.74,0 45 51 49 79 90 65 6 87 52 60 61 29 5 97 75 55 9 76 100 93 8 0,6 45
PFG_MOEA_D,6,5,105.27,869.74,0 28 46 7 81 42 89 10 26 59 47 69 38 44 96 57 13 27 0,27
PFG_MOEA_D,6,6,105.27,869.74,0 12 41 73 14 11 83 95 0,41
PFG_MOEA_D,7,1,139.76,817.28,0 50 0,50
PFG_MOEA_D,7,2,139.76,817.28,0 92 62 48 77 58 82 86 67 72 70 54 36 3 94 66 0,36
PFG_MOEA_D,7,3,139.76,817.28,0 4 80 53 24 45 51 49 32 79 90 65 6 87 52 29 5 60 61 97 55 75 81 93 100 8 7 46 28 0,80 97
PFG_MOEA_D,7,4,139.76,817.28,0 9 76 42 89 47 69 38 44 59 26 10 96 11 83 95 41 12 27 13 57 0,44
PFG_MOEA_D,7,5,139.76,817.28,0 14 73 15 30 64 78 74 63 88 85 98 71 35 40 16 18 19 31 17 20 0,63 73 85
PFG_MOEA_D,7,6,139.76,817.28,0 91 33 37 68 39 56 84 23 22 21 1 34 99 2 43 25 0,91
PFG_MOEA_D,8,1,98.88,951.67,0 50 66 53 80 4 24 45 51 49 79 90 0,45 80
PFG_MOEA_D,8,2,98.88,951.67,0 65 6 87 52 29 5 60 61 97 55 75 81 93 100 8 7 46 28 0,
PFG_MOEA_D,8,3,98.88,951.67,0 9 76 42 89 47 69 38 44 59 26 10 96 11 83 95 0,47
PFG_MOEA_D,8,4,98.88,951.67,0 13 27 12 41 57 14 73 15 30 64 78 74 63 88 85 98 71 0,27 73
PFG_MOEA_D,8,5,98.88,951.67,0 20 17 31 35 40 16 18 19 91 33 37 68 39 56 84 23 22 21 1 0,17
PFG_MOEA_D,8,6,98.88,951.67,0 2 99 34 43 25 77 58 92 48 62 3 36 54 70 72 67 86 82 94 32 0,2 32 36 72
PFG_MOEA_D,9,1,129.86,829.8,0 50 0,50
PFG_MOEA_D,9,2,129.86,829.8,0 92 62 48 77 58 82 86 67 72 70 54 36 3 49 94 66 53 51 45 24 4 80 0,80
PFG_MOEA_D,9,3,129.86,829.8,0 32 79 90 65 6 87 52 29 5 60 61 97 75 81 93 100 8 7 28 41 12 27 13 0,6 27 29 32
PFG_MOEA_D,9,4,129.86,829.8,0 46 55 9 76 42 89 47 69 38 44 59 26 10 96 83 11 14 95 57 0,
PFG_MOEA_D,9,5,129.86,829.8,0 73 15 30 64 78 74 63 88 85 98 71 0,
PFG_MOEA_D,9,6,129.86,829.8,0 20 17 31 35 40 16 18 19 91 21 33 37 68 39 56 84 23 22 1 34 99 2 25 43 0,
PFG_MOEA_D,10,1,99.33,947.48,0 55 9 13 15 30 64 78 74 63 88 85 98 71 31 17 20 0,
PFG_MOEA_D,10,2,99.33,947.48,0 35 40 16 18 19 91 33 37 68 39 56 84 23 22 21 1 34 99 2 43 25 50 0,2 21 56 91
PFG_MOEA_D,10,3,99.33,947.48,0 92 62 48 77 58 82 86 67 72 70 54 36 3 94 66 53 80 0,80 92
PFG_MOEA_D,10,4,99.33,947.48,0 4 24 45 51 49 32 79 90 65 6 87 52 29 5 60 61 97 0,
PFG_MOEA_D,10,5,99.33,947.48,0 8 93 100 76 42 81 7 46 28 89 10 26 59 0,
PFG_MOEA_D,10,6,99.33,947.48,0 27 12 41 73 14 11 83 95 57 96 44 38 47 69 75 0,69 73
PFG_MOEA_D,11,1,101.51,880.29,0 20 17 35 40 16 18 19 91 21 33 37 68 39 56 84 23 22 1 34 0,33 91
PFG_MOEA_D,11,2,101.51,880.29,0 99 2 25 43 92 50 0,
PFG_MOEA_D,11,3,101.51,880.29,0 48 62 77 58 82 86 67 72 70 54 36 3 32 49 0,
PFG_MOEA_D,11,4,101.51,880.29,0 4 80 53 66 94 51 45 24 79 90 65 6 87 52 29 60 61 93 100 8 0,51 60 80
PFG_MOEA_D,11,5,101.51,880.29,0 5 97 55 9 76 81 75 7 46 28 42 89 10 26 59 47 69 38 44 96 0,42 44 47
PFG_MOEA_D,11,6,101.51,880.29,0 57 13 27 12 41 95 83 11 14 73 15 30 64 78 74 63 88 85 98 71 31 0,11 27 41 73
PFG_MOEA_D,12,1,93.36,1134.4,0 88 85 98 71 35 40 16 18 68 37 33 21 91 19 31 17 20 0,21
PFG_MOEA_D,12,2,93.36,1134.4,0 92 62 3 36 54 70 72 39 56 84 23 22 1 34 99 2 25 43 0,2 56 62
PFG_MOEA_D,12,3,93.36,1134.4,0 4 80 53 66 94 24 45 51 49 32 79 90 65 6 87 52 0,
PFG_MOEA_D,12,4,93.36,1134.4,0 5 29 60 61 97 75 55 9 76 100 93 8 81 7 46 28 42 89 10 0,60 97
PFG_MOEA_D,12,5,93.36,1134.4,0 13 27 12 41 73 14 11 83 96 44 38 69 47 59 26 57 95 0,11 44
PFG_MOEA_D,12,6,93.36,1134.4,0 50 48 67 86 82 58 77 15 30 64 78 74 63 0,
PFG_MOEA_D,13,1,111.45,852.98,0 50 92 62 58 77 48 0,62
PFG_MOEA_D,13,2,111.45,852.98,0 4 80 53 66 94 3 36 54 70 72 67 86 82 24 0,36
PFG_MOEA_D,13,3,111.45,852.98,0 45 51 49 32 79 90 65 6 87 52 29 5 60 61 97 93 0,90
PFG_MOEA_D,13,4,111.45,852.98,0 100 8 46 28 7 81 75 55 9 76 42 89 10 26 59 47 69 38 44 57 95 41 0,42 55
PFG_MOEA_D,13,5,111.45,852.98,0 12 27 13 96 83 11 14 73 15 30 64 78 74 63 88 85 98 71 35 0,73 85
PFG_MOEA_D,13,6,111.45,852.98,0 20 17 31 40 16 18 19 91 33 37 68 39 56 84 23 22 21 1 34 99 2 43 25 0,2 17 21 91
PFG_MOEA_D,14,1,113.71,831.98,0 20 17 31 71 98 85 88 63 74 78 64 30 15 35 40 16 0,17
PFG_MOEA_D,14,2,113.71,831.98,0 19 18 91 33 37 68 39 56 84 23 22 21 1 34 99 2 43 25 50 92 0,2 21 56
PFG_MOEA_D,14,3,113.71,831.98,0 62 48 77 58 82 86 67 72 70 54 36 3 32 94 66 53 80 4 24 0,
PFG_MOEA_D,14,4,113.71,831.98,0 45 51 49 79 90 65 6 87 52 60 61 29 5 97 75 55 9 76 100 93 8 7 46 28 0,5 6 45
PFG_MOEA_D,14,5,113.71,831.98,0 13 27 12 41 14 11 83 96 10 26 59 44 38 69 47 89 42 81 57 95 0,41 69
PFG_MOEA_D,14,6,113.71,831.98,0 73 0,73
