algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
REGULAR_GRID_MOEA_D,1,1,129.29,1031.58,0 7 75 55 9 76 42 28 14 98 85 88 63 74 78 64 30 15 73 12 27 13 0,78 98
REGULAR_GRID_MOEA_D,1,2,129.29,1031.58,0 11 83 96 26 59 44 38 47 0,44
REGULAR_GRID_MOEA_D,1,3,129.29,1031.58,0 10 89 69 46 81 8 57 95 41 20 17 31 35 71 40 16 18 19 91 22 23 0,69 71 95
REGULAR_GRID_MOEA_D,1,4,129.29,1031.58,0 2 99 84 56 39 68 37 33 21 34 25 0,
REGULAR_GRID_MOEA_D,1,5,129.29,1031.58,0 4 80 53 45 51 49 86 3 62 48 92 1 43 50 77 58 66 94 0,80 94
REGULAR_GRID_MOEA_D,1,6,129.29,1031.58,0 24 79 32 82 67 72 70 54 36 90 65 6 87 52 5 29 60 61 97 93 100 0,5 60 70 82
REGULAR_GRID_MOEA_D,2,1,134.07,953.73,0 57 14 11 83 96 26 89 10 59 44 38 47 69 28 46 81 8 0,
REGULAR_GRID_MOEA_D,2,2,134.07,953.73,0 13 27 12 41 95 73 98 85 88 63 74 78 64 30 15 71 35 40 0,
REGULAR_GRID_MOEA_D,2,3,134.07,953.73,0 31 17 19 18 16 56 39 68 37 33 91 20 0,16
REGULAR_GRID_MOEA_D,2,4,134.07,953.73,0 50 25 2 99 34 1 21 84 23 22 43 92 62 48 58 77 0,
REGULAR_GRID_MOEA_D,2,5,134.07,953.73,0 4 80 53 66 94 49 51 45 24 79 32 3 86 82 67 72 70 54 36 90 65 6 87 0,36 51 94
REGULAR_GRID_MOEA_D,2,6,134.07,953.73,0 5 29 52 60 61 97 93 100 75 55 9 76 42 7 0,9 60
REGULAR_GRID_MOEA_D,3,1,131.1,995.88,0 10 89 46 8 57 73 14 98 85 88 63 74 78 64 30 15 31 17 20 0,98
REGULAR_GRID_MOEA_D,3,2,131.1,995.88,0 95 41 71 35 40 16 18 19 91 33 37 68 39 56 84 23 22 21 1 0,84
REGULAR_GRID_MOEA_D,3,3,131.1,995.88,0 2 99 34 43 25 50 92 62 3 58 77 48 0,2 48
REGULAR_GRID_MOEA_D,3,4,131.1,995.88,0 4 90 65 6 87 52 32 36 54 70 72 67 86 82 53 80 0,53 90
REGULAR_GRID_MOEA_D,3,5,131.1,995.88,0 66 94 49 51 45 24 79 5 29 60 61 97 93 100 81 0,5 94
REGULAR_GRID_MOEA_D,3,6,131.1,995.88,0 7 75 55 9 76 42 28 69 47 38 44 59 26 96 83 11 12 27 13 0,26 44
REGULAR_GRID_MOEA_D,4,1,190.38,792.23,0 2 99 34 25 0,
REGULAR_GRID_MOEA_D,4,2,190.38,792.23,0 50 43 1 92 62 48 77 58 3 86 82 67 72 70 54 36 32 66 94 24 97 75 55 9 81 100 7 46 8 57 0,94
REGULAR_GRID_MOEA_D,4,3,190.38,792.23,0 4 80 53 45 51 49 79 90 65 6 87 52 29 5 60 61 93 76 42 28 10 89 69 47 38 44 59 26 96 14 95 0,26
REGULAR_GRID_MOEA_D,4,4,190.38,792.23,0 98 0,98
REGULAR_GRID_MOEA_D,4,5,190.38,792.23,0 85 0,85
REGULAR_GRID_MOEA_D,4,6,190.38,792.23,0 13 27 12 73 41 11 83 88 63 74 78 64 30 15 71 35 20 17 31 40 16 18 19 91 33 37 68 39 56 84 23 22 21 0,16 20
REGULAR_GRID_MOEA_D,5,1,144.79,857.19,0 27 95 73 83 11 14 98 85 88 63 74 78 64 30 15 71 35 40 16 0,16 71
REGULAR_GRID_MOEA_D,5,2,144.79,857.19,0 20 17 31 0,20
REGULAR_GRID_MOEA_D,5,3,144.79,857.19,0 19 18 91 33 37 68 39 56 84 23 22 21 1 34 0,
REGULAR_GRID_MOEA_D,5,4,144.79,857.19,0 50 25 2 99 43 92 62 48 77 58 3 86 82 67 72 70 54 36 32 49 66 53 80 4 0,62 82
REGULAR_GRID_MOEA_D,5,5,144.79,857.19,0 24 45 94 51 79 90 65 6 87 52 29 5 60 61 97 93 100 81 76 28 46 7 8 0,5 51
REGULAR_GRID_MOEA_D,5,6,144.79,857.19,0 75 55 9 42 10 89 69 47 38 44 59 26 96 57 41 12 13 0,26 69
REGULAR_GRID_MOEA_D,6,1,128.02,1178.61,0 13 27 12 11 83 96 98 85 88 63 74 78 64 0,98
REGULAR_GRID_MOEA_D,6,2,128.02,1178.61,0 20 17 31 19 91 33 37 68 39 56 18 16 40 35 71 15 30 10 0,20
REGULAR_GRID_MOEA_D,6,3,128.02,1178.61,0 89 46 8 57 95 41 73 14 22 23 84 21 1 34 99 2 0,2
REGULAR_GRID_MOEA_D,6,4,128.02,1178.61,0 4 90 65 6 87 52 32 54 36 3 58 77 48 62 92 43 25 50 0,62
REGULAR_GRID_MOEA_D,6,5,128.02,1178.61,0 80 53 66 94 82 86 67 72 70 29 5 79 49 51 45 24 0,51 70
REGULAR_GRID_MOEA_D,6,6,128.02,1178.61,0 7 81 100 93 97 61 60 75 55 9 76 42 28 69 47 38 44 59 26 0,26 44
REGULAR_GRID_MOEA_D,7,1,135.74,911.89,0 27 95 73 83 11 14 98 85 88 63 74 78 64 30 15 71 35 40 0,98
REGULAR_GRID_MOEA_D,7,2,135.74,911.89,0 20 17 31 19 16 18 91 33 37 68 39 56 84 23 22 21 1 34 25 50 0,20
REGULAR_GRID_MOEA_D,7,3,135.74,911.89,0 2 99 43 92 62 48 77 58 3 86 82 67 72 70 54 36 32 0,2
REGULAR_GRID_MOEA_D,7,4,135.74,911.89,0 49 66 53 80 0,
REGULAR_GRID_MOEA_D,7,5,135.74,911.89,0 4 24 45 94 51 79 90 65 6 87 52 29 8 46 89 10 96 57 41 12 13 0,29 94 96
REGULAR_GRID_MOEA_D,7,6,135.74,911.89,0 7 81 100 93 97 5 61 60 75 55 9 76 42 28 69 47 38 44 59 26 0,5 9 26 69
