algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D_NO_LS,1,1,144.0,2935.08,0 9 72 90 76 93 8 100 27 33 94 89 41 15 78 26 88 30 57 97 49 32 6 0,26 27 49 94
PFG_MOEA_D_NO_LS,1,2,144.0,2935.08,0 60 65 52 0,52
PFG_MOEA_D_NO_LS,1,3,144.0,2935.08,0 75 96 83 13 12 31 4 44 46 71 91 34 81 7 28 59 47 69 58 50 0,96
PFG_MOEA_D_NO_LS,1,4,144.0,2935.08,0 25 2 10 87 29 55 38 42 54 36 3 70 23 53 66 80 51 92 21 0,
PFG_MOEA_D_NO_LS,1,5,144.0,2935.08,0 19 16 17 18 86 61 67 82 79 5 24 45 56 20 37 11 73 14 85 74 40 0,37 45 85
PFG_MOEA_D_NO_LS,1,6,144.0,2935.08,0 98 95 63 64 35 43 99 1 48 22 68 39 84 62 77 0,1
PFG_MOEA_D_NO_LS,2,1,144.05,2783.85,0 72 90 76 9 93 8 100 27 33 94 89 41 15 78 26 88 0,
PFG_MOEA_D_NO_LS,2,2,144.05,2783.85,0 30 57 97 49 32 6 60 65 44 46 52 75 96 83 13 12 31 4 0,12 49
PFG_MOEA_D_NO_LS,2,3,144.05,2783.85,0 54 36 3 70 23 53 66 80 51 92 21 19 16 17 18 86 61 0,
PFG_MOEA_D_NO_LS,2,4,144.05,2783.85,0 67 82 79 5 24 45 56 20 37 11 73 14 85 0,56 73 79 85
PFG_MOEA_D_NO_LS,2,5,144.05,2783.85,0 98 95 63 64 71 91 34 81 7 28 59 47 69 58 50 25 2 0,95
PFG_MOEA_D_NO_LS,2,6,144.05,2783.85,0 10 87 29 55 38 42 74 40 35 43 99 1 48 22 68 39 84 62 77 0,10 22 38
PFG_MOEA_D_NO_LS,3,1,180.69,2129.44,0 81 7 28 59 47 69 46 50 25 0,
PFG_MOEA_D_NO_LS,3,2,180.69,2129.44,0 2 10 87 29 55 38 42 54 36 3 70 23 53 66 80 51 92 21 0,10
PFG_MOEA_D_NO_LS,3,3,180.69,2129.44,0 19 16 17 0,
PFG_MOEA_D_NO_LS,3,4,180.69,2129.44,0 18 86 61 67 82 72 90 76 9 93 8 100 27 79 5 24 45 56 20 0,5 18 27 56 61
PFG_MOEA_D_NO_LS,3,5,180.69,2129.44,0 37 11 73 14 85 74 40 98 95 63 64 35 43 99 1 48 22 68 39 84 62 77 33 94 89 41 15 78 26 88 0,1 26 37 40 64 73 94 95
PFG_MOEA_D_NO_LS,3,6,180.69,2129.44,0 30 57 97 49 32 6 60 65 44 58 52 75 96 83 13 12 31 4 71 91 34 0,4 44 49 52
PFG_MOEA_D_NO_LS,4,1,197.14,2116.6,0 94 89 41 15 78 88 30 57 97 49 32 6 60 65 44 0,44 49 94
PFG_MOEA_D_NO_LS,4,2,197.14,2116.6,0 58 52 75 96 83 13 12 0,12 96
