algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D,1,1,98.33,972.63,0 4 80 53 66 94 49 79 5 29 24 0,79
PFG_MOEA_D,1,2,98.33,972.63,0 45 51 36 54 70 72 67 86 82 58 77 48 62 92 43 34 99 2 25 50 0,45
PFG_MOEA_D,1,3,98.33,972.63,0 20 17 31 35 40 16 18 19 91 21 22 33 37 68 39 56 84 23 1 0,37
PFG_MOEA_D,1,4,98.33,972.63,0 3 32 71 15 30 64 78 74 63 88 85 98 0,
PFG_MOEA_D,1,5,98.33,972.63,0 13 27 12 41 57 95 73 14 11 83 96 26 59 44 38 47 69 10 89 28 0,69 95
PFG_MOEA_D,1,6,98.33,972.63,0 46 7 8 100 81 76 42 9 55 75 93 97 61 60 52 87 6 65 90 0,97
PFG_MOEA_D,2,1,222.73,806.72,0 20 19 18 17 31 40 35 71 15 30 64 78 74 63 88 85 98 14 73 11 83 96 44 38 69 47 59 26 10 89 46 7 28 76 81 100 8 57 95 41 12 27 13 0,17
PFG_MOEA_D,2,2,222.73,806.72,0 42 9 55 75 93 97 61 60 52 87 6 65 90 29 5 79 51 45 24 4 0,
PFG_MOEA_D,2,3,222.73,806.72,0 80 53 66 94 49 32 3 36 54 70 72 67 86 82 23 84 56 39 68 37 33 22 21 1 92 48 0,23 94
PFG_MOEA_D,2,4,222.73,806.72,0 50 77 58 62 43 34 0,
PFG_MOEA_D,2,5,222.73,806.72,0 25 2 99 91 0,
PFG_MOEA_D,2,6,222.73,806.72,0 16 0,16
PFG_MOEA_D,3,1,93.04,999.97,0 38 69 47 59 26 10 89 46 7 28 76 81 100 8 57 95 41 12 27 0,38 95
PFG_MOEA_D,3,2,93.04,999.97,0 13 42 9 55 75 93 97 61 60 52 87 6 65 90 29 5 79 51 0,93
PFG_MOEA_D,3,3,93.04,999.97,0 4 24 45 32 49 94 66 53 80 77 58 48 50 0,45
PFG_MOEA_D,3,4,93.04,999.97,0 99 2 25 62 3 36 54 70 72 67 86 82 23 84 56 39 68 16 91 0,23 39
PFG_MOEA_D,3,5,93.04,999.97,0 92 43 34 1 22 33 37 21 20 19 18 17 31 40 35 71 0,31
PFG_MOEA_D,3,6,93.04,999.97,0 15 30 64 78 74 63 88 85 98 14 73 11 83 96 44 0,88
PFG_MOEA_D,4,1,149.86,815.08,0 91 20 17 31 19 18 16 40 35 71 15 98 85 88 63 74 78 64 30 73 14 11 83 41 12 27 13 0,88
PFG_MOEA_D,4,2,149.86,815.08,0 95 57 96 44 38 69 47 59 26 10 89 28 0,
PFG_MOEA_D,4,3,149.86,815.08,0 46 7 81 42 76 9 55 75 97 93 100 0,
PFG_MOEA_D,4,4,149.86,815.08,0 8 61 60 52 87 6 65 90 29 5 79 51 45 24 0,51
PFG_MOEA_D,4,5,149.86,815.08,0 4 80 53 66 0,
PFG_MOEA_D,4,6,149.86,815.08,0 94 49 32 3 36 54 70 72 67 86 82 23 84 56 39 68 37 33 22 21 1 34 99 2 25 43 92 62 58 77 48 50 0,3 23 37
PFG_MOEA_D,5,1,124.71,823.55,0 95 57 96 0,
PFG_MOEA_D,5,2,124.71,823.55,0 26 59 44 38 47 69 10 89 28 46 7 42 76 9 55 75 81 8 0,
PFG_MOEA_D,5,3,124.71,823.55,0 100 93 97 61 60 52 87 6 65 90 29 5 79 24 45 53 80 4 0,61 93
PFG_MOEA_D,5,4,124.71,823.55,0 66 94 49 32 3 36 54 70 72 67 86 82 58 77 50 0,
PFG_MOEA_D,5,5,124.71,823.55,0 48 62 92 43 25 2 99 34 1 23 84 56 39 68 37 33 22 21 91 0,22 23 37
PFG_MOEA_D,5,6,124.71,823.55,0 51 20 19 18 16 40 31 17 35 71 15 30 64 78 74 63 88 85 98 14 11 83 41 73 12 27 13 0,16 17 51
PFG_MOEA_D,6,1,99.76,903.5,0 90 65 6 87 52 60 61 29 5 0,
PFG_MOEA_D,6,2,99.76,903.5,0 79 86 82 23 84 56 39 68 37 33 22 21 1 34 43 92 58 77 48 62 0,23 79
PFG_MOEA_D,6,3,99.76,903.5,0 99 2 25 50 3 36 54 70 72 32 49 94 66 53 51 45 24 4 80 0,3
PFG_MOEA_D,6,4,99.76,903.5,0 67 91 19 18 16 40 20 17 31 35 71 15 30 64 78 74 63 88 85 98 14 11 0,40 67 88
PFG_MOEA_D,6,5,99.76,903.5,0 13 12 27 57 95 41 73 83 96 44 38 69 47 59 26 10 89 0,
PFG_MOEA_D,6,6,99.76,903.5,0 28 46 7 42 76 9 81 75 55 97 93 100 8 0,93
PFG_MOEA_D,7,1,298.22,781.55,0 51 0,51
PFG_MOEA_D,7,2,298.22,781.55,0 4 80 53 66 94 49 32 3 36 54 70 72 67 86 82 58 77 50 92 62 48 43 25 2 99 34 1 21 22 23 84 56 39 68 37 33 91 20 19 18 16 40 31 17 35 71 15 30 64 78 74 63 88 85 98 14 11 73 0,16 22 31 32 88
PFG_MOEA_D,7,3,298.22,781.55,0 12 0,
PFG_MOEA_D,7,4,298.22,781.55,0 13 27 41 0,
PFG_MOEA_D,7,5,298.22,781.55,0 57 0,
PFG_MOEA_D,7,6,298.22,781.55,0 95 83 96 44 38 69 47 59 26 10 89 28 46 7 81 76 42 8 100 93 9 55 75 97 61 60 52 87 6 65 90 29 5 79 45 24 0,38 79 93 97
PFG_MOEA_D,8,1,124.76,819.25,0 20 91 19 18 16 40 31 17 35 71 15 30 64 78 74 63 88 85 98 14 11 73 12 27 13 0,35
PFG_MOEA_D,8,2,124.76,819.25,0 57 95 41 83 96 44 38 69 47 59 26 10 89 28 46 7 0,69
PFG_MOEA_D,8,3,124.76,819.25,0 8 42 76 9 55 75 81 100 93 97 61 60 52 87 6 65 90 29 5 79 32 49 94 66 53 0,79
PFG_MOEA_D,8,4,124.76,819.25,0 51 45 24 4 0,
PFG_MOEA_D,8,5,124.76,819.25,0 80 82 86 67 72 70 54 36 3 58 77 50 92 62 48 43 0,
PFG_MOEA_D,8,6,124.76,819.25,0 25 22 23 84 56 39 68 37 33 21 1 34 99 2 0,23
PFG_MOEA_D,9,1,105.98,852.94,0 57 96 26 10 89 59 44 38 47 69 28 76 42 7 46 0,69
PFG_MOEA_D,9,2,105.98,852.94,0 8 81 9 55 75 61 97 93 100 0,
PFG_MOEA_D,9,3,105.98,852.94,0 4 80 53 66 94 49 51 79 5 29 60 52 87 6 65 90 24 45 0,45 51 94
PFG_MOEA_D,9,4,105.98,852.94,0 32 3 36 54 70 72 67 86 82 58 77 50 48 62 92 43 25 0,3 67
PFG_MOEA_D,9,5,105.98,852.94,0 2 99 34 1 23 84 56 39 68 37 33 22 21 91 19 18 16 40 35 71 31 17 20 0,16 17 22 39 99
PFG_MOEA_D,9,6,105.98,852.94,0 13 27 12 41 73 15 30 64 78 74 63 88 85 98 14 11 83 95 0,88
PFG_MOEA_D,10,1,253.38,787.91,0 40 0,40
PFG_MOEA_D,10,2,253.38,787.91,0 17 31 35 71 15 30 64 78 74 63 88 85 98 14 11 83 41 73 12 27 13 57 96 26 10 89 59 44 38 47 69 28 46 7 42 76 9 55 75 81 8 100 93 97 61 60 52 87 6 65 0,17 38 61
PFG_MOEA_D,10,3,253.38,787.91,0 90 29 5 79 51 0,
PFG_MOEA_D,10,4,253.38,787.91,0 4 24 45 32 49 94 66 53 80 0,94
PFG_MOEA_D,10,5,253.38,787.91,0 50 0,
PFG_MOEA_D,10,6,253.38,787.91,0 95 20 19 18 16 91 21 22 33 37 68 39 56 84 23 82 86 67 72 70 54 36 3 58 77 48 62 92 43 1 34 99 2 25 0,16 39 95
PFG_MOEA_D,11,1,376.14,779.36,0 32 0,32
PFG_MOEA_D,11,2,376.14,779.36,0 50 92 58 77 3 36 54 70 72 67 86 82 62 48 43 25 2 99 34 1 23 84 56 39 68 37 33 22 21 91 20 19 18 16 40 31 17 35 71 15 98 85 88 63 74 78 64 30 73 14 11 83 41 12 27 13 95 57 96 44 38 69 47 59 26 10 89 28 46 0,26 40 99
PFG_MOEA_D,11,3,376.14,779.36,0 7 81 42 76 9 55 75 97 93 0,
PFG_MOEA_D,11,4,376.14,779.36,0 8 100 61 60 52 87 6 65 90 29 5 79 51 45 24 4 0,
PFG_MOEA_D,11,5,376.14,779.36,0 80 0,
PFG_MOEA_D,11,6,376.14,779.36,0 53 66 94 49 0,
PFG_MOEA_D,12,1,152.14,808.92,0 13 27 12 73 41 95 57 96 83 26 59 44 38 47 69 10 89 28 46 7 42 76 9 55 75 81 93 100 8 0,
PFG_MOEA_D,12,2,152.14,808.92,0 97 0,97
PFG_MOEA_D,12,3,152.14,808.92,0 4 80 53 45 24 79 5 29 61 60 52 87 6 65 90 66 0,61 79
PFG_MOEA_D,12,4,152.14,808.92,0 94 49 32 3 36 54 70 72 67 86 82 58 77 62 48 50 0,67
PFG_MOEA_D,12,5,152.14,808.92,0 51 92 43 25 2 99 34 1 23 84 56 39 68 37 33 22 21 91 20 19 18 16 40 35 31 17 0,22 23 37 39 40 51
PFG_MOEA_D,12,6,152.14,808.92,0 71 15 30 64 78 74 63 88 85 98 14 11 0,
PFG_MOEA_D,13,1,104.74,855.0,0 13 27 12 41 95 57 15 98 85 88 63 74 78 64 30 73 14 11 83 96 10 0,88 95
PFG_MOEA_D,13,2,104.74,855.0,0 26 59 44 38 69 47 89 28 42 7 46 0,
PFG_MOEA_D,13,3,104.74,855.0,0 8 100 81 76 9 55 75 93 97 61 60 52 87 6 65 90 29 5 79 0,97
PFG_MOEA_D,13,4,104.74,855.0,0 4 80 53 66 94 49 32 51 45 24 0,45 94
