algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
REGULAR_GRID_MOEA_D,1,1,182.43,915.99,0 2 43 25 50 92 62 48 77 58 3 36 32 49 94 45 51 24 0,58
REGULAR_GRID_MOEA_D,1,2,182.43,915.99,0 54 70 72 67 86 82 23 84 39 56 68 37 33 22 21 40 16 18 91 99 34 1 0,18 23 33 54
REGULAR_GRID_MOEA_D,1,3,182.43,915.99,0 20 19 17 31 35 71 15 30 64 78 74 63 88 85 98 14 0,19
REGULAR_GRID_MOEA_D,1,4,182.43,915.99,0 13 27 12 41 73 57 95 83 11 96 26 59 44 38 47 69 89 10 28 46 7 0,11 12 47 57
REGULAR_GRID_MOEA_D,1,5,182.43,915.99,0 8 42 76 81 75 55 93 97 61 60 5 29 52 87 6 65 90 79 0,
REGULAR_GRID_MOEA_D,1,6,182.43,915.99,0 100 9 66 53 80 4 0,
REGULAR_GRID_MOEA_D,2,1,190.43,892.79,0 50 77 58 48 62 92 1 43 25 2 99 34 91 20 19 18 16 40 71 35 31 17 0,18 58
REGULAR_GRID_MOEA_D,2,2,190.43,892.79,0 13 27 12 14 98 85 88 63 74 78 64 30 15 73 41 95 57 0,57 74
REGULAR_GRID_MOEA_D,2,3,190.43,892.79,0 83 11 96 26 59 44 38 47 69 89 10 28 46 81 100 8 7 0,11 38 89
REGULAR_GRID_MOEA_D,2,4,190.43,892.79,0 42 93 97 61 60 5 29 52 87 6 65 90 79 24 4 0,
REGULAR_GRID_MOEA_D,2,5,190.43,892.79,0 76 9 55 75 51 45 94 66 53 80 0,
REGULAR_GRID_MOEA_D,2,6,190.43,892.79,0 49 32 3 36 54 70 72 67 86 82 23 84 39 56 68 37 33 22 21 0,
REGULAR_GRID_MOEA_D,3,1,200.23,829.82,0 50 77 58 48 62 3 36 54 70 72 67 86 82 53 80 0,
REGULAR_GRID_MOEA_D,3,2,200.23,829.82,0 92 43 25 2 99 34 1 23 84 39 56 68 37 33 22 21 91 18 16 40 19 17 20 0,17 21
REGULAR_GRID_MOEA_D,3,3,200.23,829.82,0 31 35 71 15 30 64 78 74 63 88 85 98 14 73 41 12 0,31
REGULAR_GRID_MOEA_D,3,4,200.23,829.82,0 27 13 57 95 83 11 96 26 59 44 38 47 69 89 10 28 46 0,83
REGULAR_GRID_MOEA_D,3,5,200.23,829.82,0 8 7 42 76 9 55 75 81 100 93 97 61 60 5 29 52 87 6 65 90 79 32 49 51 0,8 52
REGULAR_GRID_MOEA_D,3,6,200.23,829.82,0 4 66 94 45 24 0,
REGULAR_GRID_MOEA_D,4,1,296.17,785.63,0 24 45 3 36 54 70 72 67 86 82 23 84 39 56 68 37 33 22 21 1 34 99 2 25 43 48 62 58 77 50 92 0,33
REGULAR_GRID_MOEA_D,4,2,296.17,785.63,0 20 17 31 35 71 40 16 18 19 91 0,
REGULAR_GRID_MOEA_D,4,3,296.17,785.63,0 15 30 64 78 74 63 88 85 98 14 73 0,
REGULAR_GRID_MOEA_D,4,4,296.17,785.63,0 13 27 12 41 57 95 83 11 96 26 59 44 38 47 69 89 10 28 46 8 7 42 76 9 55 75 81 100 93 97 61 60 5 29 52 87 6 65 90 79 32 49 51 4 0,8 38
REGULAR_GRID_MOEA_D,4,5,296.17,785.63,0 66 94 53 0,
REGULAR_GRID_MOEA_D,4,6,296.17,785.63,0 80 0,80
REGULAR_GRID_MOEA_D,5,1,186.02,905.39,0 81 42 76 9 55 75 93 97 61 60 5 29 52 87 6 65 90 79 49 94 0,
REGULAR_GRID_MOEA_D,5,2,186.02,905.39,0 4 80 53 66 3 32 51 45 24 0,
REGULAR_GRID_MOEA_D,5,3,186.02,905.39,0 36 54 70 72 67 86 82 23 84 39 56 68 37 33 22 0,23
REGULAR_GRID_MOEA_D,5,4,186.02,905.39,0 50 48 77 58 62 92 43 25 2 99 34 1 21 91 18 16 40 19 20 0,20
REGULAR_GRID_MOEA_D,5,5,186.02,905.39,0 17 31 35 71 15 30 64 78 74 63 88 85 98 14 73 41 12 27 13 0,12
