algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
MOEA_D,1,1,194.74,1153.35,0 22 33 37 21 91 18 19 20 12 27 0,33
MOEA_D,1,2,194.74,1153.35,0 5 81 76 42 28 46 89 10 26 59 69 47 38 44 96 83 11 14 16 77 0,5 47
MOEA_D,1,3,194.74,1153.35,0 65 6 87 52 60 61 97 93 100 75 55 9 7 8 57 73 95 13 25 0,
MOEA_D,1,4,194.74,1153.35,0 50 92 43 48 62 58 80 53 79 90 29 4 0,
MOEA_D,1,5,194.74,1153.35,0 66 32 49 94 45 51 24 41 15 30 64 78 74 63 88 85 98 71 35 40 0,98
MOEA_D,1,6,194.74,1153.35,0 31 17 68 39 56 84 23 82 86 67 72 70 54 36 3 2 1 34 99 0,67 68
MOEA_D,2,1,202.17,915.88,0 53 66 94 79 5 29 90 65 6 87 52 60 61 97 55 75 0,79
MOEA_D,2,2,202.17,915.88,0 8 100 93 9 76 81 42 7 46 28 89 0,
MOEA_D,2,3,202.17,915.88,0 99 57 96 26 59 44 38 47 69 10 83 41 12 27 13 0,13
MOEA_D,2,4,202.17,915.88,0 95 73 14 11 98 85 88 63 74 78 64 30 15 71 35 17 31 40 16 18 19 0,74
MOEA_D,2,5,202.17,915.88,0 20 91 21 33 37 68 39 56 84 23 22 1 34 43 92 50 25 2 0,
MOEA_D,2,6,202.17,915.88,0 48 62 58 77 82 86 67 72 70 54 36 3 32 49 51 45 24 4 80 0,67
MOEA_D,3,1,197.89,987.33,0 37 68 39 56 84 23 0,68
MOEA_D,3,2,197.89,987.33,0 77 58 62 82 86 67 72 70 54 36 3 94 45 51 24 53 66 80 4 0,36
MOEA_D,3,3,197.89,987.33,0 49 32 79 90 65 6 87 52 29 5 60 61 97 75 55 9 76 81 7 8 100 93 0,8 87
MOEA_D,3,4,197.89,987.33,0 46 28 42 89 10 69 47 38 44 59 26 98 14 11 83 96 57 41 12 27 13 0,10 41
MOEA_D,3,5,197.89,987.33,0 95 73 85 88 63 74 78 64 30 15 71 35 31 17 19 20 0,31
MOEA_D,3,6,197.89,987.33,0 40 16 18 91 33 22 21 1 34 43 92 48 50 25 2 99 0,91
MOEA_D,4,1,253.02,882.38,0 4 80 53 66 94 24 45 51 49 32 79 5 75 55 9 0,5 9
MOEA_D,4,2,253.02,882.38,0 8 100 93 76 42 46 28 10 89 69 47 38 44 59 26 96 83 11 14 73 41 12 27 13 95 57 0,10 83
MOEA_D,4,3,253.02,882.38,0 90 65 6 87 52 29 60 61 97 81 0,87
MOEA_D,4,4,253.02,882.38,0 7 0,
