algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D_NO_LS,1,1,188.14,2096.72,0 78 74 18 71 30 15 63 88 85 64 98 26 10 83 57 12 13 0,10 85
PFG_MOEA_D_NO_LS,1,2,188.14,2096.72,0 96 41 77 75 14 95 51 32 79 24 49 66 82 0,
PFG_MOEA_D_NO_LS,1,3,188.14,2096.72,0 7 94 87 5 61 89 8 42 81 93 29 65 45 97 0,
PFG_MOEA_D_NO_LS,1,4,188.14,2096.72,0 52 90 6 60 46 11 38 44 59 69 47 76 9 55 28 73 40 16 91 50 1 48 0,11 16 55 90
PFG_MOEA_D_NO_LS,1,5,188.14,2096.72,0 54 25 43 86 4 3 68 70 72 23 33 84 22 21 58 92 0,70 86
PFG_MOEA_D_NO_LS,1,6,188.14,2096.72,0 36 67 100 80 53 62 34 99 2 20 37 39 27 56 31 19 17 35 0,19 27
PFG_MOEA_D_NO_LS,2,1,202.95,1884.63,0 77 75 14 95 51 32 79 24 49 66 0,77
PFG_MOEA_D_NO_LS,2,2,202.95,1884.63,0 82 7 86 4 94 87 5 61 89 8 42 81 93 29 65 3 70 0,86 89
PFG_MOEA_D_NO_LS,2,3,202.95,1884.63,0 72 23 68 33 84 22 21 58 92 36 67 100 0,33
PFG_MOEA_D_NO_LS,2,4,202.95,1884.63,0 80 53 45 97 52 90 6 60 46 11 38 44 59 69 47 76 9 55 28 73 40 16 91 0,11 55
PFG_MOEA_D_NO_LS,2,5,202.95,1884.63,0 50 1 48 54 25 43 62 34 99 2 20 37 39 27 56 31 19 17 35 78 74 0,27 34
PFG_MOEA_D_NO_LS,2,6,202.95,1884.63,0 18 71 30 15 63 88 85 64 98 26 10 83 57 12 13 96 41 0,
PFG_MOEA_D_NO_LS,3,1,180.17,2432.96,0 94 87 5 61 89 8 42 81 29 65 3 68 70 72 23 33 84 22 21 58 92 0,33 70 81 89
PFG_MOEA_D_NO_LS,3,2,180.17,2432.96,0 36 67 73 80 53 45 97 52 90 6 60 46 11 38 44 59 0,11 80 90
PFG_MOEA_D_NO_LS,3,3,180.17,2432.96,0 69 47 76 9 55 28 86 100 40 16 91 50 1 48 0,16
PFG_MOEA_D_NO_LS,3,4,180.17,2432.96,0 54 25 43 62 34 99 39 63 88 85 64 98 26 10 83 57 12 13 0,34
PFG_MOEA_D_NO_LS,3,5,180.17,2432.96,0 96 41 77 2 20 37 27 56 31 19 17 35 0,
PFG_MOEA_D_NO_LS,3,6,180.17,2432.96,0 78 74 18 71 30 15 75 14 95 51 32 93 79 24 49 66 82 7 4 0,7 15 18 49
PFG_MOEA_D_NO_LS,4,1,247.67,1727.41,0 36 67 100 80 53 45 97 52 90 6 60 46 11 0,11 100
PFG_MOEA_D_NO_LS,4,2,247.67,1727.41,0 38 44 59 69 47 76 9 0,47
PFG_MOEA_D_NO_LS,4,3,247.67,1727.41,0 55 28 73 40 16 91 50 1 48 54 0,
PFG_MOEA_D_NO_LS,4,4,247.67,1727.41,0 25 43 62 34 99 2 20 37 39 27 56 31 19 17 35 78 74 18 71 30 15 63 88 85 64 98 26 10 83 57 12 13 96 41 0,18 20 27 85
PFG_MOEA_D_NO_LS,4,5,247.67,1727.41,0 51 32 79 86 4 94 87 5 61 89 8 42 81 93 29 65 77 75 14 95 24 49 0,49 77 81 89
PFG_MOEA_D_NO_LS,4,6,247.67,1727.41,0 66 82 7 3 70 72 23 68 33 84 22 21 58 92 0,7 70
PFG_MOEA_D_NO_LS,5,1,188.86,2040.1,0 13 96 41 1 48 54 25 77 75 14 66 51 32 79 24 0,77
PFG_MOEA_D_NO_LS,5,2,188.86,2040.1,0 49 95 82 7 86 4 94 87 5 61 89 8 42 0,86 89
PFG_MOEA_D_NO_LS,5,3,188.86,2040.1,0 81 93 29 65 3 70 72 23 68 33 84 22 21 58 92 36 67 100 80 0,33
PFG_MOEA_D_NO_LS,5,4,188.86,2040.1,0 53 45 97 52 90 6 60 46 11 38 44 59 69 47 76 0,11
PFG_MOEA_D_NO_LS,5,5,188.86,2040.1,0 9 55 28 73 40 16 91 50 43 62 34 99 2 20 37 39 27 56 0,27 28 34
PFG_MOEA_D_NO_LS,5,6,188.86,2040.1,0 31 19 17 35 78 74 18 71 30 15 63 88 85 64 98 26 10 83 57 12 0,15 17
PFG_MOEA_D_NO_LS,6,1,212.69,1815.41,0 96 41 77 7 73 40 16 91 50 1 48 54 25 43 62 0,77
PFG_MOEA_D_NO_LS,6,2,212.69,1815.41,0 34 99 2 86 4 94 87 5 61 89 8 42 81 93 29 65 3 70 72 23 68 33 84 22 58 0,33 70 86 89
PFG_MOEA_D_NO_LS,6,3,212.69,1815.41,0 92 100 80 53 45 97 52 90 6 60 46 11 38 44 59 69 47 76 9 55 28 0,28 53
PFG_MOEA_D_NO_LS,6,4,212.69,1815.41,0 20 37 39 27 56 31 19 17 35 78 74 18 71 30 15 63 88 85 64 98 26 10 83 75 14 95 0,10 18 19 27 85
PFG_MOEA_D_NO_LS,6,5,212.69,1815.41,0 51 32 79 24 49 66 82 21 36 67 57 0,
PFG_MOEA_D_NO_LS,6,6,212.69,1815.41,0 12 13 0,
PFG_MOEA_D_NO_LS,7,1,192.48,1907.67,0 6 60 46 11 38 44 59 69 47 76 9 55 28 75 14 95 51 32 79 24 0,47 55
PFG_MOEA_D_NO_LS,7,2,192.48,1907.67,0 49 66 82 21 36 67 34 99 2 20 37 39 27 56 31 19 17 35 78 74 18 0,20 27
PFG_MOEA_D_NO_LS,7,3,192.48,1907.67,0 71 30 15 63 88 85 64 98 26 10 83 57 12 13 96 41 0,
PFG_MOEA_D_NO_LS,7,4,192.48,1907.67,0 77 7 73 40 16 91 50 1 48 54 25 43 62 86 4 0,
PFG_MOEA_D_NO_LS,7,5,192.48,1907.67,0 94 87 5 61 89 8 42 81 93 29 65 3 70 72 23 68 33 84 22 58 92 0,70 81 87 89
PFG_MOEA_D_NO_LS,7,6,192.48,1907.67,0 100 80 53 45 97 52 90 0,80
PFG_MOEA_D_NO_LS,8,1,203.67,1849.07,0 65 3 70 72 100 80 53 45 97 52 90 6 60 46 11 38 44 59 69 47 76 9 55 28 0,11 100
PFG_MOEA_D_NO_LS,8,2,203.67,1849.07,0 20 37 39 27 56 31 19 17 35 78 74 18 71 30 15 63 88 85 64 98 26 10 83 57 12 13 0,10 18 19 27 85
PFG_MOEA_D_NO_LS,8,3,203.67,1849.07,0 96 41 77 75 14 95 51 32 79 24 49 66 82 7 23 68 33 84 22 21 58 92 50 1 0,7 49
PFG_MOEA_D_NO_LS,8,4,203.67,1849.07,0 48 54 36 67 25 43 62 86 4 73 40 16 91 34 99 2 0,16
PFG_MOEA_D_NO_LS,8,5,203.67,1849.07,0 94 87 5 0,
PFG_MOEA_D_NO_LS,8,6,203.67,1849.07,0 61 89 8 42 81 93 29 0,89
PFG_MOEA_D_NO_LS,9,1,185.21,2105.24,0 100 80 53 45 97 52 90 6 60 46 11 38 44 59 69 47 76 9 0,53 100
PFG_MOEA_D_NO_LS,9,2,185.21,2105.24,0 55 3 70 72 28 73 40 16 91 34 99 2 20 37 39 27 56 31 19 17 35 78 0,16 19 20 27 28 34 55
PFG_MOEA_D_NO_LS,9,3,185.21,2105.24,0 74 18 71 30 15 63 88 85 64 98 26 10 83 57 12 13 96 41 77 0,10 15
PFG_MOEA_D_NO_LS,9,4,185.21,2105.24,0 75 14 95 51 32 79 24 0,
PFG_MOEA_D_NO_LS,9,5,185.21,2105.24,0 49 66 82 7 23 68 33 84 22 21 58 92 50 1 48 54 0,49
PFG_MOEA_D_NO_LS,9,6,185.21,2105.24,0 36 67 25 43 62 86 4 94 87 5 61 89 8 42 81 93 29 65 0,
PFG_MOEA_D_NO_LS,10,1,182.61,2218.39,0 96 41 77 7 73 40 16 91 50 1 48 54 25 43 62 86 4 0,86
PFG_MOEA_D_NO_LS,10,2,182.61,2218.39,0 94 87 5 61 89 8 42 81 93 29 65 3 70 72 23 68 0,
PFG_MOEA_D_NO_LS,10,3,182.61,2218.39,0 33 84 22 58 92 67 100 80 53 45 97 52 90 6 60 46 11 38 0,90 100
PFG_MOEA_D_NO_LS,10,4,182.61,2218.39,0 44 59 69 47 76 9 55 28 75 14 95 51 32 79 24 49 0,49 55
PFG_MOEA_D_NO_LS,10,5,182.61,2218.39,0 66 82 21 36 34 99 2 20 37 39 27 56 31 19 17 35 0,19
PFG_MOEA_D_NO_LS,10,6,182.61,2218.39,0 78 74 18 71 30 15 63 88 85 64 98 26 10 83 57 12 13 0,10
PFG_MOEA_D_NO_LS,11,1,189.07,2035.76,0 41 51 32 79 86 4 94 87 5 61 89 8 42 81 93 29 65 77 75 0,87 89
PFG_MOEA_D_NO_LS,11,2,189.07,2035.76,0 14 95 24 49 66 82 100 80 53 45 0,
PFG_MOEA_D_NO_LS,11,3,189.07,2035.76,0 97 52 90 6 60 46 11 38 44 59 69 47 76 9 55 3 70 72 0,90
PFG_MOEA_D_NO_LS,11,4,189.07,2035.76,0 28 73 40 16 91 34 99 2 20 37 39 27 56 31 19 17 35 78 0,16 20 27
PFG_MOEA_D_NO_LS,11,5,189.07,2035.76,0 74 18 71 30 15 63 88 85 64 98 26 10 83 57 12 13 96 7 0,10
PFG_MOEA_D_NO_LS,11,6,189.07,2035.76,0 23 68 33 84 22 21 58 92 50 1 48 54 36 67 25 43 62 0,
PFG_MOEA_D_NO_LS,12,1,233.1,1746.11,0 28 0,28
PFG_MOEA_D_NO_LS,12,2,233.1,1746.11,0 73 40 16 91 50 1 34 99 2 20 37 39 27 56 0,20 27
