algorithm,solution_id,truck_id,makespan,carbon,truck_route,drone_customers
PFG_MOEA_D,1,1,195.6,1237.3,0 8 95 13 27 12 41 98 71 35 40 16 18 31 17 20 19 91 21 0,13
PFG_MOEA_D,1,2,195.6,1237.3,0 33 37 68 39 56 84 23 22 1 43 89 10 38 0,33
PFG_MOEA_D,1,3,195.6,1237.3,0 69 47 44 59 26 96 83 11 14 85 88 63 74 78 64 30 15 0,96
PFG_MOEA_D,1,4,195.6,1237.3,0 73 57 34 99 2 25 50 92 58 77 82 86 67 72 62 48 0,25
PFG_MOEA_D,1,5,195.6,1237.3,0 4 80 53 66 94 32 70 54 36 3 49 51 45 24 79 65 7 46 28 0,4 24
PFG_MOEA_D,1,6,195.6,1237.3,0 42 76 81 9 55 75 97 61 5 29 90 6 87 52 60 93 100 0,
PFG_MOEA_D,2,1,294.18,754.27,0 25 0,25
PFG_MOEA_D,2,2,294.18,754.27,0 50 92 62 48 0,
PFG_MOEA_D,2,3,294.18,754.27,0 77 58 82 86 67 72 70 54 36 3 32 49 94 66 53 45 80 4 0,77 86 94
PFG_MOEA_D,2,4,294.18,754.27,0 51 24 0,
PFG_MOEA_D,2,5,294.18,754.27,0 79 90 65 6 87 52 60 29 5 61 97 75 93 100 8 7 42 76 55 9 81 46 28 69 47 38 44 59 26 10 89 96 57 73 41 12 27 13 0,9 13 100
PFG_MOEA_D,2,6,294.18,754.27,0 95 83 11 14 98 85 88 63 74 78 64 30 15 71 35 40 16 18 19 31 17 20 91 21 33 37 68 39 56 84 23 22 1 34 99 2 43 0,22 31 43 95
PFG_MOEA_D,3,1,220.05,821.53,0 99 34 1 43 25 50 92 82 86 67 72 70 54 36 3 66 53 80 4 0,43 66
PFG_MOEA_D,3,2,220.05,821.53,0 32 0,32
PFG_MOEA_D,3,3,220.05,821.53,0 45 94 49 51 24 79 90 65 6 87 52 60 29 5 61 97 75 93 100 8 7 28 0,8 28
PFG_MOEA_D,3,4,220.05,821.53,0 10 26 59 44 38 47 69 89 46 81 9 55 76 42 96 57 13 27 0,46
PFG_MOEA_D,3,5,220.05,821.53,0 12 41 73 95 83 11 14 98 85 88 63 74 78 64 30 15 71 35 40 17 20 0,98
PFG_MOEA_D,3,6,220.05,821.53,0 91 19 31 16 18 21 33 37 68 39 56 84 23 22 62 48 58 77 2 0,91
