solution_id,algorithm,makespan,carbon,truck_id,truck_route,drone_customers
1,MOEAD,309.95,773.22,1,"[0, 57, 96, 11, 14, 95, 13, 27, 12, 41, 73, 98, 85, 88, 63, 74, 78, 64, 30, 15, 71, 35, 31, 17, 20, 19, 40, 16, 18, 91, 21, 33, 37, 68, 39, 56, 84, 23, 22, 1, 34, 99, 2, 25, 0]","[19, 33, 95, 98]"
1,MOEAD,309.95,773.22,2,"[0, 43, 0]",[43]
1,MOEAD,309.95,773.22,3,"[0, 50, 92, 62, 48, 0]",[]
1,MOEAD,309.95,773.22,4,"[0, 77, 58, 82, 86, 67, 72, 70, 54, 36, 3, 32, 79, 51, 53, 4, 0]",[79]
1,MOEAD,309.95,773.22,5,"[0, 80, 66, 94, 49, 45, 24, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 75, 81, 100, 93, 8, 0]",[8]
1,MOEAD,309.95,773.22,6,"[0, 46, 7, 42, 76, 9, 55, 28, 69, 47, 38, 44, 59, 26, 10, 89, 83, 0]","[76, 83]"
2,MOEAD,229.61,825.65,1,"[0, 13, 27, 12, 73, 41, 95, 57, 81, 9, 76, 42, 7, 46, 28, 0]","[13, 28, 42]"
2,MOEAD,229.61,825.65,2,"[0, 10, 89, 69, 47, 38, 44, 59, 26, 96, 83, 11, 14, 98, 85, 88, 63, 74, 78, 64, 30, 15, 71, 0]",[]
2,MOEAD,229.61,825.65,3,"[0, 35, 40, 16, 31, 17, 19, 18, 91, 20, 33, 37, 68, 39, 56, 84, 23, 22, 21, 34, 99, 2, 92, 62, 0]",[35]
2,MOEAD,229.61,825.65,4,"[0, 4, 80, 53, 66, 45, 51, 94, 49, 32, 3, 36, 54, 70, 72, 67, 86, 82, 58, 77, 48, 1, 43, 25, 50, 0]","[25, 77]"
2,MOEAD,229.61,825.65,5,"[0, 24, 0]",[24]
2,MOEAD,229.61,825.65,6,"[0, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 55, 75, 93, 100, 8, 0]","[55, 93]"
3,MOEAD,292.57,787.89,1,"[0, 4, 80, 53, 66, 45, 24, 51, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 75, 55, 9, 76, 42, 7, 8, 0]","[4, 24, 42]"
3,MOEAD,292.57,787.89,2,"[0, 93, 0]",[93]
3,MOEAD,292.57,787.89,3,"[0, 100, 81, 46, 28, 89, 10, 26, 59, 69, 47, 38, 44, 96, 83, 0]",[96]
3,MOEAD,292.57,787.89,4,"[0, 13, 27, 12, 57, 95, 41, 73, 14, 11, 98, 85, 88, 63, 74, 78, 64, 30, 15, 71, 35, 40, 31, 17, 20, 19, 18, 16, 91, 21, 33, 37, 68, 39, 56, 84, 23, 22, 0]","[95, 98]"
3,MOEAD,292.57,787.89,5,"[0, 2, 99, 34, 1, 92, 43, 25, 50, 77, 48, 62, 58, 82, 86, 67, 72, 70, 54, 36, 3, 32, 49, 0]","[43, 58]"
3,MOEAD,292.57,787.89,6,"[0, 94, 0]",[]
4,MOEAD,478.65,731.13,1,"[0, 4, 0]",[]
4,MOEAD,478.65,731.13,2,"[0, 80, 0]",[]
4,MOEAD,478.65,731.13,3,"[0, 53, 66, 94, 49, 32, 51, 45, 0]","[32, 66]"
4,MOEAD,478.65,731.13,4,"[0, 24, 79, 90, 65, 6, 87, 52, 60, 61, 5, 29, 12, 27, 0]","[60, 79]"
4,MOEAD,478.65,731.13,5,"[0, 13, 0]",[13]
4,MOEAD,478.65,731.13,6,"[0, 57, 95, 41, 73, 14, 11, 83, 96, 28, 46, 7, 8, 100, 93, 97, 55, 75, 81, 9, 76, 42, 89, 47, 69, 38, 44, 59, 26, 10, 98, 85, 88, 63, 74, 78, 64, 30, 15, 71, 35, 40, 31, 17, 20, 91, 19, 18, 16, 21, 22, 33, 37, 68, 56, 39, 84, 23, 82, 86, 67, 72, 70, 54, 36, 3, 58, 77, 48, 62, 92, 43, 1, 34, 99, 2, 25, 50, 0]","[2, 35, 55, 58, 70, 91]"
5,MOEAD,209.13,907.55,1,"[0, 12, 27, 13, 95, 57, 41, 73, 14, 11, 83, 96, 44, 38, 47, 69, 59, 26, 10, 89, 28, 0]","[14, 28, 57]"
5,MOEAD,209.13,907.55,2,"[0, 98, 85, 88, 63, 74, 78, 64, 30, 15, 71, 35, 40, 16, 19, 17, 31, 0]","[19, 31]"
5,MOEAD,209.13,907.55,3,"[0, 20, 18, 91, 21, 22, 33, 37, 68, 39, 56, 84, 23, 82, 86, 67, 58, 77, 48, 0]",[]
5,MOEAD,209.13,907.55,4,"[0, 50, 25, 2, 99, 34, 1, 43, 92, 62, 3, 36, 54, 70, 72, 32, 49, 66, 80, 4, 0]","[66, 70]"
5,MOEAD,209.13,907.55,5,"[0, 53, 24, 45, 94, 51, 79, 90, 65, 6, 87, 52, 29, 5, 0]",[]
5,MOEAD,209.13,907.55,6,"[0, 46, 42, 76, 9, 55, 75, 60, 61, 97, 93, 100, 81, 7, 8, 0]",[55]
6,MOEAD,279.79,802.67,1,"[0, 22, 0]",[22]
6,MOEAD,279.79,802.67,2,"[0, 24, 45, 51, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 55, 75, 93, 100, 8, 7, 46, 0]",[24]
6,MOEAD,279.79,802.67,3,"[0, 81, 76, 9, 42, 28, 69, 47, 38, 44, 59, 26, 89, 10, 96, 83, 11, 57, 95, 13, 27, 12, 41, 73, 14, 98, 85, 63, 74, 78, 64, 88, 30, 15, 71, 35, 40, 16, 31, 17, 19, 0]","[9, 14, 28, 35, 57, 83, 89]"
6,MOEAD,279.79,802.67,4,"[0, 20, 18, 91, 99, 34, 43, 92, 62, 58, 48, 0]",[20]
6,MOEAD,279.79,802.67,5,"[0, 77, 50, 25, 2, 0]",[]
6,MOEAD,279.79,802.67,6,"[0, 4, 80, 53, 66, 94, 49, 32, 3, 36, 54, 70, 72, 67, 86, 82, 23, 84, 56, 39, 68, 37, 33, 21, 1, 0]","[70, 86]"
7,MOEAD,209.91,884.64,1,"[0, 50, 77, 58, 36, 54, 70, 72, 67, 86, 82, 22, 1, 34, 99, 2, 25, 43, 92, 62, 48, 0]","[22, 62]"
7,MOEAD,209.91,884.64,2,"[0, 3, 32, 49, 66, 53, 80, 4, 0]","[4, 32]"
7,MOEAD,209.91,884.64,3,"[0, 24, 45, 94, 51, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 93, 100, 8, 0]",[51]
7,MOEAD,209.91,884.64,4,"[0, 81, 75, 55, 9, 76, 42, 7, 46, 28, 89, 10, 26, 59, 69, 47, 38, 44, 98, 0]","[46, 98]"
7,MOEAD,209.91,884.64,5,"[0, 13, 27, 12, 41, 73, 14, 15, 30, 64, 78, 74, 63, 88, 85, 11, 83, 96, 57, 95, 0]",[96]
7,MOEAD,209.91,884.64,6,"[0, 20, 71, 35, 40, 31, 17, 19, 18, 16, 91, 21, 33, 37, 68, 39, 56, 84, 23, 0]","[20, 91]"
8,MOEAD,216.75,840.49,1,"[0, 22, 24, 45, 51, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 55, 75, 93, 100, 8, 7, 0]",[22]
8,MOEAD,216.75,840.49,2,"[0, 46, 81, 76, 9, 42, 28, 0]","[42, 76]"
8,MOEAD,216.75,840.49,3,"[0, 10, 89, 69, 47, 38, 44, 59, 26, 96, 83, 11, 73, 41, 12, 27, 13, 95, 57, 0]","[57, 89, 96]"
8,MOEAD,216.75,840.49,4,"[0, 14, 98, 85, 63, 74, 78, 64, 88, 30, 15, 71, 35, 40, 16, 31, 17, 20, 19, 18, 91, 0]","[14, 20]"
8,MOEAD,216.75,840.49,5,"[0, 50, 25, 2, 99, 34, 43, 92, 62, 48, 58, 77, 4, 0]",[]
8,MOEAD,216.75,840.49,6,"[0, 80, 53, 66, 94, 49, 32, 3, 36, 54, 70, 72, 67, 86, 82, 23, 84, 56, 39, 68, 37, 33, 21, 1, 0]","[70, 86, 94]"
9,MOEAD,307.52,787.88,1,"[0, 20, 19, 18, 17, 31, 35, 71, 40, 16, 91, 21, 33, 37, 68, 39, 56, 84, 23, 22, 1, 34, 99, 2, 25, 43, 50, 92, 62, 48, 77, 58, 82, 86, 67, 72, 70, 54, 36, 3, 32, 49, 0]","[22, 31, 33]"
9,MOEAD,307.52,787.88,2,"[0, 4, 80, 53, 66, 24, 0]",[66]
9,MOEAD,307.52,787.88,3,"[0, 45, 94, 51, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 93, 0]","[51, 60]"
9,MOEAD,307.52,787.88,4,"[0, 100, 0]",[100]
9,MOEAD,307.52,787.88,5,"[0, 8, 81, 75, 55, 9, 76, 42, 7, 46, 28, 89, 10, 26, 59, 69, 47, 38, 44, 83, 11, 85, 88, 63, 74, 78, 64, 30, 15, 98, 14, 73, 41, 12, 27, 13, 0]","[9, 28, 42, 83]"
9,MOEAD,307.52,787.88,6,"[0, 96, 57, 95, 0]",[]
10,MOEAD,221.02,831.96,1,"[0, 20, 17, 31, 19, 16, 18, 91, 21, 33, 37, 68, 39, 56, 84, 23, 22, 1, 0]","[22, 31]"
10,MOEAD,221.02,831.96,2,"[0, 50, 92, 62, 3, 36, 54, 70, 72, 67, 86, 82, 58, 77, 48, 43, 34, 99, 25, 2, 0]",[86]
10,MOEAD,221.02,831.96,3,"[0, 4, 80, 53, 66, 94, 49, 24, 0]","[4, 66]"
10,MOEAD,221.02,831.96,4,"[0, 45, 51, 32, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 93, 100, 81, 75, 55, 9, 76, 42, 7, 8, 0]","[55, 76, 93]"
10,MOEAD,221.02,831.96,5,"[0, 46, 28, 10, 89, 69, 47, 38, 44, 59, 26, 96, 83, 11, 14, 73, 95, 57, 27, 12, 13, 0]","[13, 89]"
10,MOEAD,221.02,831.96,6,"[0, 41, 15, 30, 64, 78, 74, 63, 88, 85, 98, 71, 35, 40, 0]",[98]
11,MOEAD,213.64,867.67,1,"[0, 17, 31, 40, 16, 18, 19, 91, 21, 33, 37, 68, 39, 56, 84, 23, 22, 1, 62, 92, 50, 0]","[19, 62]"
11,MOEAD,213.64,867.67,2,"[0, 2, 25, 99, 34, 43, 48, 77, 58, 82, 86, 67, 72, 70, 54, 36, 3, 80, 4, 0]","[4, 25]"
11,MOEAD,213.64,867.67,3,"[0, 53, 66, 94, 49, 32, 61, 60, 5, 29, 52, 87, 6, 65, 90, 79, 51, 45, 24, 0]","[51, 66]"
11,MOEAD,213.64,867.67,4,"[0, 97, 0]",[]
11,MOEAD,213.64,867.67,5,"[0, 93, 100, 81, 75, 55, 9, 76, 42, 7, 8, 46, 28, 10, 89, 69, 47, 38, 44, 59, 26, 96, 83, 11, 14, 0]","[9, 28, 89, 96]"
11,MOEAD,213.64,867.67,6,"[0, 13, 27, 12, 41, 57, 95, 73, 15, 98, 85, 88, 63, 74, 78, 64, 30, 71, 35, 20, 0]","[13, 35, 57]"
12,MOEAD,234.34,806.77,1,"[0, 92, 48, 62, 1, 21, 33, 37, 68, 39, 56, 84, 23, 22, 82, 86, 67, 72, 70, 54, 36, 3, 32, 49, 94, 66, 53, 0]","[62, 86]"
12,MOEAD,234.34,806.77,2,"[0, 24, 45, 51, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 55, 9, 76, 42, 7, 8, 100, 93, 0]","[24, 42, 55, 60]"
12,MOEAD,234.34,806.77,3,"[0, 75, 0]",[75]
12,MOEAD,234.34,806.77,4,"[0, 4, 80, 81, 46, 28, 89, 69, 47, 38, 44, 59, 26, 10, 96, 83, 11, 41, 12, 27, 13, 95, 57, 0]","[28, 83]"
12,MOEAD,234.34,806.77,5,"[0, 14, 73, 15, 30, 64, 78, 74, 63, 88, 85, 98, 71, 35, 20, 17, 31, 40, 16, 18, 19, 91, 99, 34, 43, 0]","[35, 63]"
12,MOEAD,234.34,806.77,6,"[0, 2, 25, 50, 77, 58, 0]",[]
13,MOEAD,200.66,907.61,1,"[0, 20, 91, 19, 18, 17, 31, 71, 35, 40, 16, 21, 33, 37, 68, 39, 56, 84, 23, 22, 0]","[22, 31, 91]"
13,MOEAD,200.66,907.61,2,"[0, 2, 99, 34, 1, 50, 0]",[]
13,MOEAD,200.66,907.61,3,"[0, 25, 43, 92, 62, 48, 77, 58, 3, 36, 54, 70, 72, 67, 86, 82, 94, 49, 32, 53, 0]","[32, 70, 77]"
13,MOEAD,200.66,907.61,4,"[0, 4, 80, 66, 45, 24, 51, 79, 90, 65, 6, 87, 52, 29, 5, 61, 97, 93, 100, 8, 0]","[4, 51]"
13,MOEAD,200.66,907.61,5,"[0, 60, 55, 75, 81, 9, 76, 42, 7, 46, 28, 69, 47, 38, 44, 59, 26, 10, 13, 12, 27, 0]","[13, 42, 75]"
13,MOEAD,200.66,907.61,6,"[0, 89, 96, 83, 11, 14, 98, 85, 88, 63, 74, 78, 64, 30, 15, 73, 41, 95, 57, 0]","[63, 95]"
14,MOEAD,197.3,1048.43,1,"[0, 50, 25, 23, 84, 56, 39, 68, 37, 1, 34, 99, 2, 0]",[25]
14,MOEAD,197.3,1048.43,2,"[0, 22, 82, 86, 67, 72, 70, 54, 36, 3, 32, 49, 94, 66, 53, 24, 45, 51, 79, 90, 0]","[24, 51, 86]"
14,MOEAD,197.3,1048.43,3,"[0, 92, 62, 48, 80, 4, 65, 6, 87, 52, 29, 5, 60, 61, 97, 55, 9, 93, 100, 8, 0]","[55, 60]"
14,MOEAD,197.3,1048.43,4,"[0, 7, 42, 76, 75, 81, 46, 28, 89, 69, 47, 38, 44, 59, 26, 10, 96, 0]","[42, 46, 75]"
14,MOEAD,197.3,1048.43,5,"[0, 13, 27, 12, 41, 73, 15, 30, 64, 78, 74, 63, 14, 11, 83, 95, 57, 0]","[13, 57, 63]"
14,MOEAD,197.3,1048.43,6,"[0, 20, 17, 31, 88, 85, 98, 71, 35, 40, 16, 18, 19, 91, 33, 21, 43, 58, 77, 0]","[31, 33, 35]"
15,MOEAD,291.88,798.42,1,"[0, 12, 27, 13, 95, 15, 30, 64, 78, 74, 63, 88, 85, 98, 71, 35, 31, 17, 20, 91, 19, 18, 40, 16, 56, 39, 68, 37, 84, 23, 22, 33, 21, 1, 34, 99, 2, 0]",[98]
15,MOEAD,291.88,798.42,2,"[0, 25, 0]",[25]
15,MOEAD,291.88,798.42,3,"[0, 43, 92, 62, 48, 50, 77, 58, 82, 86, 67, 72, 70, 54, 36, 3, 32, 97, 93, 100, 4, 0]","[32, 70, 77, 100]"
15,MOEAD,291.88,798.42,4,"[0, 80, 0]",[]
15,MOEAD,291.88,798.42,5,"[0, 53, 66, 49, 94, 24, 45, 51, 79, 90, 65, 6, 87, 52, 29, 5, 60, 61, 55, 75, 81, 9, 76, 42, 7, 8, 0]","[75, 79]"
15,MOEAD,291.88,798.42,6,"[0, 46, 28, 89, 47, 69, 38, 44, 59, 26, 10, 96, 83, 11, 14, 73, 41, 57, 0]",[57]
16,MOEAD,325.4,762.77,1,"[0, 80, 53, 66, 49, 94, 24, 45, 51, 79, 90, 65, 6, 87, 52, 5, 29, 60, 61, 97, 93, 100, 81, 75, 55, 9, 76, 42, 7, 46, 28, 69, 47, 38, 44, 59, 26, 10, 89, 96, 83, 11, 14, 73, 41, 57, 8, 0]","[8, 28, 42, 60, 79, 94]"
16,MOEAD,325.4,762.77,2,"[0, 95, 0]",[95]
16,MOEAD,325.4,762.77,3,"[0, 13, 27, 12, 15, 30, 64, 78, 74, 63, 88, 85, 98, 71, 0]","[63, 98]"
16,MOEAD,325.4,762.77,4,"[0, 20, 17, 31, 35, 40, 16, 18, 19, 91, 21, 33, 37, 68, 56, 39, 84, 23, 22, 1, 34, 99, 2, 25, 0]",[19]
16,MOEAD,325.4,762.77,5,"[0, 43, 92, 62, 0]",[43]
16,MOEAD,325.4,762.77,6,"[0, 4, 32, 3, 36, 54, 70, 72, 67, 86, 82, 58, 77, 48, 50, 0]",[32]
