solution_id,algorithm,makespan,carbon,truck_id,truck_route,drone_customers
1,NSGAII,544.9,926.43,1,"[0, 89, 0]",[89]
1,NSGAII,544.9,926.43,2,"[0, 94, 28, 0]",[]
1,NSGAII,544.9,926.43,3,"[0, 80, 0]",[]
1,NSGAII,544.9,926.43,4,"[0, 73, 0]",[]
1,NSGAII,544.9,926.43,5,"[0, 95, 17, 40, 99, 50, 77, 58, 0]",[]
1,NSGAII,544.9,926.43,6,"[0, 4, 53, 66, 49, 51, 45, 24, 79, 32, 90, 65, 6, 87, 52, 5, 29, 60, 61, 97, 75, 55, 9, 42, 76, 81, 100, 93, 8, 7, 46, 69, 47, 38, 44, 59, 10, 26, 96, 83, 14, 11, 41, 57, 13, 27, 12, 15, 30, 64, 78, 74, 63, 88, 85, 98, 71, 35, 31, 16, 18, 19, 91, 21, 33, 37, 68, 39, 56, 84, 23, 22, 82, 86, 67, 72, 70, 54, 36, 3, 62, 48, 92, 1, 34, 43, 25, 2, 20, 0]","[8, 14, 19, 100]"
2,NSGAII,502.51,1069.38,1,"[0, 12, 0]",[]
2,NSGAII,502.51,1069.38,2,"[0, 80, 0]",[]
2,NSGAII,502.51,1069.38,3,"[0, 20, 91, 18, 16, 19, 17, 31, 40, 35, 71, 15, 64, 78, 74, 63, 88, 85, 98, 14, 73, 27, 13, 11, 83, 26, 59, 44, 38, 47, 69, 28, 46, 7, 42, 76, 81, 75, 100, 57, 8, 4, 66, 53, 51, 49, 32, 79, 5, 29, 61, 60, 52, 87, 6, 65, 90, 54, 36, 3, 72, 70, 67, 86, 82, 23, 84, 56, 39, 68, 37, 33, 22, 21, 1, 34, 99, 2, 25, 43, 92, 62, 48, 77, 0]","[22, 43, 46, 70, 79, 86, 100]"
2,NSGAII,502.51,1069.38,4,"[0, 96, 58, 0]",[58]
2,NSGAII,502.51,1069.38,5,"[0, 55, 9, 50, 0]",[9]
2,NSGAII,502.51,1069.38,6,"[0, 94, 45, 24, 97, 93, 89, 10, 95, 30, 41, 0]",[]
3,NSGAII,497.09,1077.68,1,"[0, 50, 77, 58, 1, 99, 17, 40, 30, 74, 88, 85, 10, 28, 9, 8, 53, 0]",[]
3,NSGAII,497.09,1077.68,2,"[0, 4, 0]",[]
3,NSGAII,497.09,1077.68,3,"[0, 79, 81, 76, 0]",[79]
3,NSGAII,497.09,1077.68,4,"[0, 51, 0]",[]
3,NSGAII,497.09,1077.68,5,"[0, 2, 25, 92, 62, 48, 43, 34, 21, 22, 23, 39, 56, 68, 37, 33, 84, 82, 86, 67, 72, 70, 54, 36, 3, 32, 49, 94, 66, 80, 45, 24, 90, 65, 6, 87, 52, 29, 5, 60, 61, 97, 55, 75, 93, 100, 42, 7, 46, 69, 47, 38, 44, 59, 26, 89, 83, 11, 14, 96, 57, 95, 13, 27, 12, 41, 73, 98, 63, 78, 64, 15, 71, 35, 16, 18, 19, 91, 20, 0]","[20, 75, 83, 100]"
3,NSGAII,497.09,1077.68,6,"[0, 31, 0]",[]
4,NSGAII,454.45,1140.67,1,"[0, 94, 45, 0]",[]
4,NSGAII,454.45,1140.67,2,"[0, 10, 89, 69, 47, 38, 44, 59, 26, 83, 13, 27, 41, 11, 14, 63, 78, 30, 15, 71, 35, 40, 16, 18, 17, 19, 37, 33, 22, 68, 56, 39, 84, 23, 1, 34, 99, 2, 25, 50, 48, 58, 3, 82, 86, 67, 72, 70, 54, 36, 32, 79, 90, 65, 6, 87, 52, 29, 5, 61, 60, 97, 93, 100, 81, 42, 75, 24, 51, 49, 66, 0]","[35, 60, 100]"
4,NSGAII,454.45,1140.67,3,"[0, 62, 43, 91, 31, 20, 12, 96, 57, 0]",[]
4,NSGAII,454.45,1140.67,4,"[0, 53, 92, 21, 0]",[]
4,NSGAII,454.45,1140.67,5,"[0, 77, 80, 76, 55, 28, 46, 7, 8, 95, 73, 64, 74, 88, 85, 98, 0]",[]
4,NSGAII,454.45,1140.67,6,"[0, 9, 4, 0]",[9]
5,NSGAII,412.58,1172.21,1,"[0, 50, 92, 58, 77, 48, 99, 21, 17, 31, 40, 30, 64, 74, 88, 85, 98, 73, 95, 57, 96, 10, 89, 28, 46, 8, 9, 55, 79, 94, 53, 80, 4, 0]","[4, 9, 58]"
5,NSGAII,412.58,1172.21,2,"[0, 76, 75, 81, 0]",[76]
5,NSGAII,412.58,1172.21,3,"[0, 43, 0]",[]
5,NSGAII,412.58,1172.21,4,"[0, 62, 0]",[]
5,NSGAII,412.58,1172.21,5,"[0, 13, 27, 41, 15, 78, 63, 14, 11, 83, 44, 47, 69, 38, 59, 26, 42, 7, 100, 93, 97, 24, 45, 51, 49, 66, 32, 90, 65, 6, 87, 52, 29, 60, 61, 5, 54, 36, 3, 86, 82, 67, 70, 72, 22, 23, 84, 56, 39, 68, 37, 33, 91, 19, 71, 35, 16, 18, 1, 34, 25, 2, 0]","[19, 60, 86, 100]"
5,NSGAII,412.58,1172.21,6,"[0, 12, 20, 0]",[]
6,NSGAII,381.3,1203.89,1,"[0, 80, 53, 94, 51, 79, 65, 87, 29, 60, 75, 55, 9, 76, 81, 8, 46, 28, 89, 10, 38, 59, 96, 57, 95, 73, 14, 98, 85, 88, 63, 74, 78, 64, 30, 15, 71, 40, 31, 17, 21, 37, 33, 22, 86, 67, 72, 70, 54, 58, 77, 50, 92, 62, 48, 43, 25, 99, 0]","[8, 22, 28, 95, 96]"
6,NSGAII,381.3,1203.89,2,"[0, 4, 90, 6, 52, 5, 61, 97, 100, 7, 42, 26, 69, 44, 83, 11, 41, 27, 13, 2, 34, 1, 19, 16, 18, 68, 39, 56, 84, 23, 82, 3, 36, 32, 49, 45, 24, 66, 0]","[4, 19]"
6,NSGAII,381.3,1203.89,3,"[0, 47, 35, 0]",[]
6,NSGAII,381.3,1203.89,4,"[0, 93, 0]",[]
6,NSGAII,381.3,1203.89,5,"[0, 91, 0]",[91]
6,NSGAII,381.3,1203.89,6,"[0, 12, 20, 0]",[20]
7,NSGAII,379.31,1218.52,1,"[0, 53, 51, 77, 92, 25, 43, 34, 1, 18, 31, 19, 91, 21, 22, 33, 37, 68, 39, 84, 86, 67, 72, 70, 54, 36, 3, 32, 90, 65, 6, 87, 52, 29, 5, 61, 60, 97, 8, 7, 46, 28, 42, 38, 44, 98, 85, 88, 63, 74, 64, 73, 57, 96, 83, 27, 0]","[28, 32, 57]"
7,NSGAII,379.31,1218.52,2,"[0, 48, 0]",[]
7,NSGAII,379.31,1218.52,3,"[0, 76, 0]",[76]
7,NSGAII,379.31,1218.52,4,"[0, 80, 66, 94, 49, 45, 24, 79, 93, 100, 81, 75, 55, 9, 89, 47, 69, 59, 10, 26, 11, 41, 95, 13, 12, 78, 30, 15, 71, 17, 16, 56, 23, 82, 58, 62, 50, 99, 0]",[79]
7,NSGAII,379.31,1218.52,5,"[0, 4, 35, 0]",[]
7,NSGAII,379.31,1218.52,6,"[0, 14, 20, 40, 2, 0]",[14]
8,NSGAII,354.92,1258.33,1,"[0, 41, 0]",[]
8,NSGAII,354.92,1258.33,2,"[0, 94, 0]",[]
8,NSGAII,354.92,1258.33,3,"[0, 4, 80, 53, 51, 70, 67, 86, 77, 48, 62, 92, 43, 99, 21, 84, 20, 17, 31, 40, 35, 15, 64, 78, 74, 63, 88, 85, 98, 14, 73, 12, 27, 57, 46, 28, 42, 76, 81, 75, 8, 93, 97, 61, 60, 87, 29, 90, 79, 0]","[79, 98]"
8,NSGAII,354.92,1258.33,4,"[0, 72, 0]",[]
8,NSGAII,354.92,1258.33,5,"[0, 13, 96, 83, 11, 30, 71, 16, 18, 19, 91, 33, 37, 68, 39, 56, 23, 22, 1, 34, 25, 2, 50, 58, 82, 3, 36, 54, 32, 49, 66, 45, 24, 65, 6, 52, 5, 55, 9, 100, 7, 69, 47, 38, 44, 59, 26, 10, 0]","[9, 25, 32]"
8,NSGAII,354.92,1258.33,6,"[0, 95, 89, 0]",[]
