solution_id,algorithm,makespan,carbon,truck_id,truck_route,drone_customers
1,PFG_MOEAD,205.66,911.71,1,"[0, 80, 94, 49, 32, 3, 36, 54, 70, 72, 67, 86, 82, 23, 62, 48, 58, 77, 50, 0]","[70, 86, 94]"
1,PFG_MOEAD,205.66,911.71,2,"[0, 92, 43, 25, 2, 99, 34, 1, 21, 22, 84, 56, 39, 68, 37, 33, 91, 20, 0]",[]
1,PFG_MOEAD,205.66,911.71,3,"[0, 19, 18, 16, 40, 17, 31, 35, 71, 30, 64, 78, 74, 63, 88, 85, 98, 15, 12, 27, 13, 0]","[13, 31, 98]"
1,PFG_MOEAD,205.66,911.71,4,"[0, 4, 100, 81, 9, 42, 7, 8, 41, 73, 14, 95, 0]",[]
1,PFG_MOEAD,205.66,911.71,5,"[0, 57, 96, 83, 11, 89, 10, 26, 59, 44, 38, 47, 69, 28, 46, 76, 55, 75, 93, 0]",[75]
1,PFG_MOEAD,205.66,911.71,6,"[0, 97, 61, 60, 52, 87, 6, 65, 90, 29, 5, 79, 51, 24, 45, 66, 53, 0]",[66]
2,PFG_MOEAD,236.55,802.63,1,"[0, 93, 75, 55, 97, 61, 60, 52, 87, 6, 65, 90, 29, 5, 79, 51, 94, 0]","[55, 60, 79, 94]"
2,PFG_MOEAD,236.55,802.63,2,"[0, 4, 80, 53, 66, 24, 0]",[24]
2,PFG_MOEAD,236.55,802.63,3,"[0, 45, 49, 32, 3, 36, 54, 70, 72, 67, 86, 82, 58, 77, 62, 48, 50, 0]",[]
2,PFG_MOEAD,236.55,802.63,4,"[0, 92, 43, 25, 2, 99, 34, 1, 22, 23, 84, 56, 39, 68, 37, 33, 21, 91, 19, 18, 16, 40, 71, 35, 31, 17, 20, 0]","[35, 91]"
2,PFG_MOEAD,236.55,802.63,5,"[0, 13, 27, 12, 73, 15, 30, 64, 78, 74, 63, 88, 85, 98, 14, 11, 41, 95, 57, 0]","[13, 95]"
2,PFG_MOEAD,236.55,802.63,6,"[0, 83, 96, 26, 10, 89, 59, 44, 38, 47, 69, 28, 42, 76, 9, 81, 100, 8, 7, 46, 0]","[28, 83, 89, 100]"
3,PFG_MOEAD,202.13,930.67,1,"[0, 2, 25, 43, 34, 99, 1, 22, 84, 56, 39, 68, 37, 33, 21, 91, 19, 18, 16, 40, 17, 20, 0]","[19, 22, 25, 33]"
3,PFG_MOEAD,202.13,930.67,2,"[0, 31, 35, 71, 30, 64, 78, 74, 63, 88, 85, 98, 15, 73, 14, 41, 12, 27, 13, 0]","[31, 98]"
3,PFG_MOEAD,202.13,930.67,3,"[0, 57, 95, 11, 83, 28, 42, 76, 9, 55, 75, 81, 0]","[55, 76]"
3,PFG_MOEAD,202.13,930.67,4,"[0, 10, 89, 69, 47, 38, 44, 59, 26, 96, 46, 7, 8, 100, 93, 97, 61, 60, 0]",[]
3,PFG_MOEAD,202.13,930.67,5,"[0, 53, 66, 94, 49, 51, 79, 5, 29, 52, 87, 6, 65, 90, 45, 0]",[94]
3,PFG_MOEAD,202.13,930.67,6,"[0, 4, 80, 24, 32, 3, 36, 54, 70, 72, 67, 86, 82, 23, 62, 48, 58, 77, 50, 92, 0]","[4, 70]"
4,PFG_MOEAD,200.21,941.18,1,"[0, 71, 30, 64, 78, 74, 63, 88, 85, 98, 15, 73, 14, 41, 12, 27, 13, 57, 0]",[57]
4,PFG_MOEAD,200.21,941.18,2,"[0, 95, 11, 83, 96, 26, 59, 44, 38, 47, 69, 89, 10, 28, 42, 76, 9, 55, 75, 81, 0]","[9, 28]"
4,PFG_MOEAD,200.21,941.18,3,"[0, 46, 7, 8, 100, 93, 97, 61, 60, 5, 29, 52, 87, 6, 65, 0]",[8]
4,PFG_MOEAD,200.21,941.18,4,"[0, 4, 80, 53, 66, 94, 82, 86, 67, 72, 70, 54, 36, 3, 32, 49, 51, 79, 90, 24, 45, 0]","[4, 32]"
4,PFG_MOEAD,200.21,941.18,5,"[0, 50, 77, 58, 48, 62, 68, 39, 56, 84, 23, 22, 1, 34, 99, 2, 25, 43, 92, 0]","[2, 77]"
4,PFG_MOEAD,200.21,941.18,6,"[0, 21, 33, 37, 91, 19, 18, 16, 40, 35, 31, 17, 20, 0]","[19, 20]"
5,PFG_MOEAD,248.57,796.22,1,"[0, 20, 17, 31, 35, 71, 30, 64, 78, 74, 63, 88, 85, 98, 15, 73, 14, 96, 41, 12, 27, 13, 0]","[13, 14]"
5,PFG_MOEAD,248.57,796.22,2,"[0, 57, 95, 11, 83, 26, 10, 89, 59, 44, 38, 47, 69, 28, 46, 7, 42, 76, 9, 55, 75, 81, 8, 0]","[46, 57, 89]"
5,PFG_MOEAD,248.57,796.22,3,"[0, 100, 93, 97, 61, 60, 52, 87, 6, 65, 90, 29, 5, 79, 32, 49, 94, 66, 53, 51, 80, 4, 0]",[]
5,PFG_MOEAD,248.57,796.22,4,"[0, 24, 0]",[24]
